trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2021-11-10,SMD-0171,NYKAA,NSE:NYKAA-EQ,336.33,374.67,333.33,367.63,205947786,FYERS_HISTORY,2026-08-08T23:45:00+05:30
2021-11-11,SMD-0171,NYKAA,NSE:NYKAA-EQ,368.95,373.45,340.63,368.93,43138662,FYERS_HISTORY,2026-08-08T23:45:00+05:30
2021-11-12,SMD-0171,NYKAA,NSE:NYKAA-EQ,374.67,401.66,363.35,393.05,34978218,FYERS_HISTORY,2026-08-08T23:45:00+05:30
2021-11-15,SMD-0171,NYKAA,NSE:NYKAA-EQ,376.83,388.73,364.17,380.38,20735118,FYERS_HISTORY,2026-08-08T23:45:00+05:30
2021-11-16,SMD-0171,NYKAA,NSE:NYKAA-EQ,378.0,385.0,371.33,372.79,9042750,FYERS_HISTORY,2026-08-08T23:45:00+05:30
2021-11-17,SMD-0171,NYKAA,NSE:NYKAA-EQ,373.33,376.5,350.17,353.84,16172724,FYERS_HISTORY,2026-08-08T23:45:00+05:30
2021-11-18,SMD-0171,NYKAA,NSE:NYKAA-EQ,351.67,363.0,348.33,354.21,11958912,FYERS_HISTORY,2026-08-08T23:45:00+05:30
2021-11-22,SMD-0171,NYKAA,NSE:NYKAA-EQ,355.88,361.99,347.0,349.62,10147740,FYERS_HISTORY,2026-08-08T23:45:00+05:30
2021-11-23,SMD-0171,NYKAA,NSE:NYKAA-EQ,345.0,357.88,342.95,355.82,5038836,FYERS_HISTORY,2026-08-08T23:45:00+05:30
2021-11-24,SMD-0171,NYKAA,NSE:NYKAA-EQ,358.33,386.47,354.34,374.58,15051264,FYERS_HISTORY,2026-08-08T23:45:00+05:30
2021-11-25,SMD-0171,NYKAA,NSE:NYKAA-EQ,374.58,405.19,374.5,399.59,15805686,FYERS_HISTORY,2026-08-08T23:45:00+05:30
2021-11-26,SMD-0171,NYKAA,NSE:NYKAA-EQ,397.5,428.95,384.67,406.18,22331574,FYERS_HISTORY,2026-08-08T23:45:00+05:30
2021-11-29,SMD-0171,NYKAA,NSE:NYKAA-EQ,403.5,422.83,391.67,414.4,10442538,FYERS_HISTORY,2026-08-08T23:45:00+05:30
2021-11-30,SMD-0171,NYKAA,NSE:NYKAA-EQ,413.0,426.33,396.86,406.74,5682054,FYERS_HISTORY,2026-08-08T23:45:00+05:30
2021-12-01,SMD-0171,NYKAA,NSE:NYKAA-EQ,412.5,422.5,410.0,415.52,4443384,FYERS_HISTORY,2026-08-08T23:45:00+05:30
2021-12-02,SMD-0171,NYKAA,NSE:NYKAA-EQ,422.5,426.67,402.03,406.37,6473622,FYERS_HISTORY,2026-08-08T23:45:00+05:30
2021-12-03,SMD-0171,NYKAA,NSE:NYKAA-EQ,406.58,410.83,380.33,387.45,5387400,FYERS_HISTORY,2026-08-08T23:45:00+05:30
2021-12-06,SMD-0171,NYKAA,NSE:NYKAA-EQ,388.33,392.33,362.03,365.2,11374020,FYERS_HISTORY,2026-08-08T23:45:00+05:30
2021-12-07,SMD-0171,NYKAA,NSE:NYKAA-EQ,371.33,376.28,354.17,358.98,12719388,FYERS_HISTORY,2026-08-08T23:45:00+05:30
2021-12-08,SMD-0171,NYKAA,NSE:NYKAA-EQ,341.5,374.83,337.76,363.81,50120532,FYERS_HISTORY,2026-08-08T23:45:00+05:30
2021-12-09,SMD-0171,NYKAA,NSE:NYKAA-EQ,362.33,376.52,358.5,360.58,19286688,FYERS_HISTORY,2026-08-08T23:45:00+05:30
2021-12-10,SMD-0171,NYKAA,NSE:NYKAA-EQ,360.58,363.21,350.0,352.47,11541822,FYERS_HISTORY,2026-08-08T23:45:00+05:30
2021-12-13,SMD-0171,NYKAA,NSE:NYKAA-EQ,354.17,359.97,345.02,346.96,8443338,FYERS_HISTORY,2026-08-08T23:45:00+05:30
2021-12-14,SMD-0171,NYKAA,NSE:NYKAA-EQ,346.67,346.96,330.0,335.93,12100380,FYERS_HISTORY,2026-08-08T23:45:00+05:30
2021-12-15,SMD-0171,NYKAA,NSE:NYKAA-EQ,344.83,357.97,343.67,354.8,15262116,FYERS_HISTORY,2026-08-08T23:45:00+05:30
2021-12-16,SMD-0171,NYKAA,NSE:NYKAA-EQ,356.48,362.5,338.67,360.99,14125398,FYERS_HISTORY,2026-08-08T23:45:00+05:30
2021-12-17,SMD-0171,NYKAA,NSE:NYKAA-EQ,358.98,361.67,344.2,349.8,7526790,FYERS_HISTORY,2026-08-08T23:45:00+05:30
2021-12-20,SMD-0171,NYKAA,NSE:NYKAA-EQ,343.33,344.07,318.34,325.45,10340538,FYERS_HISTORY,2026-08-08T23:45:00+05:30
2021-12-21,SMD-0171,NYKAA,NSE:NYKAA-EQ,331.33,342.98,325.35,327.24,8763210,FYERS_HISTORY,2026-08-08T23:45:00+05:30
2021-12-22,SMD-0171,NYKAA,NSE:NYKAA-EQ,331.66,337.33,329.39,335.08,4920174,FYERS_HISTORY,2026-08-08T23:45:00+05:30
2021-12-23,SMD-0171,NYKAA,NSE:NYKAA-EQ,338.3,355.67,335.83,353.59,8451402,FYERS_HISTORY,2026-08-08T23:45:00+05:30
2021-12-24,SMD-0171,NYKAA,NSE:NYKAA-EQ,353.33,354.17,338.0,340.81,5864178,FYERS_HISTORY,2026-08-08T23:45:00+05:30
