trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2014-12-29,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,282.0,285.85,270.0,274.55,61673,FYERS_HISTORY,2026-08-08T23:45:13+05:30
2014-12-30,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,275.1,283.05,273.3,280.15,176472,FYERS_HISTORY,2026-08-08T23:45:13+05:30
2014-12-31,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,280.0,284.95,278.3,280.2,117383,FYERS_HISTORY,2026-08-08T23:45:13+05:30
2015-01-01,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,282.0,284.6,278.05,280.1,21580,FYERS_HISTORY,2026-08-08T23:45:13+05:30
2015-01-02,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,280.5,292.9,280.5,288.5,205106,FYERS_HISTORY,2026-08-08T23:45:13+05:30
2015-01-05,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,289.45,289.5,284.35,286.2,94331,FYERS_HISTORY,2026-08-08T23:45:13+05:30
2015-01-06,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,284.0,284.0,276.55,278.05,100455,FYERS_HISTORY,2026-08-08T23:45:13+05:30
2015-01-07,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,281.3,281.3,265.3,268.45,84567,FYERS_HISTORY,2026-08-08T23:45:13+05:30
2015-01-08,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,274.95,275.75,269.0,271.5,271966,FYERS_HISTORY,2026-08-08T23:45:13+05:30
2015-01-09,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,272.55,275.05,261.65,269.2,353732,FYERS_HISTORY,2026-08-08T23:45:13+05:30
2015-01-12,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,270.15,273.85,265.85,270.65,137086,FYERS_HISTORY,2026-08-08T23:45:13+05:30
2015-01-13,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,271.4,278.3,265.25,267.35,130680,FYERS_HISTORY,2026-08-08T23:45:13+05:30
2015-01-14,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,266.2,275.1,263.2,266.45,140135,FYERS_HISTORY,2026-08-08T23:45:13+05:30
2015-01-15,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,274.0,283.4,267.3,270.05,1182482,FYERS_HISTORY,2026-08-08T23:45:13+05:30
2015-01-16,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,270.0,277.05,267.0,268.1,279435,FYERS_HISTORY,2026-08-08T23:45:13+05:30
2015-01-19,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,277.9,281.15,272.5,277.0,580642,FYERS_HISTORY,2026-08-08T23:45:13+05:30
2015-01-20,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,282.0,284.65,278.0,280.35,1277904,FYERS_HISTORY,2026-08-08T23:45:13+05:30
2015-01-21,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,280.0,292.8,277.4,289.9,1109980,FYERS_HISTORY,2026-08-08T23:45:13+05:30
2015-01-22,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,292.0,294.5,280.3,283.6,231703,FYERS_HISTORY,2026-08-08T23:45:13+05:30
2015-01-23,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,288.7,291.85,277.45,286.0,339812,FYERS_HISTORY,2026-08-08T23:45:13+05:30
2015-01-27,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,286.35,289.0,281.2,285.0,598427,FYERS_HISTORY,2026-08-08T23:45:13+05:30
2015-01-28,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,288.85,288.85,272.2,283.95,427406,FYERS_HISTORY,2026-08-08T23:45:13+05:30
2015-01-29,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,283.0,285.7,279.55,281.55,104681,FYERS_HISTORY,2026-08-08T23:45:13+05:30
2015-01-30,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,281.95,291.9,279.0,283.25,716393,FYERS_HISTORY,2026-08-08T23:45:13+05:30
2015-02-02,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,284.8,285.75,278.2,279.05,87633,FYERS_HISTORY,2026-08-08T23:45:13+05:30
2015-02-03,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,284.35,284.35,276.6,278.45,114717,FYERS_HISTORY,2026-08-08T23:45:13+05:30
2015-02-04,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,280.1,283.25,276.0,279.95,978809,FYERS_HISTORY,2026-08-08T23:45:13+05:30
2015-02-05,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,280.5,284.0,276.35,278.5,162440,FYERS_HISTORY,2026-08-08T23:45:13+05:30
2015-02-06,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,278.5,281.95,272.1,274.25,1162373,FYERS_HISTORY,2026-08-08T23:45:13+05:30
2015-02-09,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,274.25,277.7,268.3,270.6,66772,FYERS_HISTORY,2026-08-08T23:45:13+05:30
