trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2019-12-27,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,521.65,527.5,520.0,523.85,350240,FYERS_HISTORY,2026-08-08T23:45:16+05:30
2019-12-30,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,525.95,534.95,522.1,528.5,185262,FYERS_HISTORY,2026-08-08T23:45:16+05:30
2019-12-31,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,528.5,534.0,525.0,530.65,72234,FYERS_HISTORY,2026-08-08T23:45:16+05:30
2020-01-01,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,530.65,530.7,521.0,522.95,45551,FYERS_HISTORY,2026-08-08T23:45:16+05:30
2020-01-02,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,523.0,534.85,521.35,528.85,74931,FYERS_HISTORY,2026-08-08T23:45:16+05:30
2020-01-03,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,528.9,532.0,523.05,525.85,196706,FYERS_HISTORY,2026-08-08T23:45:16+05:30
2020-01-06,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,525.0,525.0,510.2,515.05,105233,FYERS_HISTORY,2026-08-08T23:45:16+05:30
2020-01-07,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,519.5,522.75,514.5,517.85,91187,FYERS_HISTORY,2026-08-08T23:45:16+05:30
2020-01-08,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,513.6,523.9,507.0,511.5,118575,FYERS_HISTORY,2026-08-08T23:45:16+05:30
2020-01-09,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,514.95,527.1,514.95,522.05,692636,FYERS_HISTORY,2026-08-08T23:45:16+05:30
2020-01-10,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,530.0,564.0,521.0,540.65,451021,FYERS_HISTORY,2026-08-08T23:45:16+05:30
2020-01-13,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,548.7,549.0,537.05,541.75,359470,FYERS_HISTORY,2026-08-08T23:45:16+05:30
2020-01-14,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,542.65,544.0,533.2,539.5,437981,FYERS_HISTORY,2026-08-08T23:45:16+05:30
2020-01-15,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,536.0,573.0,535.55,554.65,589298,FYERS_HISTORY,2026-08-08T23:45:16+05:30
2020-01-16,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,557.9,558.75,537.15,548.75,327925,FYERS_HISTORY,2026-08-08T23:45:16+05:30
2020-01-17,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,547.0,561.8,540.2,543.8,340724,FYERS_HISTORY,2026-08-08T23:45:16+05:30
2020-01-20,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,549.0,552.2,540.0,543.4,284850,FYERS_HISTORY,2026-08-08T23:45:16+05:30
2020-01-21,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,540.0,552.7,537.0,549.75,384251,FYERS_HISTORY,2026-08-08T23:45:16+05:30
2020-01-22,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,552.0,558.0,542.9,548.2,105884,FYERS_HISTORY,2026-08-08T23:45:16+05:30
2020-01-23,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,551.0,565.0,547.05,553.7,297620,FYERS_HISTORY,2026-08-08T23:45:16+05:30
2020-01-24,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,556.95,570.05,553.7,565.05,230561,FYERS_HISTORY,2026-08-08T23:45:16+05:30
2020-01-27,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,565.0,584.0,555.5,566.0,449617,FYERS_HISTORY,2026-08-08T23:45:16+05:30
2020-01-28,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,561.95,564.95,550.05,552.95,165932,FYERS_HISTORY,2026-08-08T23:45:16+05:30
2020-01-29,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,556.65,559.15,542.2,553.5,253562,FYERS_HISTORY,2026-08-08T23:45:16+05:30
2020-01-30,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,560.0,560.0,530.25,554.65,554123,FYERS_HISTORY,2026-08-08T23:45:16+05:30
2020-01-31,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,558.1,563.0,541.1,545.55,168229,FYERS_HISTORY,2026-08-08T23:45:16+05:30
2020-02-01,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,540.7,554.0,513.95,520.4,376616,FYERS_HISTORY,2026-08-08T23:45:16+05:30
2020-02-03,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,520.4,534.0,500.05,524.7,447212,FYERS_HISTORY,2026-08-08T23:45:16+05:30
2020-02-04,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,528.95,544.0,525.05,540.3,206308,FYERS_HISTORY,2026-08-08T23:45:16+05:30
2020-02-05,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,540.8,559.0,532.8,537.75,369493,FYERS_HISTORY,2026-08-08T23:45:16+05:30
2020-02-06,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,539.9,549.0,528.45,537.9,153704,FYERS_HISTORY,2026-08-08T23:45:16+05:30
2020-02-07,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,537.9,539.8,526.0,533.7,123937,FYERS_HISTORY,2026-08-08T23:45:16+05:30
2020-02-10,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,537.0,537.0,518.7,524.95,165790,FYERS_HISTORY,2026-08-08T23:45:16+05:30
2020-02-11,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,526.1,532.95,515.2,519.5,125932,FYERS_HISTORY,2026-08-08T23:45:16+05:30
2020-02-12,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,520.0,525.95,516.5,520.7,122854,FYERS_HISTORY,2026-08-08T23:45:16+05:30
2020-02-13,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,519.5,523.7,511.05,517.3,185290,FYERS_HISTORY,2026-08-08T23:45:16+05:30
2020-02-14,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,518.45,523.0,506.0,507.1,107214,FYERS_HISTORY,2026-08-08T23:45:16+05:30
2020-02-17,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,508.35,511.75,492.95,502.4,259122,FYERS_HISTORY,2026-08-08T23:45:16+05:30
2020-02-18,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,499.9,519.8,499.0,510.55,772348,FYERS_HISTORY,2026-08-08T23:45:16+05:30
2020-02-19,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,518.7,518.7,506.2,510.2,584140,FYERS_HISTORY,2026-08-08T23:45:16+05:30
2020-02-20,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,510.1,524.0,509.55,517.95,161880,FYERS_HISTORY,2026-08-08T23:45:16+05:30
2020-02-24,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,516.9,531.0,512.3,518.15,195129,FYERS_HISTORY,2026-08-08T23:45:16+05:30
2020-02-25,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,521.0,525.75,519.0,520.05,101573,FYERS_HISTORY,2026-08-08T23:45:16+05:30
2020-02-26,SMD-0172,OBEROIRLTY,NSE:OBEROIRLTY-EQ,518.8,518.8,506.65,513.4,135537,FYERS_HISTORY,2026-08-08T23:45:16+05:30
