trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2018-12-27,SMD-0173,OFSS,NSE:OFSS-EQ,3585.0,3682.0,3570.0,3663.55,39169,FYERS_HISTORY,2026-08-08T23:45:28+05:30
2018-12-28,SMD-0173,OFSS,NSE:OFSS-EQ,3660.0,3695.5,3637.5,3660.85,15813,FYERS_HISTORY,2026-08-08T23:45:28+05:30
2018-12-31,SMD-0173,OFSS,NSE:OFSS-EQ,3638.15,3731.0,3638.15,3707.75,20750,FYERS_HISTORY,2026-08-08T23:45:28+05:30
2019-01-01,SMD-0173,OFSS,NSE:OFSS-EQ,3700.1,3740.0,3690.0,3729.45,11336,FYERS_HISTORY,2026-08-08T23:45:28+05:30
2019-01-02,SMD-0173,OFSS,NSE:OFSS-EQ,3738.95,3760.0,3693.3,3710.95,34252,FYERS_HISTORY,2026-08-08T23:45:28+05:30
2019-01-03,SMD-0173,OFSS,NSE:OFSS-EQ,3697.0,3730.0,3575.65,3594.65,31202,FYERS_HISTORY,2026-08-08T23:45:28+05:30
2019-01-04,SMD-0173,OFSS,NSE:OFSS-EQ,3606.0,3623.45,3551.35,3598.2,18934,FYERS_HISTORY,2026-08-08T23:45:28+05:30
2019-01-07,SMD-0173,OFSS,NSE:OFSS-EQ,3598.2,3624.0,3571.0,3596.2,14801,FYERS_HISTORY,2026-08-08T23:45:28+05:30
2019-01-08,SMD-0173,OFSS,NSE:OFSS-EQ,3599.0,3617.0,3566.1,3581.6,22956,FYERS_HISTORY,2026-08-08T23:45:28+05:30
2019-01-09,SMD-0173,OFSS,NSE:OFSS-EQ,3588.5,3644.0,3584.3,3599.1,31266,FYERS_HISTORY,2026-08-08T23:45:28+05:30
2019-01-10,SMD-0173,OFSS,NSE:OFSS-EQ,3619.0,3647.0,3570.75,3635.6,22784,FYERS_HISTORY,2026-08-08T23:45:28+05:30
2019-01-11,SMD-0173,OFSS,NSE:OFSS-EQ,3648.5,3650.0,3606.5,3637.35,10849,FYERS_HISTORY,2026-08-08T23:45:28+05:30
2019-01-14,SMD-0173,OFSS,NSE:OFSS-EQ,3648.0,3648.0,3588.1,3621.75,8241,FYERS_HISTORY,2026-08-08T23:45:28+05:30
2019-01-15,SMD-0173,OFSS,NSE:OFSS-EQ,3606.05,3684.7,3604.1,3661.9,14885,FYERS_HISTORY,2026-08-08T23:45:28+05:30
2019-01-16,SMD-0173,OFSS,NSE:OFSS-EQ,3667.9,3689.0,3628.05,3682.75,14088,FYERS_HISTORY,2026-08-08T23:45:28+05:30
2019-01-17,SMD-0173,OFSS,NSE:OFSS-EQ,3678.0,3722.0,3658.3,3694.4,23553,FYERS_HISTORY,2026-08-08T23:45:28+05:30
2019-01-18,SMD-0173,OFSS,NSE:OFSS-EQ,3685.4,3685.95,3590.65,3615.85,20052,FYERS_HISTORY,2026-08-08T23:45:28+05:30
2019-01-21,SMD-0173,OFSS,NSE:OFSS-EQ,3639.95,3710.0,3604.25,3683.7,17942,FYERS_HISTORY,2026-08-08T23:45:28+05:30
2019-01-22,SMD-0173,OFSS,NSE:OFSS-EQ,3675.5,3760.0,3663.5,3684.8,66635,FYERS_HISTORY,2026-08-08T23:45:28+05:30
2019-01-23,SMD-0173,OFSS,NSE:OFSS-EQ,3665.0,3812.2,3655.55,3769.65,48774,FYERS_HISTORY,2026-08-08T23:45:28+05:30
2019-01-24,SMD-0173,OFSS,NSE:OFSS-EQ,3805.0,3810.0,3732.2,3796.4,20813,FYERS_HISTORY,2026-08-08T23:45:28+05:30
2019-01-25,SMD-0173,OFSS,NSE:OFSS-EQ,3776.0,3830.0,3686.35,3708.0,18300,FYERS_HISTORY,2026-08-08T23:45:28+05:30
2019-01-28,SMD-0173,OFSS,NSE:OFSS-EQ,3735.0,3751.55,3696.05,3727.15,19146,FYERS_HISTORY,2026-08-08T23:45:28+05:30
2019-01-29,SMD-0173,OFSS,NSE:OFSS-EQ,3720.05,3752.6,3699.75,3748.25,13462,FYERS_HISTORY,2026-08-08T23:45:28+05:30
2019-01-30,SMD-0173,OFSS,NSE:OFSS-EQ,3746.4,3795.0,3717.75,3768.95,27170,FYERS_HISTORY,2026-08-08T23:45:28+05:30
2019-01-31,SMD-0173,OFSS,NSE:OFSS-EQ,3778.0,3833.15,3749.55,3801.05,24508,FYERS_HISTORY,2026-08-08T23:45:28+05:30
2019-02-01,SMD-0173,OFSS,NSE:OFSS-EQ,3801.05,3829.45,3752.5,3794.8,27907,FYERS_HISTORY,2026-08-08T23:45:28+05:30
