trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2013-12-30,SMD-0174,OIL,NSE:OIL-EQ,162.04,163.84,157.84,161.47,208496,FYERS_HISTORY,2026-08-08T23:45:42+05:30
2013-12-31,SMD-0174,OIL,NSE:OIL-EQ,161.35,164.0,158.37,162.78,359499,FYERS_HISTORY,2026-08-08T23:45:42+05:30
2014-01-01,SMD-0174,OIL,NSE:OIL-EQ,161.45,163.67,160.12,161.05,155793,FYERS_HISTORY,2026-08-08T23:45:42+05:30
2014-01-02,SMD-0174,OIL,NSE:OIL-EQ,161.02,162.92,153.04,154.25,218030,FYERS_HISTORY,2026-08-08T23:45:42+05:30
2014-01-03,SMD-0174,OIL,NSE:OIL-EQ,155.0,158.33,154.37,157.12,166301,FYERS_HISTORY,2026-08-08T23:45:42+05:30
2014-01-06,SMD-0174,OIL,NSE:OIL-EQ,157.32,161.64,155.33,158.82,173483,FYERS_HISTORY,2026-08-08T23:45:42+05:30
2014-01-07,SMD-0174,OIL,NSE:OIL-EQ,159.32,159.57,154.13,154.93,186719,FYERS_HISTORY,2026-08-08T23:45:42+05:30
2014-01-08,SMD-0174,OIL,NSE:OIL-EQ,156.13,156.48,154.0,154.68,196100,FYERS_HISTORY,2026-08-08T23:45:42+05:30
2014-01-09,SMD-0174,OIL,NSE:OIL-EQ,155.0,156.67,153.7,155.48,266375,FYERS_HISTORY,2026-08-08T23:45:42+05:30
2014-01-10,SMD-0174,OIL,NSE:OIL-EQ,155.0,156.33,154.17,155.08,225443,FYERS_HISTORY,2026-08-08T23:45:42+05:30
2014-01-13,SMD-0174,OIL,NSE:OIL-EQ,156.33,161.25,156.33,160.75,378782,FYERS_HISTORY,2026-08-08T23:45:42+05:30
2014-01-14,SMD-0174,OIL,NSE:OIL-EQ,160.27,162.6,158.13,161.04,126320,FYERS_HISTORY,2026-08-08T23:45:42+05:30
2014-01-15,SMD-0174,OIL,NSE:OIL-EQ,162.27,162.27,158.45,159.98,388767,FYERS_HISTORY,2026-08-08T23:45:42+05:30
2014-01-16,SMD-0174,OIL,NSE:OIL-EQ,159.98,160.53,158.0,158.68,837488,FYERS_HISTORY,2026-08-08T23:45:42+05:30
2014-01-17,SMD-0174,OIL,NSE:OIL-EQ,157.68,159.0,155.0,157.58,317217,FYERS_HISTORY,2026-08-08T23:45:42+05:30
2014-01-20,SMD-0174,OIL,NSE:OIL-EQ,155.42,160.13,155.42,158.27,528659,FYERS_HISTORY,2026-08-08T23:45:42+05:30
2014-01-21,SMD-0174,OIL,NSE:OIL-EQ,158.67,161.0,158.42,159.18,123864,FYERS_HISTORY,2026-08-08T23:45:42+05:30
2014-01-22,SMD-0174,OIL,NSE:OIL-EQ,159.18,161.27,159.18,159.72,393329,FYERS_HISTORY,2026-08-08T23:45:42+05:30
2014-01-23,SMD-0174,OIL,NSE:OIL-EQ,159.88,161.33,158.67,160.3,161327,FYERS_HISTORY,2026-08-08T23:45:42+05:30
2014-01-24,SMD-0174,OIL,NSE:OIL-EQ,160.84,160.84,156.68,157.05,166679,FYERS_HISTORY,2026-08-08T23:45:42+05:30
2014-01-27,SMD-0174,OIL,NSE:OIL-EQ,156.67,157.0,150.33,152.2,235841,FYERS_HISTORY,2026-08-08T23:45:42+05:30
2014-01-28,SMD-0174,OIL,NSE:OIL-EQ,151.84,154.8,150.02,150.58,391457,FYERS_HISTORY,2026-08-08T23:45:42+05:30
2014-01-29,SMD-0174,OIL,NSE:OIL-EQ,152.0,155.82,151.04,155.13,511427,FYERS_HISTORY,2026-08-08T23:45:42+05:30
2014-01-30,SMD-0174,OIL,NSE:OIL-EQ,153.67,154.55,151.8,153.64,214713,FYERS_HISTORY,2026-08-08T23:45:42+05:30
2014-01-31,SMD-0174,OIL,NSE:OIL-EQ,153.67,159.27,153.67,158.07,273752,FYERS_HISTORY,2026-08-08T23:45:42+05:30
