trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2015-12-28,SMD-0175,ONGC,NSE:ONGC-EQ,156.0,160.87,156.0,160.13,3531082,FYERS_HISTORY,2026-08-08T23:45:55+05:30
2015-12-29,SMD-0175,ONGC,NSE:ONGC-EQ,160.0,161.23,158.3,159.83,2368569,FYERS_HISTORY,2026-08-08T23:45:55+05:30
2015-12-30,SMD-0175,ONGC,NSE:ONGC-EQ,160.0,161.87,159.6,159.93,2618588,FYERS_HISTORY,2026-08-08T23:45:55+05:30
2015-12-31,SMD-0175,ONGC,NSE:ONGC-EQ,159.67,162.53,156.77,161.17,4399110,FYERS_HISTORY,2026-08-08T23:45:55+05:30
2016-01-01,SMD-0175,ONGC,NSE:ONGC-EQ,159.93,162.27,158.73,161.67,1847985,FYERS_HISTORY,2026-08-08T23:45:55+05:30
2016-01-04,SMD-0175,ONGC,NSE:ONGC-EQ,160.67,163.2,157.1,158.7,2083421,FYERS_HISTORY,2026-08-08T23:45:55+05:30
2016-01-05,SMD-0175,ONGC,NSE:ONGC-EQ,160.0,162.83,159.37,161.23,2430875,FYERS_HISTORY,2026-08-08T23:45:55+05:30
2016-01-06,SMD-0175,ONGC,NSE:ONGC-EQ,161.33,161.53,156.43,158.37,2004807,FYERS_HISTORY,2026-08-08T23:45:55+05:30
2016-01-07,SMD-0175,ONGC,NSE:ONGC-EQ,154.0,155.93,149.37,151.07,5072924,FYERS_HISTORY,2026-08-08T23:45:55+05:30
2016-01-08,SMD-0175,ONGC,NSE:ONGC-EQ,152.0,154.53,150.43,153.43,4598879,FYERS_HISTORY,2026-08-08T23:45:55+05:30
2016-01-11,SMD-0175,ONGC,NSE:ONGC-EQ,150.67,151.5,148.1,150.33,4275597,FYERS_HISTORY,2026-08-08T23:45:55+05:30
2016-01-12,SMD-0175,ONGC,NSE:ONGC-EQ,149.33,149.53,146.67,147.57,3695782,FYERS_HISTORY,2026-08-08T23:45:55+05:30
2016-01-13,SMD-0175,ONGC,NSE:ONGC-EQ,148.67,149.3,145.03,148.8,3589717,FYERS_HISTORY,2026-08-08T23:45:55+05:30
2016-01-14,SMD-0175,ONGC,NSE:ONGC-EQ,147.3,150.33,144.4,148.83,4349051,FYERS_HISTORY,2026-08-08T23:45:55+05:30
2016-01-15,SMD-0175,ONGC,NSE:ONGC-EQ,149.6,149.6,145.2,146.3,3008388,FYERS_HISTORY,2026-08-08T23:45:55+05:30
2016-01-18,SMD-0175,ONGC,NSE:ONGC-EQ,144.67,145.33,140.83,142.93,3822690,FYERS_HISTORY,2026-08-08T23:45:55+05:30
2016-01-19,SMD-0175,ONGC,NSE:ONGC-EQ,143.73,146.27,141.0,145.33,2531939,FYERS_HISTORY,2026-08-08T23:45:55+05:30
2016-01-20,SMD-0175,ONGC,NSE:ONGC-EQ,142.73,143.4,139.47,142.2,4345939,FYERS_HISTORY,2026-08-08T23:45:55+05:30
2016-01-21,SMD-0175,ONGC,NSE:ONGC-EQ,142.43,143.17,137.3,138.2,5919729,FYERS_HISTORY,2026-08-08T23:45:55+05:30
2016-01-22,SMD-0175,ONGC,NSE:ONGC-EQ,141.3,144.67,139.87,144.17,4835825,FYERS_HISTORY,2026-08-08T23:45:55+05:30
2016-01-25,SMD-0175,ONGC,NSE:ONGC-EQ,146.93,147.5,144.37,146.43,3242696,FYERS_HISTORY,2026-08-08T23:45:55+05:30
2016-01-27,SMD-0175,ONGC,NSE:ONGC-EQ,146.47,147.83,144.67,145.6,4496043,FYERS_HISTORY,2026-08-08T23:45:55+05:30
2016-01-28,SMD-0175,ONGC,NSE:ONGC-EQ,145.33,147.2,143.5,146.6,5840671,FYERS_HISTORY,2026-08-08T23:45:55+05:30
2016-01-29,SMD-0175,ONGC,NSE:ONGC-EQ,147.53,151.9,147.33,150.83,8506493,FYERS_HISTORY,2026-08-08T23:45:55+05:30
2016-02-01,SMD-0175,ONGC,NSE:ONGC-EQ,151.87,151.87,147.7,150.03,2548494,FYERS_HISTORY,2026-08-08T23:45:55+05:30
2016-02-02,SMD-0175,ONGC,NSE:ONGC-EQ,148.13,149.6,143.6,144.37,4600320,FYERS_HISTORY,2026-08-08T23:45:55+05:30
2016-02-03,SMD-0175,ONGC,NSE:ONGC-EQ,142.47,144.67,140.2,142.03,3229311,FYERS_HISTORY,2026-08-08T23:45:55+05:30
2016-02-04,SMD-0175,ONGC,NSE:ONGC-EQ,145.27,147.0,144.17,146.67,4011027,FYERS_HISTORY,2026-08-08T23:45:55+05:30
2016-02-05,SMD-0175,ONGC,NSE:ONGC-EQ,146.87,147.9,145.03,146.63,3807113,FYERS_HISTORY,2026-08-08T23:45:55+05:30
2016-02-08,SMD-0175,ONGC,NSE:ONGC-EQ,146.67,146.8,141.1,142.7,1842740,FYERS_HISTORY,2026-08-08T23:45:55+05:30
2016-02-09,SMD-0175,ONGC,NSE:ONGC-EQ,140.6,146.37,140.33,145.43,2434497,FYERS_HISTORY,2026-08-08T23:45:55+05:30
2016-02-10,SMD-0175,ONGC,NSE:ONGC-EQ,142.57,144.0,140.53,142.33,2711173,FYERS_HISTORY,2026-08-08T23:45:55+05:30
2016-02-11,SMD-0175,ONGC,NSE:ONGC-EQ,142.53,142.6,133.37,135.43,5858032,FYERS_HISTORY,2026-08-08T23:45:55+05:30
2016-02-12,SMD-0175,ONGC,NSE:ONGC-EQ,133.33,133.33,125.17,128.83,6735103,FYERS_HISTORY,2026-08-08T23:45:55+05:30
