trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2007-03-16,SMD-0176,PAGEIND,NSE:PAGEIND-EQ,329.0,339.0,261.1,271.8,5111102,FYERS_HISTORY,2026-08-08T23:46:06+05:30
2007-03-19,SMD-0176,PAGEIND,NSE:PAGEIND-EQ,281.7,282.8,264.2,268.5,1768371,FYERS_HISTORY,2026-08-08T23:46:06+05:30
2007-03-20,SMD-0176,PAGEIND,NSE:PAGEIND-EQ,272.0,276.0,256.9,259.25,636655,FYERS_HISTORY,2026-08-08T23:46:06+05:30
2007-03-21,SMD-0176,PAGEIND,NSE:PAGEIND-EQ,260.1,262.0,245.8,248.45,469142,FYERS_HISTORY,2026-08-08T23:46:06+05:30
2007-03-22,SMD-0176,PAGEIND,NSE:PAGEIND-EQ,251.6,254.0,242.15,244.8,427544,FYERS_HISTORY,2026-08-08T23:46:06+05:30
2007-03-23,SMD-0176,PAGEIND,NSE:PAGEIND-EQ,244.1,293.8,240.0,293.8,1516769,FYERS_HISTORY,2026-08-08T23:46:06+05:30
2007-03-26,SMD-0176,PAGEIND,NSE:PAGEIND-EQ,310.0,338.0,296.5,300.4,3240966,FYERS_HISTORY,2026-08-08T23:46:06+05:30
2007-03-28,SMD-0176,PAGEIND,NSE:PAGEIND-EQ,298.9,311.95,273.1,298.2,2079439,FYERS_HISTORY,2026-08-08T23:46:06+05:30
2007-03-29,SMD-0176,PAGEIND,NSE:PAGEIND-EQ,295.1,314.8,295.0,302.4,1716241,FYERS_HISTORY,2026-08-08T23:46:06+05:30
2007-03-30,SMD-0176,PAGEIND,NSE:PAGEIND-EQ,308.0,309.3,294.05,296.6,578000,FYERS_HISTORY,2026-08-08T23:46:06+05:30
2007-04-02,SMD-0176,PAGEIND,NSE:PAGEIND-EQ,290.0,292.0,275.0,284.85,266950,FYERS_HISTORY,2026-08-08T23:46:06+05:30
2007-04-03,SMD-0176,PAGEIND,NSE:PAGEIND-EQ,289.0,300.0,286.55,290.0,435174,FYERS_HISTORY,2026-08-08T23:46:06+05:30
2007-04-04,SMD-0176,PAGEIND,NSE:PAGEIND-EQ,293.5,297.8,283.0,284.35,163908,FYERS_HISTORY,2026-08-08T23:46:06+05:30
2007-04-05,SMD-0176,PAGEIND,NSE:PAGEIND-EQ,280.0,296.65,279.1,282.05,238839,FYERS_HISTORY,2026-08-08T23:46:06+05:30
2007-04-09,SMD-0176,PAGEIND,NSE:PAGEIND-EQ,284.5,338.5,283.2,338.5,867976,FYERS_HISTORY,2026-08-08T23:46:06+05:30
2007-04-10,SMD-0176,PAGEIND,NSE:PAGEIND-EQ,350.0,390.0,327.4,331.5,2676428,FYERS_HISTORY,2026-08-08T23:46:06+05:30
