trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2024-12-26,SMD-0177,PATANJALI,NSE:PATANJALI-EQ,576.83,578.83,567.42,573.43,2879901,FYERS_HISTORY,2026-08-08T23:46:34+05:30
2024-12-27,SMD-0177,PATANJALI,NSE:PATANJALI-EQ,578.67,585.67,571.52,582.85,1860681,FYERS_HISTORY,2026-08-08T23:46:34+05:30
2024-12-30,SMD-0177,PATANJALI,NSE:PATANJALI-EQ,581.67,594.83,571.93,591.27,418839,FYERS_HISTORY,2026-08-08T23:46:34+05:30
2024-12-31,SMD-0177,PATANJALI,NSE:PATANJALI-EQ,587.98,600.0,580.27,593.98,880551,FYERS_HISTORY,2026-08-08T23:46:34+05:30
2025-01-01,SMD-0177,PATANJALI,NSE:PATANJALI-EQ,586.87,608.33,586.87,603.23,845361,FYERS_HISTORY,2026-08-08T23:46:34+05:30
2025-01-02,SMD-0177,PATANJALI,NSE:PATANJALI-EQ,603.0,618.68,601.38,612.68,754530,FYERS_HISTORY,2026-08-08T23:46:34+05:30
2025-01-03,SMD-0177,PATANJALI,NSE:PATANJALI-EQ,611.17,625.0,608.57,621.62,2510709,FYERS_HISTORY,2026-08-08T23:46:34+05:30
2025-01-06,SMD-0177,PATANJALI,NSE:PATANJALI-EQ,623.0,634.0,607.67,619.12,1960917,FYERS_HISTORY,2026-08-08T23:46:34+05:30
2025-01-07,SMD-0177,PATANJALI,NSE:PATANJALI-EQ,617.38,628.33,614.33,621.85,987075,FYERS_HISTORY,2026-08-08T23:46:34+05:30
2025-01-08,SMD-0177,PATANJALI,NSE:PATANJALI-EQ,626.95,628.0,611.68,618.53,1903611,FYERS_HISTORY,2026-08-08T23:46:34+05:30
2025-01-09,SMD-0177,PATANJALI,NSE:PATANJALI-EQ,614.98,623.83,612.02,619.48,964644,FYERS_HISTORY,2026-08-08T23:46:34+05:30
2025-01-10,SMD-0177,PATANJALI,NSE:PATANJALI-EQ,622.98,622.98,596.67,604.93,1940754,FYERS_HISTORY,2026-08-08T23:46:34+05:30
2025-01-13,SMD-0177,PATANJALI,NSE:PATANJALI-EQ,597.67,600.0,583.8,592.13,1470954,FYERS_HISTORY,2026-08-08T23:46:34+05:30
2025-01-14,SMD-0177,PATANJALI,NSE:PATANJALI-EQ,599.67,609.33,593.38,608.82,1586763,FYERS_HISTORY,2026-08-08T23:46:34+05:30
