trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2024-12-26,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,6364.95,6412.8,6299.3,6395.8,153355,FYERS_HISTORY,2026-08-08T23:47:09+05:30
2024-12-27,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,6400.0,6422.8,6356.1,6393.6,143250,FYERS_HISTORY,2026-08-08T23:47:09+05:30
2024-12-30,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,6410.05,6768.8,6288.95,6637.7,2234552,FYERS_HISTORY,2026-08-08T23:47:09+05:30
2024-12-31,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,6490.0,6523.15,6273.8,6457.7,573708,FYERS_HISTORY,2026-08-08T23:47:09+05:30
2025-01-01,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,6457.65,6502.05,6344.0,6436.8,189395,FYERS_HISTORY,2026-08-08T23:47:09+05:30
2025-01-02,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,6435.0,6513.0,6400.0,6481.15,249756,FYERS_HISTORY,2026-08-08T23:47:09+05:30
2025-01-03,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,6499.0,6527.85,6311.7,6405.95,246196,FYERS_HISTORY,2026-08-08T23:47:09+05:30
2025-01-06,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,6405.95,6488.85,6267.5,6311.15,314015,FYERS_HISTORY,2026-08-08T23:47:09+05:30
2025-01-07,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,6319.95,6404.4,6300.0,6334.3,367951,FYERS_HISTORY,2026-08-08T23:47:09+05:30
2025-01-08,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,6330.0,6333.25,6092.1,6230.2,454176,FYERS_HISTORY,2026-08-08T23:47:09+05:30
2025-01-09,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,6223.35,6296.0,6142.7,6179.35,377541,FYERS_HISTORY,2026-08-08T23:47:09+05:30
2025-01-10,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,6175.1,6410.0,6175.1,6319.65,705635,FYERS_HISTORY,2026-08-08T23:47:09+05:30
2025-01-13,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,6289.25,6306.65,5985.1,6003.4,540037,FYERS_HISTORY,2026-08-08T23:47:09+05:30
2025-01-14,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,6047.5,6069.0,5850.0,5880.1,839681,FYERS_HISTORY,2026-08-08T23:47:09+05:30
2025-01-15,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,5940.0,6219.4,5914.8,6111.25,1295234,FYERS_HISTORY,2026-08-08T23:47:09+05:30
2025-01-16,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,6155.2,6215.0,6051.1,6071.6,284470,FYERS_HISTORY,2026-08-08T23:47:09+05:30
2025-01-17,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,6095.0,6095.0,5930.35,5961.2,281302,FYERS_HISTORY,2026-08-08T23:47:09+05:30
2025-01-20,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,5994.0,6152.4,5840.0,6090.9,500440,FYERS_HISTORY,2026-08-08T23:47:09+05:30
2025-01-21,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,6095.4,6143.75,5881.7,5896.7,281341,FYERS_HISTORY,2026-08-08T23:47:09+05:30
2025-01-22,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,5750.0,5872.5,5445.0,5683.15,1209268,FYERS_HISTORY,2026-08-08T23:47:09+05:30
2025-01-23,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,5790.0,6359.1,5783.15,6287.7,2738505,FYERS_HISTORY,2026-08-08T23:47:09+05:30
2025-01-24,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,6287.7,6501.0,6230.05,6360.65,1433020,FYERS_HISTORY,2026-08-08T23:47:09+05:30
2025-01-27,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,6298.8,6312.4,6017.85,6061.25,571171,FYERS_HISTORY,2026-08-08T23:47:09+05:30
2025-01-28,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,6000.0,6059.0,5871.25,5910.3,681360,FYERS_HISTORY,2026-08-08T23:47:09+05:30
2025-01-29,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,5970.0,6310.0,5970.0,6275.95,724783,FYERS_HISTORY,2026-08-08T23:47:09+05:30
2025-01-30,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,6310.0,6338.6,6025.5,6056.7,454129,FYERS_HISTORY,2026-08-08T23:47:09+05:30
2025-01-31,SMD-0180,PERSISTENT,NSE:PERSISTENT-EQ,6080.4,6137.2,5964.0,6032.6,354309,FYERS_HISTORY,2026-08-08T23:47:09+05:30
