trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2005-12-30,SMD-0181,PETRONET,NSE:PETRONET-EQ,33.15,33.45,32.8,32.9,591816,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-01-02,SMD-0181,PETRONET,NSE:PETRONET-EQ,33.05,33.2,32.78,32.85,248848,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-01-03,SMD-0181,PETRONET,NSE:PETRONET-EQ,33.0,33.73,32.8,33.35,577421,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-01-04,SMD-0181,PETRONET,NSE:PETRONET-EQ,33.7,33.7,32.9,33.38,559856,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-01-05,SMD-0181,PETRONET,NSE:PETRONET-EQ,33.38,33.38,32.58,32.9,303612,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-01-06,SMD-0181,PETRONET,NSE:PETRONET-EQ,32.9,33.2,32.6,32.83,249981,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-01-09,SMD-0181,PETRONET,NSE:PETRONET-EQ,33.25,34.25,33.1,33.5,613549,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-01-10,SMD-0181,PETRONET,NSE:PETRONET-EQ,33.5,34.1,33.25,33.6,534491,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-01-12,SMD-0181,PETRONET,NSE:PETRONET-EQ,33.5,33.9,32.75,33.65,554959,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-01-13,SMD-0181,PETRONET,NSE:PETRONET-EQ,33.25,34.0,33.25,33.53,269739,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-01-16,SMD-0181,PETRONET,NSE:PETRONET-EQ,33.55,33.55,32.9,33.03,239068,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-01-17,SMD-0181,PETRONET,NSE:PETRONET-EQ,33.2,33.33,32.55,32.65,239165,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-01-18,SMD-0181,PETRONET,NSE:PETRONET-EQ,32.55,32.67,32.25,32.53,263202,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-01-19,SMD-0181,PETRONET,NSE:PETRONET-EQ,32.83,33.5,32.63,33.33,392496,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-01-20,SMD-0181,PETRONET,NSE:PETRONET-EQ,33.35,33.5,32.53,33.08,283021,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-01-23,SMD-0181,PETRONET,NSE:PETRONET-EQ,32.9,33.55,32.5,32.7,355937,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-01-24,SMD-0181,PETRONET,NSE:PETRONET-EQ,33.03,33.8,32.83,32.92,587688,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-01-25,SMD-0181,PETRONET,NSE:PETRONET-EQ,34.15,34.15,33.13,33.28,913575,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-01-27,SMD-0181,PETRONET,NSE:PETRONET-EQ,33.3,33.67,31.8,32.45,521916,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-01-30,SMD-0181,PETRONET,NSE:PETRONET-EQ,32.75,33.25,32.05,32.13,281330,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-01-31,SMD-0181,PETRONET,NSE:PETRONET-EQ,32.5,32.5,32.08,32.28,215786,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-02-01,SMD-0181,PETRONET,NSE:PETRONET-EQ,32.5,32.5,31.85,31.95,422808,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-02-02,SMD-0181,PETRONET,NSE:PETRONET-EQ,32.2,32.2,31.05,31.28,335677,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-02-03,SMD-0181,PETRONET,NSE:PETRONET-EQ,31.5,31.7,31.1,31.45,423553,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-02-06,SMD-0181,PETRONET,NSE:PETRONET-EQ,31.7,32.1,31.38,31.63,442807,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-02-07,SMD-0181,PETRONET,NSE:PETRONET-EQ,31.75,31.98,31.28,31.38,249279,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-02-08,SMD-0181,PETRONET,NSE:PETRONET-EQ,31.45,31.6,31.25,31.33,241213,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-02-10,SMD-0181,PETRONET,NSE:PETRONET-EQ,31.55,31.55,31.0,31.13,240462,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-02-13,SMD-0181,PETRONET,NSE:PETRONET-EQ,31.25,31.5,31.15,31.23,194842,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-02-14,SMD-0181,PETRONET,NSE:PETRONET-EQ,31.28,31.45,31.05,31.1,167863,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-02-15,SMD-0181,PETRONET,NSE:PETRONET-EQ,31.25,31.43,30.9,30.98,198271,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-02-16,SMD-0181,PETRONET,NSE:PETRONET-EQ,31.25,32.05,31.1,31.23,480941,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-02-17,SMD-0181,PETRONET,NSE:PETRONET-EQ,31.5,31.6,30.65,30.78,251605,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-02-20,SMD-0181,PETRONET,NSE:PETRONET-EQ,30.88,30.88,29.88,30.0,319081,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-02-21,SMD-0181,PETRONET,NSE:PETRONET-EQ,30.9,30.9,29.53,29.6,286073,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-02-22,SMD-0181,PETRONET,NSE:PETRONET-EQ,29.75,30.0,28.95,29.03,511956,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-02-23,SMD-0181,PETRONET,NSE:PETRONET-EQ,29.2,30.3,28.88,29.83,486645,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-02-24,SMD-0181,PETRONET,NSE:PETRONET-EQ,29.95,30.73,29.85,30.6,448407,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-02-27,SMD-0181,PETRONET,NSE:PETRONET-EQ,30.65,31.35,30.4,30.53,319969,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-02-28,SMD-0181,PETRONET,NSE:PETRONET-EQ,30.8,30.93,29.8,30.05,273295,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-03-01,SMD-0181,PETRONET,NSE:PETRONET-EQ,29.55,30.18,29.25,29.33,295926,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-03-02,SMD-0181,PETRONET,NSE:PETRONET-EQ,29.9,29.98,29.2,29.33,280439,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-03-03,SMD-0181,PETRONET,NSE:PETRONET-EQ,29.5,29.73,29.3,29.45,231397,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-03-06,SMD-0181,PETRONET,NSE:PETRONET-EQ,30.0,30.5,29.0,29.93,250910,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-03-07,SMD-0181,PETRONET,NSE:PETRONET-EQ,30.38,30.5,29.98,30.35,302476,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-03-08,SMD-0181,PETRONET,NSE:PETRONET-EQ,30.35,30.75,30.0,30.53,357768,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-03-09,SMD-0181,PETRONET,NSE:PETRONET-EQ,30.75,30.9,29.6,29.75,163471,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-03-10,SMD-0181,PETRONET,NSE:PETRONET-EQ,30.0,30.0,29.35,29.43,250811,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-03-13,SMD-0181,PETRONET,NSE:PETRONET-EQ,29.75,30.0,28.75,28.83,376316,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-03-14,SMD-0181,PETRONET,NSE:PETRONET-EQ,29.03,29.13,28.15,28.28,493331,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-03-16,SMD-0181,PETRONET,NSE:PETRONET-EQ,28.4,28.65,27.28,27.43,666691,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-03-17,SMD-0181,PETRONET,NSE:PETRONET-EQ,27.78,28.23,26.78,27.73,682373,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-03-20,SMD-0181,PETRONET,NSE:PETRONET-EQ,28.0,28.45,27.33,27.48,361775,FYERS_HISTORY,2026-08-08T23:47:14+05:30
2006-03-21,SMD-0181,PETRONET,NSE:PETRONET-EQ,27.5,28.0,27.38,27.65,301806,FYERS_HISTORY,2026-08-08T23:47:14+05:30
