trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2008-12-29,SMD-0181,PETRONET,NSE:PETRONET-EQ,18.75,19.0,18.1,18.73,555060,FYERS_HISTORY,2026-08-08T23:47:15+05:30
2008-12-30,SMD-0181,PETRONET,NSE:PETRONET-EQ,18.77,20.18,18.77,19.68,1295796,FYERS_HISTORY,2026-08-08T23:47:15+05:30
2008-12-31,SMD-0181,PETRONET,NSE:PETRONET-EQ,19.98,20.45,19.58,19.83,1171866,FYERS_HISTORY,2026-08-08T23:47:15+05:30
2009-01-01,SMD-0181,PETRONET,NSE:PETRONET-EQ,19.95,20.33,19.8,20.15,655599,FYERS_HISTORY,2026-08-08T23:47:15+05:30
2009-01-02,SMD-0181,PETRONET,NSE:PETRONET-EQ,20.25,21.0,20.15,20.68,1468149,FYERS_HISTORY,2026-08-08T23:47:15+05:30
2009-01-05,SMD-0181,PETRONET,NSE:PETRONET-EQ,21.03,21.6,20.75,21.33,1479880,FYERS_HISTORY,2026-08-08T23:47:15+05:30
2009-01-06,SMD-0181,PETRONET,NSE:PETRONET-EQ,21.55,21.95,20.25,20.9,1664992,FYERS_HISTORY,2026-08-08T23:47:15+05:30
2009-01-07,SMD-0181,PETRONET,NSE:PETRONET-EQ,21.0,21.28,17.8,18.58,1185757,FYERS_HISTORY,2026-08-08T23:47:15+05:30
2009-01-09,SMD-0181,PETRONET,NSE:PETRONET-EQ,18.6,18.85,17.0,18.08,1289048,FYERS_HISTORY,2026-08-08T23:47:15+05:30
2009-01-12,SMD-0181,PETRONET,NSE:PETRONET-EQ,18.55,18.58,17.7,17.77,481272,FYERS_HISTORY,2026-08-08T23:47:15+05:30
2009-01-13,SMD-0181,PETRONET,NSE:PETRONET-EQ,17.52,18.25,17.05,17.23,522953,FYERS_HISTORY,2026-08-08T23:47:15+05:30
2009-01-14,SMD-0181,PETRONET,NSE:PETRONET-EQ,17.77,19.85,17.65,18.65,2654192,FYERS_HISTORY,2026-08-08T23:47:15+05:30
2009-01-15,SMD-0181,PETRONET,NSE:PETRONET-EQ,17.5,18.75,17.27,18.38,1276447,FYERS_HISTORY,2026-08-08T23:47:15+05:30
2009-01-16,SMD-0181,PETRONET,NSE:PETRONET-EQ,18.0,18.8,18.0,18.45,709619,FYERS_HISTORY,2026-08-08T23:47:15+05:30
2009-01-19,SMD-0181,PETRONET,NSE:PETRONET-EQ,18.6,18.93,18.43,18.6,495218,FYERS_HISTORY,2026-08-08T23:47:15+05:30
2009-01-20,SMD-0181,PETRONET,NSE:PETRONET-EQ,18.6,18.7,18.02,18.4,547887,FYERS_HISTORY,2026-08-08T23:47:15+05:30
2009-01-21,SMD-0181,PETRONET,NSE:PETRONET-EQ,18.25,18.5,17.95,18.08,410712,FYERS_HISTORY,2026-08-08T23:47:15+05:30
2009-01-22,SMD-0181,PETRONET,NSE:PETRONET-EQ,18.48,19.0,17.25,17.33,693124,FYERS_HISTORY,2026-08-08T23:47:15+05:30
2009-01-23,SMD-0181,PETRONET,NSE:PETRONET-EQ,17.35,17.48,16.55,16.8,613890,FYERS_HISTORY,2026-08-08T23:47:15+05:30
