trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2022-12-26,SMD-0181,PETRONET,NSE:PETRONET-EQ,207.0,210.3,206.15,209.85,599695,FYERS_HISTORY,2026-08-08T23:47:22+05:30
2022-12-27,SMD-0181,PETRONET,NSE:PETRONET-EQ,209.85,212.05,209.45,211.9,824369,FYERS_HISTORY,2026-08-08T23:47:22+05:30
2022-12-28,SMD-0181,PETRONET,NSE:PETRONET-EQ,211.45,213.9,210.45,212.55,1834446,FYERS_HISTORY,2026-08-08T23:47:22+05:30
2022-12-29,SMD-0181,PETRONET,NSE:PETRONET-EQ,211.55,215.2,210.25,214.5,2878465,FYERS_HISTORY,2026-08-08T23:47:22+05:30
2022-12-30,SMD-0181,PETRONET,NSE:PETRONET-EQ,215.0,218.65,214.45,215.45,3070732,FYERS_HISTORY,2026-08-08T23:47:22+05:30
2023-01-02,SMD-0181,PETRONET,NSE:PETRONET-EQ,214.95,217.1,212.75,216.6,1633559,FYERS_HISTORY,2026-08-08T23:47:22+05:30
2023-01-03,SMD-0181,PETRONET,NSE:PETRONET-EQ,216.6,217.2,214.65,216.1,1173568,FYERS_HISTORY,2026-08-08T23:47:22+05:30
2023-01-04,SMD-0181,PETRONET,NSE:PETRONET-EQ,216.9,219.8,214.25,216.55,3685593,FYERS_HISTORY,2026-08-08T23:47:22+05:30
2023-01-05,SMD-0181,PETRONET,NSE:PETRONET-EQ,217.8,221.0,215.6,220.5,3054569,FYERS_HISTORY,2026-08-08T23:47:22+05:30
2023-01-06,SMD-0181,PETRONET,NSE:PETRONET-EQ,221.0,221.75,216.4,217.9,1592524,FYERS_HISTORY,2026-08-08T23:47:22+05:30
2023-01-09,SMD-0181,PETRONET,NSE:PETRONET-EQ,219.75,220.25,217.05,219.3,789323,FYERS_HISTORY,2026-08-08T23:47:22+05:30
2023-01-10,SMD-0181,PETRONET,NSE:PETRONET-EQ,219.3,221.35,217.8,219.85,1077675,FYERS_HISTORY,2026-08-08T23:47:22+05:30
2023-01-11,SMD-0181,PETRONET,NSE:PETRONET-EQ,220.7,223.5,219.5,220.5,1604601,FYERS_HISTORY,2026-08-08T23:47:22+05:30
2023-01-12,SMD-0181,PETRONET,NSE:PETRONET-EQ,221.8,221.8,216.85,218.9,1865692,FYERS_HISTORY,2026-08-08T23:47:22+05:30
2023-01-13,SMD-0181,PETRONET,NSE:PETRONET-EQ,221.0,222.4,219.0,221.05,1576515,FYERS_HISTORY,2026-08-08T23:47:22+05:30
2023-01-16,SMD-0181,PETRONET,NSE:PETRONET-EQ,222.0,222.5,218.0,219.2,994409,FYERS_HISTORY,2026-08-08T23:47:22+05:30
2023-01-17,SMD-0181,PETRONET,NSE:PETRONET-EQ,219.2,220.85,217.55,219.7,938064,FYERS_HISTORY,2026-08-08T23:47:22+05:30
2023-01-18,SMD-0181,PETRONET,NSE:PETRONET-EQ,219.95,222.4,219.8,222.0,1270865,FYERS_HISTORY,2026-08-08T23:47:22+05:30
