trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2009-12-29,SMD-0182,PFC,NSE:PFC-EQ,103.66,103.78,101.34,101.94,1007846,FYERS_HISTORY,2026-08-08T23:47:31+05:30
2009-12-30,SMD-0182,PFC,NSE:PFC-EQ,101.98,103.08,101.4,102.44,476918,FYERS_HISTORY,2026-08-08T23:47:31+05:30
2009-12-31,SMD-0182,PFC,NSE:PFC-EQ,103.6,105.0,103.0,104.58,753958,FYERS_HISTORY,2026-08-08T23:47:31+05:30
2010-01-04,SMD-0182,PFC,NSE:PFC-EQ,105.0,105.36,101.62,102.2,822998,FYERS_HISTORY,2026-08-08T23:47:31+05:30
2010-01-05,SMD-0182,PFC,NSE:PFC-EQ,103.42,104.92,102.6,104.44,826385,FYERS_HISTORY,2026-08-08T23:47:31+05:30
2010-01-06,SMD-0182,PFC,NSE:PFC-EQ,103.24,105.1,102.4,103.88,584713,FYERS_HISTORY,2026-08-08T23:47:31+05:30
2010-01-07,SMD-0182,PFC,NSE:PFC-EQ,104.0,104.8,102.5,103.96,245395,FYERS_HISTORY,2026-08-08T23:47:31+05:30
2010-01-08,SMD-0182,PFC,NSE:PFC-EQ,104.4,104.92,103.0,103.38,180639,FYERS_HISTORY,2026-08-08T23:47:31+05:30
2010-01-11,SMD-0182,PFC,NSE:PFC-EQ,103.4,108.08,103.4,107.54,846623,FYERS_HISTORY,2026-08-08T23:47:31+05:30
2010-01-12,SMD-0182,PFC,NSE:PFC-EQ,112.0,112.0,105.8,108.16,622738,FYERS_HISTORY,2026-08-08T23:47:31+05:30
2010-01-13,SMD-0182,PFC,NSE:PFC-EQ,108.8,109.2,106.9,108.58,395098,FYERS_HISTORY,2026-08-08T23:47:31+05:30
2010-01-14,SMD-0182,PFC,NSE:PFC-EQ,107.26,113.68,107.26,113.08,1061758,FYERS_HISTORY,2026-08-08T23:47:31+05:30
2010-01-15,SMD-0182,PFC,NSE:PFC-EQ,113.64,114.0,111.52,112.48,421348,FYERS_HISTORY,2026-08-08T23:47:31+05:30
2010-01-18,SMD-0182,PFC,NSE:PFC-EQ,112.32,112.4,109.6,110.08,442749,FYERS_HISTORY,2026-08-08T23:47:31+05:30
2010-01-19,SMD-0182,PFC,NSE:PFC-EQ,109.6,112.0,107.66,108.4,796796,FYERS_HISTORY,2026-08-08T23:47:31+05:30
2010-01-20,SMD-0182,PFC,NSE:PFC-EQ,108.8,110.38,108.04,109.58,452174,FYERS_HISTORY,2026-08-08T23:47:31+05:30
2010-01-21,SMD-0182,PFC,NSE:PFC-EQ,108.48,109.96,107.86,108.76,357964,FYERS_HISTORY,2026-08-08T23:47:31+05:30
2010-01-22,SMD-0182,PFC,NSE:PFC-EQ,106.84,108.32,105.6,107.36,349134,FYERS_HISTORY,2026-08-08T23:47:31+05:30
2010-01-25,SMD-0182,PFC,NSE:PFC-EQ,106.34,107.36,105.6,106.22,452029,FYERS_HISTORY,2026-08-08T23:47:31+05:30
2010-01-27,SMD-0182,PFC,NSE:PFC-EQ,105.8,106.72,96.16,98.0,1045391,FYERS_HISTORY,2026-08-08T23:47:31+05:30
2010-01-28,SMD-0182,PFC,NSE:PFC-EQ,98.8,100.8,96.24,96.86,582376,FYERS_HISTORY,2026-08-08T23:47:31+05:30
2010-01-29,SMD-0182,PFC,NSE:PFC-EQ,96.0,106.6,93.7,96.86,1286314,FYERS_HISTORY,2026-08-08T23:47:31+05:30
2010-02-01,SMD-0182,PFC,NSE:PFC-EQ,97.2,100.16,97.0,99.86,491785,FYERS_HISTORY,2026-08-08T23:47:31+05:30
2010-02-02,SMD-0182,PFC,NSE:PFC-EQ,100.0,103.18,100.0,101.5,555629,FYERS_HISTORY,2026-08-08T23:47:31+05:30
2010-02-03,SMD-0182,PFC,NSE:PFC-EQ,101.6,103.96,100.88,102.54,267370,FYERS_HISTORY,2026-08-08T23:47:31+05:30
2010-02-04,SMD-0182,PFC,NSE:PFC-EQ,103.2,103.48,101.96,102.12,231158,FYERS_HISTORY,2026-08-08T23:47:31+05:30
2010-02-05,SMD-0182,PFC,NSE:PFC-EQ,99.32,102.5,98.4,100.94,185910,FYERS_HISTORY,2026-08-08T23:47:31+05:30
2010-02-06,SMD-0182,PFC,NSE:PFC-EQ,99.86,101.6,99.68,100.8,36343,FYERS_HISTORY,2026-08-08T23:47:31+05:30
2010-02-08,SMD-0182,PFC,NSE:PFC-EQ,102.4,102.4,96.6,97.54,592538,FYERS_HISTORY,2026-08-08T23:47:31+05:30
2010-02-09,SMD-0182,PFC,NSE:PFC-EQ,99.48,100.16,96.1,98.52,646766,FYERS_HISTORY,2026-08-08T23:47:31+05:30
2010-02-10,SMD-0182,PFC,NSE:PFC-EQ,99.0,100.62,98.56,99.16,291116,FYERS_HISTORY,2026-08-08T23:47:31+05:30
2010-02-11,SMD-0182,PFC,NSE:PFC-EQ,99.0,100.36,96.32,96.72,1021331,FYERS_HISTORY,2026-08-08T23:47:31+05:30
2010-02-15,SMD-0182,PFC,NSE:PFC-EQ,97.92,99.48,96.92,97.62,295499,FYERS_HISTORY,2026-08-08T23:47:31+05:30
2010-02-16,SMD-0182,PFC,NSE:PFC-EQ,97.24,98.72,96.82,97.66,262138,FYERS_HISTORY,2026-08-08T23:47:31+05:30
2010-02-17,SMD-0182,PFC,NSE:PFC-EQ,98.0,99.8,96.6,96.88,457809,FYERS_HISTORY,2026-08-08T23:47:31+05:30
2010-02-18,SMD-0182,PFC,NSE:PFC-EQ,96.04,97.86,93.44,93.82,1472464,FYERS_HISTORY,2026-08-08T23:47:31+05:30
2010-02-19,SMD-0182,PFC,NSE:PFC-EQ,93.28,96.36,92.14,93.9,657994,FYERS_HISTORY,2026-08-08T23:47:31+05:30
2010-02-22,SMD-0182,PFC,NSE:PFC-EQ,94.8,95.2,92.54,92.96,234285,FYERS_HISTORY,2026-08-08T23:47:31+05:30
2010-02-23,SMD-0182,PFC,NSE:PFC-EQ,93.6,94.78,91.08,92.78,1327776,FYERS_HISTORY,2026-08-08T23:47:31+05:30
2010-02-24,SMD-0182,PFC,NSE:PFC-EQ,92.76,97.18,92.22,96.84,847324,FYERS_HISTORY,2026-08-08T23:47:31+05:30
2010-02-25,SMD-0182,PFC,NSE:PFC-EQ,98.0,100.8,95.8,99.96,480515,FYERS_HISTORY,2026-08-08T23:47:31+05:30
2010-02-26,SMD-0182,PFC,NSE:PFC-EQ,99.24,101.9,98.8,100.12,730409,FYERS_HISTORY,2026-08-08T23:47:31+05:30
