trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2015-12-28,SMD-0184,PHOENIXLTD,NSE:PHOENIXLTD-EQ,172.23,172.23,167.98,169.48,2486,FYERS_HISTORY,2026-08-08T23:48:04+05:30
2015-12-29,SMD-0184,PHOENIXLTD,NSE:PHOENIXLTD-EQ,172.53,173.5,167.48,167.8,8284,FYERS_HISTORY,2026-08-08T23:48:04+05:30
2015-12-30,SMD-0184,PHOENIXLTD,NSE:PHOENIXLTD-EQ,166.98,172.53,166.05,166.1,554,FYERS_HISTORY,2026-08-08T23:48:04+05:30
2015-12-31,SMD-0184,PHOENIXLTD,NSE:PHOENIXLTD-EQ,168.78,169.55,162.5,167.85,5814,FYERS_HISTORY,2026-08-08T23:48:04+05:30
2016-01-01,SMD-0184,PHOENIXLTD,NSE:PHOENIXLTD-EQ,166.98,173.0,166.0,166.93,2632,FYERS_HISTORY,2026-08-08T23:48:04+05:30
2016-01-04,SMD-0184,PHOENIXLTD,NSE:PHOENIXLTD-EQ,170.03,170.98,162.55,164.35,4938,FYERS_HISTORY,2026-08-08T23:48:04+05:30
2016-01-05,SMD-0184,PHOENIXLTD,NSE:PHOENIXLTD-EQ,168.73,175.0,163.1,172.55,5892,FYERS_HISTORY,2026-08-08T23:48:04+05:30
2016-01-06,SMD-0184,PHOENIXLTD,NSE:PHOENIXLTD-EQ,173.23,173.23,166.5,167.53,24320,FYERS_HISTORY,2026-08-08T23:48:04+05:30
2016-01-07,SMD-0184,PHOENIXLTD,NSE:PHOENIXLTD-EQ,167.53,169.95,163.1,164.38,1100,FYERS_HISTORY,2026-08-08T23:48:04+05:30
2016-01-08,SMD-0184,PHOENIXLTD,NSE:PHOENIXLTD-EQ,168.5,170.28,163.5,165.53,2508,FYERS_HISTORY,2026-08-08T23:48:04+05:30
2016-01-11,SMD-0184,PHOENIXLTD,NSE:PHOENIXLTD-EQ,169.5,169.5,163.55,165.08,9942,FYERS_HISTORY,2026-08-08T23:48:04+05:30
2016-01-12,SMD-0184,PHOENIXLTD,NSE:PHOENIXLTD-EQ,169.45,169.45,162.63,164.65,28056,FYERS_HISTORY,2026-08-08T23:48:04+05:30
2016-01-13,SMD-0184,PHOENIXLTD,NSE:PHOENIXLTD-EQ,163.05,169.4,157.6,159.48,21772,FYERS_HISTORY,2026-08-08T23:48:04+05:30
2016-01-14,SMD-0184,PHOENIXLTD,NSE:PHOENIXLTD-EQ,159.48,159.5,155.25,157.5,6194,FYERS_HISTORY,2026-08-08T23:48:04+05:30
2016-01-15,SMD-0184,PHOENIXLTD,NSE:PHOENIXLTD-EQ,158.98,164.73,154.5,156.13,19942,FYERS_HISTORY,2026-08-08T23:48:04+05:30
2016-01-18,SMD-0184,PHOENIXLTD,NSE:PHOENIXLTD-EQ,157.0,157.5,148.78,149.5,2130,FYERS_HISTORY,2026-08-08T23:48:04+05:30
2016-01-19,SMD-0184,PHOENIXLTD,NSE:PHOENIXLTD-EQ,152.5,152.5,144.28,146.43,6156,FYERS_HISTORY,2026-08-08T23:48:04+05:30
2016-01-20,SMD-0184,PHOENIXLTD,NSE:PHOENIXLTD-EQ,146.43,147.45,146.0,146.9,1918,FYERS_HISTORY,2026-08-08T23:48:04+05:30
2016-01-21,SMD-0184,PHOENIXLTD,NSE:PHOENIXLTD-EQ,148.5,152.45,140.5,150.0,246404,FYERS_HISTORY,2026-08-08T23:48:04+05:30
