trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2017-12-27,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,455.0,465.0,452.5,456.9,1818200,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2017-12-28,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,457.5,459.0,450.0,450.75,991880,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2017-12-29,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,451.15,457.25,450.0,451.1,1015750,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-01-01,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,452.48,454.4,449.0,450.0,320954,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-01-02,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,450.5,452.45,438.5,444.6,1289786,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-01-03,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,444.9,457.75,444.5,456.98,1104348,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-01-04,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,458.75,459.5,452.0,452.8,908898,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-01-05,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,452.8,456.98,452.0,455.1,832830,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-01-08,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,455.55,458.0,453.75,456.08,423796,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-01-09,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,456.45,461.45,453.13,457.43,1085686,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-01-10,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,457.55,461.43,454.55,455.88,899930,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-01-11,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,450.75,456.0,448.3,449.78,869212,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-01-12,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,451.3,460.58,442.53,455.05,1339724,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-01-15,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,455.95,458.0,451.1,452.33,691218,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-01-16,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,451.5,454.7,442.65,450.13,951038,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-01-17,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,448.0,450.85,444.0,448.25,1099786,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-01-18,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,450.0,451.45,444.2,446.6,549474,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-01-19,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,446.5,449.0,444.0,445.18,371014,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-01-22,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,445.53,452.38,443.3,447.5,857602,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-01-23,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,450.0,451.63,441.15,443.18,1018262,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-01-24,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,443.18,443.18,435.03,438.03,725630,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-01-25,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,445.75,449.73,437.5,438.63,1761728,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-01-29,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,440.05,448.7,440.05,446.8,1202018,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-01-30,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,446.83,447.5,442.38,442.98,469418,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-01-31,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,440.63,449.25,440.63,448.15,1418022,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-02-01,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,447.0,454.5,436.1,449.5,1941592,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-02-02,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,448.1,448.1,428.68,431.4,1585972,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-02-05,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,425.0,439.5,424.3,437.6,1048004,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-02-06,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,431.5,435.68,422.53,433.25,1004822,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-02-07,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,437.45,439.45,431.05,432.58,460782,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-02-08,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,437.55,446.4,433.7,442.45,1672240,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-02-09,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,433.95,442.5,432.5,439.1,973392,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-02-12,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,440.0,450.0,437.05,447.25,1852926,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-02-14,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,450.0,453.0,445.0,447.43,1305044,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-02-15,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,449.9,451.48,442.13,444.15,495024,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-02-16,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,445.0,448.5,439.3,445.83,1782938,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-02-19,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,448.5,449.4,442.5,448.05,673786,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-02-20,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,448.83,449.75,444.38,447.1,349116,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-02-21,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,447.55,455.18,443.55,451.58,1478646,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-02-22,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,452.0,452.88,441.35,442.75,1025524,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-02-23,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,442.5,453.45,440.18,450.35,1803266,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-02-26,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,449.8,451.85,444.4,445.75,1257640,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-02-27,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,446.03,448.68,441.63,442.9,951096,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-02-28,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,441.13,454.4,437.5,450.48,2240998,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-03-01,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,449.4,450.73,446.13,447.2,244764,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-03-05,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,447.25,448.0,441.0,444.98,379286,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-03-06,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,445.0,448.0,438.85,441.03,592456,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-03-07,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,441.0,442.0,434.03,435.65,572614,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-03-08,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,438.23,440.0,429.18,436.13,796856,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-03-09,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,437.5,441.6,435.63,439.35,476632,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-03-12,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,442.85,447.5,440.93,445.13,1041890,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-03-13,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,443.7,452.88,443.05,449.93,788750,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-03-14,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,449.85,455.38,448.6,453.13,907616,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-03-15,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,454.13,458.73,450.28,454.78,871214,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-03-16,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,454.98,462.0,454.5,458.15,1465060,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-03-19,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,461.0,461.43,451.2,453.83,471440,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-03-20,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,452.85,454.9,449.5,451.35,481170,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-03-21,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,451.35,457.45,449.15,451.18,1071454,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-03-22,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,452.35,455.3,450.88,454.05,1071152,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-03-23,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,451.5,453.0,446.13,451.1,983630,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-03-26,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,451.1,456.88,450.78,453.68,1061506,FYERS_HISTORY,2026-08-08T23:48:19+05:30
2018-03-27,SMD-0185,PIDILITIND,NSE:PIDILITIND-EQ,456.5,466.5,455.0,463.15,1782012,FYERS_HISTORY,2026-08-08T23:48:19+05:30
