trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2024-12-26,SMD-0186,PIIND,NSE:PIIND-EQ,3792.35,3799.85,3728.0,3746.0,588710,FYERS_HISTORY,2026-08-08T23:48:39+05:30
2024-12-27,SMD-0186,PIIND,NSE:PIIND-EQ,3746.0,3753.3,3711.15,3744.25,388326,FYERS_HISTORY,2026-08-08T23:48:39+05:30
2024-12-30,SMD-0186,PIIND,NSE:PIIND-EQ,3744.9,3767.8,3675.6,3736.15,523817,FYERS_HISTORY,2026-08-08T23:48:39+05:30
2024-12-31,SMD-0186,PIIND,NSE:PIIND-EQ,3722.1,3732.85,3676.35,3685.65,428992,FYERS_HISTORY,2026-08-08T23:48:39+05:30
2025-01-01,SMD-0186,PIIND,NSE:PIIND-EQ,3690.0,3700.2,3647.3,3691.25,92935,FYERS_HISTORY,2026-08-08T23:48:39+05:30
2025-01-02,SMD-0186,PIIND,NSE:PIIND-EQ,3700.0,3730.0,3661.25,3719.35,181694,FYERS_HISTORY,2026-08-08T23:48:39+05:30
2025-01-03,SMD-0186,PIIND,NSE:PIIND-EQ,3729.95,3734.05,3626.05,3668.4,451532,FYERS_HISTORY,2026-08-08T23:48:39+05:30
2025-01-06,SMD-0186,PIIND,NSE:PIIND-EQ,3670.0,3687.3,3581.2,3600.2,381910,FYERS_HISTORY,2026-08-08T23:48:39+05:30
2025-01-07,SMD-0186,PIIND,NSE:PIIND-EQ,3623.9,3635.0,3585.95,3592.85,417142,FYERS_HISTORY,2026-08-08T23:48:39+05:30
2025-01-08,SMD-0186,PIIND,NSE:PIIND-EQ,3616.2,3652.85,3574.3,3630.45,569680,FYERS_HISTORY,2026-08-08T23:48:39+05:30
2025-01-09,SMD-0186,PIIND,NSE:PIIND-EQ,3635.0,3731.25,3630.45,3659.85,388008,FYERS_HISTORY,2026-08-08T23:48:39+05:30
2025-01-10,SMD-0186,PIIND,NSE:PIIND-EQ,3680.0,3700.0,3601.0,3614.5,315893,FYERS_HISTORY,2026-08-08T23:48:39+05:30
2025-01-13,SMD-0186,PIIND,NSE:PIIND-EQ,3602.0,3610.0,3395.0,3400.3,376760,FYERS_HISTORY,2026-08-08T23:48:39+05:30
2025-01-14,SMD-0186,PIIND,NSE:PIIND-EQ,3412.8,3507.95,3412.8,3463.2,223455,FYERS_HISTORY,2026-08-08T23:48:39+05:30
2025-01-15,SMD-0186,PIIND,NSE:PIIND-EQ,3485.75,3486.3,3440.0,3459.35,191829,FYERS_HISTORY,2026-08-08T23:48:39+05:30
2025-01-16,SMD-0186,PIIND,NSE:PIIND-EQ,3482.0,3505.55,3444.1,3480.45,202745,FYERS_HISTORY,2026-08-08T23:48:39+05:30
2025-01-17,SMD-0186,PIIND,NSE:PIIND-EQ,3482.3,3565.65,3479.05,3550.9,187757,FYERS_HISTORY,2026-08-08T23:48:39+05:30
2025-01-20,SMD-0186,PIIND,NSE:PIIND-EQ,3623.95,3623.95,3536.0,3597.45,163715,FYERS_HISTORY,2026-08-08T23:48:39+05:30
2025-01-21,SMD-0186,PIIND,NSE:PIIND-EQ,3616.95,3620.0,3504.0,3519.85,187358,FYERS_HISTORY,2026-08-08T23:48:39+05:30
2025-01-22,SMD-0186,PIIND,NSE:PIIND-EQ,3523.65,3561.9,3465.5,3500.65,194028,FYERS_HISTORY,2026-08-08T23:48:39+05:30
2025-01-23,SMD-0186,PIIND,NSE:PIIND-EQ,3522.55,3570.95,3482.65,3526.65,103745,FYERS_HISTORY,2026-08-08T23:48:39+05:30
2025-01-24,SMD-0186,PIIND,NSE:PIIND-EQ,3510.0,3544.55,3481.25,3501.6,250360,FYERS_HISTORY,2026-08-08T23:48:39+05:30
2025-01-27,SMD-0186,PIIND,NSE:PIIND-EQ,3501.6,3515.0,3357.0,3373.3,304672,FYERS_HISTORY,2026-08-08T23:48:39+05:30
2025-01-28,SMD-0186,PIIND,NSE:PIIND-EQ,3373.3,3415.75,3333.3,3347.9,199980,FYERS_HISTORY,2026-08-08T23:48:39+05:30
2025-01-29,SMD-0186,PIIND,NSE:PIIND-EQ,3350.0,3438.3,3327.5,3425.2,126453,FYERS_HISTORY,2026-08-08T23:48:39+05:30
2025-01-30,SMD-0186,PIIND,NSE:PIIND-EQ,3435.0,3479.95,3425.2,3456.6,256135,FYERS_HISTORY,2026-08-08T23:48:39+05:30
2025-01-31,SMD-0186,PIIND,NSE:PIIND-EQ,3469.0,3502.65,3387.05,3483.75,342427,FYERS_HISTORY,2026-08-08T23:48:39+05:30
2025-02-01,SMD-0186,PIIND,NSE:PIIND-EQ,3500.0,3541.5,3431.5,3481.7,108705,FYERS_HISTORY,2026-08-08T23:48:39+05:30
2025-02-03,SMD-0186,PIIND,NSE:PIIND-EQ,3476.1,3692.5,3476.1,3619.45,1156135,FYERS_HISTORY,2026-08-08T23:48:39+05:30
2025-02-04,SMD-0186,PIIND,NSE:PIIND-EQ,3609.05,3609.05,3528.0,3574.45,218062,FYERS_HISTORY,2026-08-08T23:48:39+05:30
2025-02-05,SMD-0186,PIIND,NSE:PIIND-EQ,3600.0,3638.55,3537.4,3596.8,358394,FYERS_HISTORY,2026-08-08T23:48:39+05:30
2025-02-06,SMD-0186,PIIND,NSE:PIIND-EQ,3600.0,3664.9,3569.5,3641.45,415667,FYERS_HISTORY,2026-08-08T23:48:39+05:30
2025-02-07,SMD-0186,PIIND,NSE:PIIND-EQ,3528.35,3582.35,3451.0,3543.85,1266192,FYERS_HISTORY,2026-08-08T23:48:39+05:30
2025-02-10,SMD-0186,PIIND,NSE:PIIND-EQ,3538.5,3599.95,3475.0,3524.2,191736,FYERS_HISTORY,2026-08-08T23:48:39+05:30
2025-02-11,SMD-0186,PIIND,NSE:PIIND-EQ,3500.0,3500.0,3375.75,3419.6,407211,FYERS_HISTORY,2026-08-08T23:48:39+05:30
2025-02-12,SMD-0186,PIIND,NSE:PIIND-EQ,3430.0,3440.6,3315.3,3356.65,341176,FYERS_HISTORY,2026-08-08T23:48:39+05:30
2025-02-13,SMD-0186,PIIND,NSE:PIIND-EQ,3378.7,3378.7,3220.0,3226.65,522317,FYERS_HISTORY,2026-08-08T23:48:39+05:30
2025-02-14,SMD-0186,PIIND,NSE:PIIND-EQ,3227.9,3249.8,3140.0,3162.8,218261,FYERS_HISTORY,2026-08-08T23:48:39+05:30
2025-02-17,SMD-0186,PIIND,NSE:PIIND-EQ,3135.0,3189.95,3101.25,3118.6,418973,FYERS_HISTORY,2026-08-08T23:48:39+05:30
2025-02-18,SMD-0186,PIIND,NSE:PIIND-EQ,3115.5,3179.05,3097.6,3165.6,138881,FYERS_HISTORY,2026-08-08T23:48:39+05:30
2025-02-19,SMD-0186,PIIND,NSE:PIIND-EQ,3159.0,3211.95,3110.0,3203.5,179722,FYERS_HISTORY,2026-08-08T23:48:39+05:30
2025-02-20,SMD-0186,PIIND,NSE:PIIND-EQ,3192.2,3229.95,3152.7,3189.05,464132,FYERS_HISTORY,2026-08-08T23:48:39+05:30
2025-02-21,SMD-0186,PIIND,NSE:PIIND-EQ,3189.05,3237.05,3118.85,3145.4,349942,FYERS_HISTORY,2026-08-08T23:48:39+05:30
2025-02-24,SMD-0186,PIIND,NSE:PIIND-EQ,3134.2,3138.4,3081.35,3090.45,142386,FYERS_HISTORY,2026-08-08T23:48:39+05:30
2025-02-25,SMD-0186,PIIND,NSE:PIIND-EQ,3092.05,3118.7,3065.0,3084.8,220228,FYERS_HISTORY,2026-08-08T23:48:39+05:30
2025-02-27,SMD-0186,PIIND,NSE:PIIND-EQ,3084.8,3097.95,3000.0,3012.45,378209,FYERS_HISTORY,2026-08-08T23:48:39+05:30
2025-02-28,SMD-0186,PIIND,NSE:PIIND-EQ,3012.45,3032.0,2962.55,3013.95,627755,FYERS_HISTORY,2026-08-08T23:48:39+05:30
