trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2003-12-31,SMD-0187,PNB,NSE:PNB-EQ,47.76,48.86,47.02,48.27,3714575,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-01-01,SMD-0187,PNB,NSE:PNB-EQ,48.4,49.38,48.1,48.34,2117136,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-01-02,SMD-0187,PNB,NSE:PNB-EQ,48.4,49.38,47.83,48.04,1427313,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-01-05,SMD-0187,PNB,NSE:PNB-EQ,48.5,48.72,46.85,47.71,2298069,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-01-06,SMD-0187,PNB,NSE:PNB-EQ,46.6,49.0,45.4,47.77,2484718,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-01-07,SMD-0187,PNB,NSE:PNB-EQ,47.0,49.67,47.0,48.18,5170689,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-01-08,SMD-0187,PNB,NSE:PNB-EQ,48.84,55.4,48.45,53.05,3819333,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-01-09,SMD-0187,PNB,NSE:PNB-EQ,54.4,55.74,53.9,55.02,2233125,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-01-12,SMD-0187,PNB,NSE:PNB-EQ,55.6,60.66,54.9,59.73,4186481,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-01-13,SMD-0187,PNB,NSE:PNB-EQ,59.0,60.4,58.14,58.68,3051384,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-01-14,SMD-0187,PNB,NSE:PNB-EQ,58.8,61.34,58.8,60.31,3621496,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-01-15,SMD-0187,PNB,NSE:PNB-EQ,61.0,62.02,58.68,59.2,2476378,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-01-16,SMD-0187,PNB,NSE:PNB-EQ,58.8,59.4,53.22,55.63,2377373,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-01-19,SMD-0187,PNB,NSE:PNB-EQ,55.0,57.0,53.04,56.15,1370420,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-01-20,SMD-0187,PNB,NSE:PNB-EQ,57.0,57.4,51.44,52.55,1272373,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-01-21,SMD-0187,PNB,NSE:PNB-EQ,52.2,52.34,49.0,49.83,1729185,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-01-22,SMD-0187,PNB,NSE:PNB-EQ,50.2,54.58,49.8,51.33,2635441,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-01-23,SMD-0187,PNB,NSE:PNB-EQ,52.68,54.6,51.28,53.93,1680446,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-01-27,SMD-0187,PNB,NSE:PNB-EQ,54.99,56.31,53.4,56.05,1263076,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-01-28,SMD-0187,PNB,NSE:PNB-EQ,56.0,60.07,55.99,58.51,3545140,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-01-29,SMD-0187,PNB,NSE:PNB-EQ,58.54,58.54,54.8,55.57,1628889,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-01-30,SMD-0187,PNB,NSE:PNB-EQ,55.6,56.2,51.22,51.78,2557816,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-02-03,SMD-0187,PNB,NSE:PNB-EQ,51.6,52.19,47.06,47.69,2710805,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-02-04,SMD-0187,PNB,NSE:PNB-EQ,49.0,49.37,46.0,48.48,2839944,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-02-05,SMD-0187,PNB,NSE:PNB-EQ,49.6,52.84,48.82,50.09,3493691,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-02-06,SMD-0187,PNB,NSE:PNB-EQ,50.6,52.2,49.86,51.71,1633499,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-02-09,SMD-0187,PNB,NSE:PNB-EQ,52.0,55.6,52.0,55.3,2392575,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-02-10,SMD-0187,PNB,NSE:PNB-EQ,56.0,56.0,52.8,54.01,2574150,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-02-11,SMD-0187,PNB,NSE:PNB-EQ,54.41,56.87,54.41,56.3,3079679,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-02-12,SMD-0187,PNB,NSE:PNB-EQ,56.4,56.4,53.0,54.86,1724449,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-02-13,SMD-0187,PNB,NSE:PNB-EQ,56.0,56.0,54.2,55.35,1402678,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-02-16,SMD-0187,PNB,NSE:PNB-EQ,55.49,55.6,53.18,53.37,1568537,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-02-17,SMD-0187,PNB,NSE:PNB-EQ,53.76,54.7,53.2,54.36,1257077,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-02-18,SMD-0187,PNB,NSE:PNB-EQ,54.8,54.89,52.43,52.88,1416256,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-02-19,SMD-0187,PNB,NSE:PNB-EQ,58.0,58.0,50.3,50.81,1460861,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-02-20,SMD-0187,PNB,NSE:PNB-EQ,50.8,51.7,49.65,50.92,1422453,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-02-23,SMD-0187,PNB,NSE:PNB-EQ,51.36,51.4,47.43,47.8,1357324,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-02-24,SMD-0187,PNB,NSE:PNB-EQ,48.06,49.4,46.8,49.03,2715727,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-02-25,SMD-0187,PNB,NSE:PNB-EQ,49.38,49.52,48.0,48.24,1377926,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-02-26,SMD-0187,PNB,NSE:PNB-EQ,48.4,49.3,46.92,47.23,1404458,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-02-27,SMD-0187,PNB,NSE:PNB-EQ,48.29,48.8,47.68,48.5,1166804,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-03-01,SMD-0187,PNB,NSE:PNB-EQ,49.09,50.3,48.62,49.87,797383,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-03-03,SMD-0187,PNB,NSE:PNB-EQ,50.4,51.01,49.16,49.8,1304711,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-03-04,SMD-0187,PNB,NSE:PNB-EQ,50.28,51.71,49.93,50.74,2099463,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-03-05,SMD-0187,PNB,NSE:PNB-EQ,51.12,51.89,49.0,50.32,1850967,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-03-08,SMD-0187,PNB,NSE:PNB-EQ,50.65,53.56,50.51,53.15,1972721,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-03-09,SMD-0187,PNB,NSE:PNB-EQ,53.08,54.76,52.6,54.24,2553757,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-03-10,SMD-0187,PNB,NSE:PNB-EQ,54.94,54.94,52.43,52.59,1320424,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-03-11,SMD-0187,PNB,NSE:PNB-EQ,51.7,54.16,51.65,53.15,2088052,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-03-12,SMD-0187,PNB,NSE:PNB-EQ,52.76,55.1,51.15,54.76,1822975,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-03-15,SMD-0187,PNB,NSE:PNB-EQ,55.3,56.39,51.23,52.55,1947023,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-03-16,SMD-0187,PNB,NSE:PNB-EQ,51.4,53.7,50.92,52.35,1618442,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-03-17,SMD-0187,PNB,NSE:PNB-EQ,52.8,56.38,52.8,55.74,3012607,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-03-18,SMD-0187,PNB,NSE:PNB-EQ,55.96,57.76,55.45,56.46,3070881,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-03-19,SMD-0187,PNB,NSE:PNB-EQ,56.2,58.57,56.0,57.68,1747703,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-03-22,SMD-0187,PNB,NSE:PNB-EQ,57.76,57.76,55.3,56.15,1231053,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-03-23,SMD-0187,PNB,NSE:PNB-EQ,56.08,57.0,54.65,56.02,1005421,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-03-24,SMD-0187,PNB,NSE:PNB-EQ,56.8,58.98,55.62,57.9,1502571,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-03-25,SMD-0187,PNB,NSE:PNB-EQ,58.13,62.28,57.91,61.1,5160681,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-03-26,SMD-0187,PNB,NSE:PNB-EQ,61.0,67.36,60.6,66.46,4837021,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-03-29,SMD-0187,PNB,NSE:PNB-EQ,67.0,68.48,65.07,66.14,3728013,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-03-30,SMD-0187,PNB,NSE:PNB-EQ,66.42,70.76,65.2,69.87,5221078,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-03-31,SMD-0187,PNB,NSE:PNB-EQ,68.0,69.96,66.53,66.87,3236653,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-04-01,SMD-0187,PNB,NSE:PNB-EQ,68.0,68.67,65.82,66.65,4192061,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-04-02,SMD-0187,PNB,NSE:PNB-EQ,67.0,68.7,67.0,67.97,2844495,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-04-05,SMD-0187,PNB,NSE:PNB-EQ,68.4,70.55,67.13,67.89,3351895,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-04-06,SMD-0187,PNB,NSE:PNB-EQ,68.0,68.58,65.85,67.67,2800865,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-04-07,SMD-0187,PNB,NSE:PNB-EQ,68.4,68.76,66.92,67.69,2094943,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-04-08,SMD-0187,PNB,NSE:PNB-EQ,67.6,69.28,66.22,67.28,2851339,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-04-12,SMD-0187,PNB,NSE:PNB-EQ,67.76,68.76,67.06,67.39,1225325,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-04-13,SMD-0187,PNB,NSE:PNB-EQ,67.66,69.54,67.5,69.21,1417212,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-04-15,SMD-0187,PNB,NSE:PNB-EQ,69.33,71.17,68.64,70.2,2244914,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-04-16,SMD-0187,PNB,NSE:PNB-EQ,69.7,71.78,69.7,70.84,1569519,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-04-17,SMD-0187,PNB,NSE:PNB-EQ,71.04,71.16,70.2,70.77,285292,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-04-19,SMD-0187,PNB,NSE:PNB-EQ,70.9,71.5,68.44,68.84,971457,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-04-20,SMD-0187,PNB,NSE:PNB-EQ,68.4,69.94,67.46,68.93,1124168,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-04-21,SMD-0187,PNB,NSE:PNB-EQ,68.9,70.7,68.45,70.33,757023,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-04-22,SMD-0187,PNB,NSE:PNB-EQ,70.55,72.87,70.55,72.38,985473,FYERS_HISTORY,2026-08-08T23:48:43+05:30
2004-04-23,SMD-0187,PNB,NSE:PNB-EQ,71.8,76.7,71.6,76.06,2223391,FYERS_HISTORY,2026-08-08T23:48:43+05:30
