trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2011-12-29,SMD-0187,PNB,NSE:PNB-EQ,153.0,157.6,150.56,156.18,579651,FYERS_HISTORY,2026-08-08T23:48:47+05:30
2011-12-30,SMD-0187,PNB,NSE:PNB-EQ,156.6,157.97,155.1,156.16,218400,FYERS_HISTORY,2026-08-08T23:48:47+05:30
2012-01-02,SMD-0187,PNB,NSE:PNB-EQ,156.98,156.98,151.31,153.25,284632,FYERS_HISTORY,2026-08-08T23:48:47+05:30
2012-01-03,SMD-0187,PNB,NSE:PNB-EQ,155.0,161.2,154.38,160.42,237485,FYERS_HISTORY,2026-08-08T23:48:47+05:30
2012-01-04,SMD-0187,PNB,NSE:PNB-EQ,160.8,161.49,158.06,159.72,283869,FYERS_HISTORY,2026-08-08T23:48:47+05:30
2012-01-05,SMD-0187,PNB,NSE:PNB-EQ,160.8,167.1,160.01,165.36,415473,FYERS_HISTORY,2026-08-08T23:48:47+05:30
2012-01-06,SMD-0187,PNB,NSE:PNB-EQ,164.96,164.96,160.6,162.46,376691,FYERS_HISTORY,2026-08-08T23:48:47+05:30
2012-01-07,SMD-0187,PNB,NSE:PNB-EQ,163.0,164.34,162.45,162.96,18638,FYERS_HISTORY,2026-08-08T23:48:47+05:30
2012-01-09,SMD-0187,PNB,NSE:PNB-EQ,163.3,166.94,160.3,164.94,220543,FYERS_HISTORY,2026-08-08T23:48:47+05:30
2012-01-10,SMD-0187,PNB,NSE:PNB-EQ,166.4,173.62,165.75,171.96,435436,FYERS_HISTORY,2026-08-08T23:48:47+05:30
2012-01-11,SMD-0187,PNB,NSE:PNB-EQ,173.26,177.6,172.1,176.09,325114,FYERS_HISTORY,2026-08-08T23:48:47+05:30
2012-01-12,SMD-0187,PNB,NSE:PNB-EQ,175.98,181.8,174.97,180.57,501125,FYERS_HISTORY,2026-08-08T23:48:47+05:30
2012-01-13,SMD-0187,PNB,NSE:PNB-EQ,182.4,183.01,178.0,178.97,458443,FYERS_HISTORY,2026-08-08T23:48:47+05:30
2012-01-16,SMD-0187,PNB,NSE:PNB-EQ,178.76,178.76,173.0,177.19,414873,FYERS_HISTORY,2026-08-08T23:48:47+05:30
2012-01-17,SMD-0187,PNB,NSE:PNB-EQ,179.4,184.31,178.07,183.52,301339,FYERS_HISTORY,2026-08-08T23:48:47+05:30
2012-01-18,SMD-0187,PNB,NSE:PNB-EQ,183.4,183.98,179.01,180.39,165022,FYERS_HISTORY,2026-08-08T23:48:47+05:30
2012-01-19,SMD-0187,PNB,NSE:PNB-EQ,181.8,183.36,181.17,182.35,214334,FYERS_HISTORY,2026-08-08T23:48:47+05:30
2012-01-20,SMD-0187,PNB,NSE:PNB-EQ,183.0,191.0,183.0,189.71,332489,FYERS_HISTORY,2026-08-08T23:48:47+05:30
2012-01-23,SMD-0187,PNB,NSE:PNB-EQ,189.6,194.4,188.32,192.22,313935,FYERS_HISTORY,2026-08-08T23:48:47+05:30
2012-01-24,SMD-0187,PNB,NSE:PNB-EQ,193.76,202.89,190.4,200.52,792234,FYERS_HISTORY,2026-08-08T23:48:47+05:30
