trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2022-12-26,SMD-0187,PNB,NSE:PNB-EQ,49.7,53.95,49.15,53.5,169993660,FYERS_HISTORY,2026-08-08T23:48:52+05:30
2022-12-27,SMD-0187,PNB,NSE:PNB-EQ,54.6,55.55,53.3,54.2,124352547,FYERS_HISTORY,2026-08-08T23:48:52+05:30
2022-12-28,SMD-0187,PNB,NSE:PNB-EQ,54.15,55.85,53.4,54.9,125697410,FYERS_HISTORY,2026-08-08T23:48:52+05:30
2022-12-29,SMD-0187,PNB,NSE:PNB-EQ,54.45,55.9,53.45,55.4,130252482,FYERS_HISTORY,2026-08-08T23:48:52+05:30
2022-12-30,SMD-0187,PNB,NSE:PNB-EQ,56.0,57.3,55.8,56.45,115251538,FYERS_HISTORY,2026-08-08T23:48:52+05:30
2023-01-02,SMD-0187,PNB,NSE:PNB-EQ,56.8,57.6,56.35,57.15,72924744,FYERS_HISTORY,2026-08-08T23:48:52+05:30
2023-01-03,SMD-0187,PNB,NSE:PNB-EQ,57.45,58.3,57.15,57.8,78566820,FYERS_HISTORY,2026-08-08T23:48:52+05:30
2023-01-04,SMD-0187,PNB,NSE:PNB-EQ,58.1,58.35,55.7,56.25,96809213,FYERS_HISTORY,2026-08-08T23:48:52+05:30
2023-01-05,SMD-0187,PNB,NSE:PNB-EQ,56.7,57.15,55.45,56.75,82173647,FYERS_HISTORY,2026-08-08T23:48:52+05:30
2023-01-06,SMD-0187,PNB,NSE:PNB-EQ,57.0,57.6,56.0,56.4,88223106,FYERS_HISTORY,2026-08-08T23:48:52+05:30
2023-01-09,SMD-0187,PNB,NSE:PNB-EQ,57.0,57.75,56.75,57.1,56732510,FYERS_HISTORY,2026-08-08T23:48:52+05:30
2023-01-10,SMD-0187,PNB,NSE:PNB-EQ,56.9,56.95,54.65,55.1,82014187,FYERS_HISTORY,2026-08-08T23:48:52+05:30
2023-01-11,SMD-0187,PNB,NSE:PNB-EQ,55.3,56.6,54.6,56.4,75395366,FYERS_HISTORY,2026-08-08T23:48:52+05:30
2023-01-12,SMD-0187,PNB,NSE:PNB-EQ,56.4,56.5,55.3,55.85,58123134,FYERS_HISTORY,2026-08-08T23:48:52+05:30
2023-01-13,SMD-0187,PNB,NSE:PNB-EQ,56.0,57.4,55.7,56.8,98864358,FYERS_HISTORY,2026-08-08T23:48:52+05:30
2023-01-16,SMD-0187,PNB,NSE:PNB-EQ,56.95,59.45,56.8,58.9,166603280,FYERS_HISTORY,2026-08-08T23:48:52+05:30
2023-01-17,SMD-0187,PNB,NSE:PNB-EQ,59.2,59.45,56.75,57.75,116738590,FYERS_HISTORY,2026-08-08T23:48:52+05:30
2023-01-18,SMD-0187,PNB,NSE:PNB-EQ,57.85,58.0,56.45,56.75,68557704,FYERS_HISTORY,2026-08-08T23:48:52+05:30
2023-01-19,SMD-0187,PNB,NSE:PNB-EQ,56.7,57.35,56.2,57.2,59090340,FYERS_HISTORY,2026-08-08T23:48:52+05:30
2023-01-20,SMD-0187,PNB,NSE:PNB-EQ,57.45,58.1,56.75,56.95,60893155,FYERS_HISTORY,2026-08-08T23:48:52+05:30
2023-01-23,SMD-0187,PNB,NSE:PNB-EQ,57.25,57.5,56.6,56.8,48030932,FYERS_HISTORY,2026-08-08T23:48:52+05:30
2023-01-24,SMD-0187,PNB,NSE:PNB-EQ,57.0,57.35,55.3,55.5,51548951,FYERS_HISTORY,2026-08-08T23:48:52+05:30
2023-01-25,SMD-0187,PNB,NSE:PNB-EQ,55.45,55.55,53.15,53.7,83514024,FYERS_HISTORY,2026-08-08T23:48:52+05:30
2023-01-27,SMD-0187,PNB,NSE:PNB-EQ,53.75,54.35,50.05,50.8,111244364,FYERS_HISTORY,2026-08-08T23:48:52+05:30
2023-01-30,SMD-0187,PNB,NSE:PNB-EQ,51.1,53.25,49.1,50.7,148179904,FYERS_HISTORY,2026-08-08T23:48:52+05:30
2023-01-31,SMD-0187,PNB,NSE:PNB-EQ,51.0,54.0,50.55,53.55,114490184,FYERS_HISTORY,2026-08-08T23:48:52+05:30
2023-02-01,SMD-0187,PNB,NSE:PNB-EQ,54.25,54.4,48.3,50.3,159606635,FYERS_HISTORY,2026-08-08T23:48:52+05:30
2023-02-02,SMD-0187,PNB,NSE:PNB-EQ,50.0,52.25,48.6,50.8,121217105,FYERS_HISTORY,2026-08-08T23:48:52+05:30
2023-02-03,SMD-0187,PNB,NSE:PNB-EQ,51.25,52.3,49.2,51.8,114130816,FYERS_HISTORY,2026-08-08T23:48:52+05:30
2023-02-06,SMD-0187,PNB,NSE:PNB-EQ,51.9,52.3,51.1,51.4,57728571,FYERS_HISTORY,2026-08-08T23:48:52+05:30
2023-02-07,SMD-0187,PNB,NSE:PNB-EQ,51.55,52.1,50.7,51.3,54786770,FYERS_HISTORY,2026-08-08T23:48:52+05:30
2023-02-08,SMD-0187,PNB,NSE:PNB-EQ,51.65,52.0,51.15,51.6,43092026,FYERS_HISTORY,2026-08-08T23:48:52+05:30
2023-02-09,SMD-0187,PNB,NSE:PNB-EQ,51.55,51.55,50.35,51.0,48710526,FYERS_HISTORY,2026-08-08T23:48:52+05:30
