trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2018-12-27,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,776.58,779.05,748.85,753.0,84957,FYERS_HISTORY,2026-08-08T23:49:09+05:30
2018-12-28,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,756.04,773.99,747.82,751.64,179752,FYERS_HISTORY,2026-08-08T23:49:09+05:30
2018-12-31,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,758.87,764.26,756.49,758.87,80765,FYERS_HISTORY,2026-08-08T23:49:09+05:30
2019-01-01,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,764.09,764.09,751.23,761.46,36352,FYERS_HISTORY,2026-08-08T23:49:09+05:30
2019-01-02,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,757.68,760.15,751.93,755.92,71545,FYERS_HISTORY,2026-08-08T23:49:09+05:30
2019-01-03,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,758.79,763.02,754.4,757.35,56392,FYERS_HISTORY,2026-08-08T23:49:09+05:30
2019-01-04,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,758.5,760.15,746.3,751.44,62862,FYERS_HISTORY,2026-08-08T23:49:09+05:30
2019-01-07,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,752.75,760.15,746.34,750.45,63566,FYERS_HISTORY,2026-08-08T23:49:09+05:30
2019-01-08,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,748.64,755.42,729.0,740.34,260021,FYERS_HISTORY,2026-08-08T23:49:09+05:30
2019-01-09,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,744.53,747.86,724.85,735.74,105955,FYERS_HISTORY,2026-08-08T23:49:09+05:30
2019-01-10,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,729.78,752.75,723.17,746.63,97857,FYERS_HISTORY,2026-08-08T23:49:09+05:30
2019-01-11,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,741.41,751.89,729.74,742.07,87839,FYERS_HISTORY,2026-08-08T23:49:09+05:30
2019-01-14,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,737.63,737.96,724.61,727.19,71034,FYERS_HISTORY,2026-08-08T23:49:09+05:30
2019-01-15,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,723.58,745.03,723.17,731.18,93943,FYERS_HISTORY,2026-08-08T23:49:09+05:30
2019-01-16,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,738.78,747.0,730.28,740.34,57287,FYERS_HISTORY,2026-08-08T23:49:09+05:30
2019-01-17,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,742.89,746.18,733.89,738.54,33827,FYERS_HISTORY,2026-08-08T23:49:09+05:30
2019-01-18,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,742.89,742.89,724.81,727.56,37933,FYERS_HISTORY,2026-08-08T23:49:09+05:30
2019-01-21,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,731.39,733.85,714.95,722.39,139616,FYERS_HISTORY,2026-08-08T23:49:09+05:30
2019-01-22,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,719.06,728.59,715.98,721.94,42085,FYERS_HISTORY,2026-08-08T23:49:09+05:30
2019-01-23,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,721.44,750.37,717.42,741.16,68569,FYERS_HISTORY,2026-08-08T23:49:09+05:30
2019-01-24,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,742.89,771.65,739.6,760.35,313206,FYERS_HISTORY,2026-08-08T23:49:09+05:30
2019-01-25,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,781.27,781.27,725.88,733.97,331307,FYERS_HISTORY,2026-08-08T23:49:09+05:30
2019-01-28,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,738.78,755.18,695.27,743.1,172030,FYERS_HISTORY,2026-08-08T23:49:09+05:30
2019-01-29,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,743.1,760.15,726.54,753.16,94496,FYERS_HISTORY,2026-08-08T23:49:09+05:30
2019-01-30,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,753.16,768.37,736.89,766.56,395619,FYERS_HISTORY,2026-08-08T23:49:09+05:30
2019-01-31,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,765.9,765.9,735.49,741.62,60619,FYERS_HISTORY,2026-08-08T23:49:09+05:30
2019-02-01,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,731.39,763.44,731.39,758.01,80950,FYERS_HISTORY,2026-08-08T23:49:09+05:30
2019-02-04,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,741.25,760.15,731.43,755.26,65739,FYERS_HISTORY,2026-08-08T23:49:09+05:30
2019-02-05,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,748.4,760.11,737.14,741.16,70673,FYERS_HISTORY,2026-08-08T23:49:09+05:30
2019-02-06,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,747.12,780.69,744.16,776.42,181217,FYERS_HISTORY,2026-08-08T23:49:09+05:30
2019-02-07,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,781.51,817.34,781.51,805.06,359615,FYERS_HISTORY,2026-08-08T23:49:09+05:30
2019-02-08,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,798.77,805.3,782.29,789.12,246382,FYERS_HISTORY,2026-08-08T23:49:09+05:30
2019-02-11,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,789.9,797.17,748.68,781.02,71494,FYERS_HISTORY,2026-08-08T23:49:09+05:30
2019-02-12,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,780.69,780.69,743.71,751.31,86180,FYERS_HISTORY,2026-08-08T23:49:09+05:30
2019-02-13,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,748.6,804.52,740.43,744.62,46936,FYERS_HISTORY,2026-08-08T23:49:09+05:30
2019-02-14,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,750.57,761.71,732.29,745.44,118128,FYERS_HISTORY,2026-08-08T23:49:09+05:30
2019-02-15,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,747.82,751.93,732.37,735.95,222252,FYERS_HISTORY,2026-08-08T23:49:09+05:30
2019-02-18,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,739.23,744.21,714.95,718.4,41778,FYERS_HISTORY,2026-08-08T23:49:09+05:30
2019-02-19,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,723.17,734.51,711.13,714.79,39122,FYERS_HISTORY,2026-08-08T23:49:09+05:30
2019-02-20,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,713.76,729.5,704.14,714.79,57948,FYERS_HISTORY,2026-08-08T23:49:09+05:30
2019-02-21,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,720.41,757.68,715.94,753.08,207519,FYERS_HISTORY,2026-08-08T23:49:09+05:30
2019-02-22,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,758.34,775.23,744.12,752.05,171085,FYERS_HISTORY,2026-08-08T23:49:09+05:30
2019-02-25,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,760.15,801.15,747.9,753.29,82598,FYERS_HISTORY,2026-08-08T23:49:09+05:30
2019-02-26,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,754.4,755.22,733.48,749.38,105327,FYERS_HISTORY,2026-08-08T23:49:09+05:30
2019-02-27,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,751.11,774.08,751.07,762.98,183601,FYERS_HISTORY,2026-08-08T23:49:09+05:30
2019-02-28,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,762.98,770.83,730.03,736.32,294230,FYERS_HISTORY,2026-08-08T23:49:09+05:30
2019-03-01,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,739.64,754.4,739.64,748.07,72193,FYERS_HISTORY,2026-08-08T23:49:09+05:30
2019-03-05,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,751.11,764.26,750.33,755.83,148226,FYERS_HISTORY,2026-08-08T23:49:09+05:30
2019-03-06,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,760.97,763.23,737.3,740.96,163792,FYERS_HISTORY,2026-08-08T23:49:09+05:30
