trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2024-12-26,SMD-0189,POLICYBZR,NSE:POLICYBZR-EQ,2047.85,2067.3,2025.05,2037.2,742457,FYERS_HISTORY,2026-08-08T23:49:32+05:30
2024-12-27,SMD-0189,POLICYBZR,NSE:POLICYBZR-EQ,2037.2,2074.0,2033.65,2052.75,738273,FYERS_HISTORY,2026-08-08T23:49:32+05:30
2024-12-30,SMD-0189,POLICYBZR,NSE:POLICYBZR-EQ,2035.0,2151.5,2031.95,2107.85,4039739,FYERS_HISTORY,2026-08-08T23:49:32+05:30
2024-12-31,SMD-0189,POLICYBZR,NSE:POLICYBZR-EQ,2045.5,2121.6,2032.0,2108.85,1718180,FYERS_HISTORY,2026-08-08T23:49:32+05:30
2025-01-01,SMD-0189,POLICYBZR,NSE:POLICYBZR-EQ,2103.0,2134.7,2090.6,2119.2,728019,FYERS_HISTORY,2026-08-08T23:49:32+05:30
2025-01-02,SMD-0189,POLICYBZR,NSE:POLICYBZR-EQ,2130.95,2230.0,2115.0,2203.25,2784644,FYERS_HISTORY,2026-08-08T23:49:32+05:30
2025-01-03,SMD-0189,POLICYBZR,NSE:POLICYBZR-EQ,2212.0,2246.9,2175.0,2215.85,730651,FYERS_HISTORY,2026-08-08T23:49:32+05:30
2025-01-06,SMD-0189,POLICYBZR,NSE:POLICYBZR-EQ,2220.0,2236.95,2100.0,2120.0,1437924,FYERS_HISTORY,2026-08-08T23:49:32+05:30
2025-01-07,SMD-0189,POLICYBZR,NSE:POLICYBZR-EQ,2120.0,2152.45,2069.45,2079.55,1403657,FYERS_HISTORY,2026-08-08T23:49:32+05:30
2025-01-08,SMD-0189,POLICYBZR,NSE:POLICYBZR-EQ,2080.1,2084.85,1968.45,2002.85,1748241,FYERS_HISTORY,2026-08-08T23:49:32+05:30
2025-01-09,SMD-0189,POLICYBZR,NSE:POLICYBZR-EQ,1991.25,1997.3,1915.0,1919.55,1033509,FYERS_HISTORY,2026-08-08T23:49:32+05:30
2025-01-10,SMD-0189,POLICYBZR,NSE:POLICYBZR-EQ,1918.05,1930.75,1840.85,1862.95,1279770,FYERS_HISTORY,2026-08-08T23:49:32+05:30
2025-01-13,SMD-0189,POLICYBZR,NSE:POLICYBZR-EQ,1784.8,1802.95,1680.15,1697.15,2739327,FYERS_HISTORY,2026-08-08T23:49:32+05:30
2025-01-14,SMD-0189,POLICYBZR,NSE:POLICYBZR-EQ,1680.0,1770.0,1676.0,1743.85,1594900,FYERS_HISTORY,2026-08-08T23:49:32+05:30
2025-01-15,SMD-0189,POLICYBZR,NSE:POLICYBZR-EQ,1743.85,1778.0,1700.05,1763.65,1991197,FYERS_HISTORY,2026-08-08T23:49:32+05:30
2025-01-16,SMD-0189,POLICYBZR,NSE:POLICYBZR-EQ,1791.0,1841.35,1791.0,1813.3,2072357,FYERS_HISTORY,2026-08-08T23:49:32+05:30
2025-01-17,SMD-0189,POLICYBZR,NSE:POLICYBZR-EQ,1815.0,1817.4,1706.0,1724.4,2732621,FYERS_HISTORY,2026-08-08T23:49:32+05:30
2025-01-20,SMD-0189,POLICYBZR,NSE:POLICYBZR-EQ,1714.4,1774.0,1695.0,1749.8,1099774,FYERS_HISTORY,2026-08-08T23:49:32+05:30
