trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2008-12-29,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,45.96,46.78,44.55,46.41,3409872,FYERS_HISTORY,2026-08-08T23:50:01+05:30
2008-12-30,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,46.3,47.09,44.61,46.33,4856029,FYERS_HISTORY,2026-08-08T23:50:01+05:30
2008-12-31,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,47.59,47.59,45.85,46.89,4385190,FYERS_HISTORY,2026-08-08T23:50:01+05:30
2009-01-01,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,48.44,48.44,45.2,47.34,2172059,FYERS_HISTORY,2026-08-08T23:50:01+05:30
2009-01-02,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,48.36,48.36,46.66,47.57,3966607,FYERS_HISTORY,2026-08-08T23:50:01+05:30
2009-01-05,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,48.36,48.36,45.9,46.49,4494064,FYERS_HISTORY,2026-08-08T23:50:01+05:30
2009-01-06,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,48.27,48.27,45.39,46.16,3959776,FYERS_HISTORY,2026-08-08T23:50:01+05:30
2009-01-07,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,47.76,47.76,40.97,43.73,12078948,FYERS_HISTORY,2026-08-08T23:50:01+05:30
2009-01-09,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,47.37,47.37,41.33,43.51,5259405,FYERS_HISTORY,2026-08-08T23:50:01+05:30
2009-01-12,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,44.55,44.55,40.66,42.35,6579220,FYERS_HISTORY,2026-08-08T23:50:01+05:30
2009-01-13,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,42.29,42.83,41.11,41.73,4094500,FYERS_HISTORY,2026-08-08T23:50:01+05:30
2009-01-14,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,42.52,42.52,40.66,41.81,2770338,FYERS_HISTORY,2026-08-08T23:50:01+05:30
2009-01-15,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,41.45,41.81,40.32,41.19,3684366,FYERS_HISTORY,2026-08-08T23:50:01+05:30
2009-01-16,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,42.63,43.11,40.88,42.49,2126174,FYERS_HISTORY,2026-08-08T23:50:01+05:30
2009-01-19,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,43.65,44.49,42.32,44.13,2581457,FYERS_HISTORY,2026-08-08T23:50:01+05:30
2009-01-20,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,44.18,50.19,42.29,49.06,19053973,FYERS_HISTORY,2026-08-08T23:50:01+05:30
2009-01-21,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,50.13,50.13,45.17,45.79,11283347,FYERS_HISTORY,2026-08-08T23:50:01+05:30
2009-01-22,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,47.26,48.61,45.23,47.96,10509212,FYERS_HISTORY,2026-08-08T23:50:01+05:30
2009-01-23,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,48.75,49.23,46.47,48.64,6988416,FYERS_HISTORY,2026-08-08T23:50:01+05:30
