trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2015-12-28,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,79.2,80.5,78.75,80.16,5746641,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2015-12-29,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,80.19,80.41,79.17,79.48,8555051,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2015-12-30,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,79.09,79.88,79.09,79.51,8168910,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2015-12-31,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,79.51,80.08,78.72,79.6,7142029,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-01-01,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,79.74,79.99,79.37,79.51,3221750,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-01-04,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,79.23,81.4,78.89,79.48,6792836,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-01-05,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,79.54,80.05,77.93,78.47,4248407,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-01-06,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,78.16,78.92,77.82,78.67,5306849,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-01-07,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,78.67,79.93,77.54,77.88,6770380,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-01-08,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,78.95,80.08,78.33,79.88,10319965,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-01-11,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,79.23,82.05,78.38,80.78,8262930,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-01-12,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,80.92,82.75,80.1,80.5,6594810,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-01-13,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,80.72,81.43,79.0,80.58,7443366,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-01-14,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,79.74,81.49,79.74,80.55,10252868,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-01-15,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,80.16,80.78,77.99,78.44,7412067,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-01-18,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,78.95,79.54,77.48,77.9,7392709,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-01-19,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,78.07,78.83,76.02,76.66,7263836,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-01-20,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,75.9,79.12,73.62,75.93,15957907,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-01-21,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,76.02,77.45,74.44,74.55,10390135,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-01-22,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,75.11,76.58,74.49,75.06,8078837,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-01-25,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,75.56,75.82,74.01,75.0,8871270,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-01-27,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,75.45,78.52,75.23,77.96,14491400,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-01-28,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,79.51,81.49,79.23,81.03,22538130,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-01-29,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,81.65,83.68,81.49,83.37,11188919,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-02-01,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,83.4,83.68,82.42,82.75,12247684,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-02-02,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,82.61,84.78,81.77,82.47,18221467,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-02-03,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,81.12,82.44,79.77,80.78,12067797,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-02-04,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,81.68,83.18,80.55,82.78,8704306,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-02-05,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,82.92,83.12,81.4,81.91,6155266,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-02-08,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,81.8,82.36,79.88,80.33,3810823,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-02-09,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,79.96,82.05,79.51,80.05,7279134,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-02-10,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,79.51,81.51,79.51,80.84,8098995,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-02-11,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,80.55,81.12,75.62,77.09,7229570,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-02-12,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,77.82,79.4,76.86,78.02,16025476,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-02-15,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,78.44,79.31,77.88,78.21,8443382,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-02-16,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,78.44,79.26,77.71,78.55,6749468,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-02-17,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,78.86,78.86,77.45,78.72,7785351,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-02-18,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,79.0,79.93,78.38,78.86,8757335,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-02-19,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,78.83,80.08,78.41,79.51,6307278,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-02-22,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,79.51,79.79,78.02,78.75,2288250,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-02-23,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,78.95,79.12,77.09,77.31,3864200,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-02-24,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,77.82,79.51,77.62,78.78,11359492,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-02-25,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,79.0,79.09,73.9,74.3,19003677,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-02-26,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,75.28,76.64,74.44,75.37,12479726,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-02-29,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,75.76,75.76,72.86,73.34,11457069,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-03-01,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,73.87,75.76,73.45,75.42,14245870,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-03-02,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,76.13,77.93,75.59,76.35,13516833,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-03-03,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,76.97,77.2,75.59,76.49,7039917,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-03-04,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,76.92,78.47,76.38,78.19,29155243,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-03-08,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,78.67,78.78,76.75,77.65,20081284,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-03-09,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,77.2,79.06,77.03,78.81,7265984,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-03-10,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,79.0,79.45,77.88,78.75,3704176,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-03-11,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,78.75,79.17,77.62,77.93,4673875,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-03-14,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,78.16,78.38,77.65,78.16,4412134,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-03-15,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,77.9,78.95,77.9,78.36,11625992,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-03-16,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,78.61,78.95,77.54,78.24,6154809,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-03-17,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,78.52,79.09,77.2,77.82,7490263,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-03-18,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,78.1,78.44,76.97,77.17,9172912,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-03-21,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,77.0,78.07,76.83,77.82,4662467,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-03-22,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,77.82,78.58,77.54,77.93,6612072,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-03-23,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,77.42,78.47,77.23,77.51,11516565,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-03-28,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,77.76,78.95,76.97,78.44,8669966,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-03-29,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,78.95,79.51,77.57,77.9,11449305,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-03-30,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,78.33,79.14,78.02,78.81,5783439,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-03-31,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,78.1,79.2,78.1,78.44,15676440,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-04-01,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,78.83,78.95,77.88,77.99,3925351,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-04-04,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,78.24,79.0,77.99,78.16,5635756,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-04-05,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,78.83,79.4,78.21,78.41,7725633,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-04-06,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,78.86,79.68,78.58,78.78,10392227,FYERS_HISTORY,2026-08-08T23:50:04+05:30
2016-04-07,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,79.31,79.45,78.72,79.06,12377682,FYERS_HISTORY,2026-08-08T23:50:04+05:30
