trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2017-12-27,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,114.19,115.32,113.23,113.46,7811861,FYERS_HISTORY,2026-08-08T23:50:05+05:30
2017-12-28,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,113.6,113.94,111.94,112.3,15756709,FYERS_HISTORY,2026-08-08T23:50:05+05:30
2017-12-29,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,112.53,113.74,112.47,112.98,8540162,FYERS_HISTORY,2026-08-08T23:50:05+05:30
2018-01-01,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,112.25,113.77,112.25,112.9,6372048,FYERS_HISTORY,2026-08-08T23:50:05+05:30
2018-01-02,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,113.49,113.8,112.39,113.21,4372747,FYERS_HISTORY,2026-08-08T23:50:05+05:30
2018-01-03,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,113.63,114.16,113.12,113.71,8166929,FYERS_HISTORY,2026-08-08T23:50:05+05:30
2018-01-04,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,113.91,114.39,112.78,112.98,4193546,FYERS_HISTORY,2026-08-08T23:50:05+05:30
2018-01-05,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,113.52,113.94,113.12,113.49,4911251,FYERS_HISTORY,2026-08-08T23:50:05+05:30
2018-01-08,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,113.91,114.62,112.81,113.09,11768369,FYERS_HISTORY,2026-08-08T23:50:05+05:30
2018-01-09,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,113.4,113.57,112.95,113.35,7361915,FYERS_HISTORY,2026-08-08T23:50:05+05:30
2018-01-10,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,113.85,113.85,111.94,112.7,8688610,FYERS_HISTORY,2026-08-08T23:50:05+05:30
2018-01-11,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,112.27,112.95,111.26,111.57,12274901,FYERS_HISTORY,2026-08-08T23:50:05+05:30
2018-01-12,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,111.71,111.82,110.36,110.72,9388386,FYERS_HISTORY,2026-08-08T23:50:05+05:30
2018-01-15,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,111.54,112.92,110.05,112.39,9937495,FYERS_HISTORY,2026-08-08T23:50:05+05:30
2018-01-16,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,112.27,112.39,109.6,110.64,13172533,FYERS_HISTORY,2026-08-08T23:50:05+05:30
2018-01-17,SMD-0192,POWERGRID,NSE:POWERGRID-EQ,110.53,112.05,109.4,111.32,12979906,FYERS_HISTORY,2026-08-08T23:50:05+05:30
