trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2013-12-30,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,169.0,169.7,166.0,166.8,55945,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2013-12-31,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,167.45,167.95,161.7,162.45,121060,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-01-01,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,163.65,165.4,160.15,161.3,60513,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-01-02,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,161.4,164.9,155.15,156.4,306368,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-01-03,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,155.5,158.0,152.9,156.9,43189,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-01-06,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,157.0,158.5,155.3,155.55,24801,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-01-07,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,155.15,156.25,152.05,152.85,27349,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-01-08,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,153.2,164.7,152.1,156.85,180551,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-01-09,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,157.5,161.6,148.05,149.15,433610,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-01-10,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,150.4,151.5,146.2,147.95,90340,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-01-13,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,149.4,151.5,146.0,146.8,80729,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-01-14,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,146.85,146.85,141.5,142.45,195561,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-01-15,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,143.7,143.7,135.65,138.0,426367,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-01-16,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,138.05,146.4,138.05,144.45,305409,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-01-17,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,145.2,148.95,144.1,146.45,121049,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-01-20,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,145.0,153.8,144.9,152.85,190045,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-01-21,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,153.0,155.5,147.0,150.3,72998,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-01-22,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,151.0,153.65,149.5,152.45,238699,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-01-23,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,152.7,156.95,152.1,155.45,273709,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-01-24,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,154.8,156.95,152.05,152.9,390696,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-01-27,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,150.0,152.5,138.5,141.4,87154,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-01-28,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,139.95,147.0,139.4,143.75,57877,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-01-29,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,144.7,149.5,143.3,144.95,54494,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-01-30,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,142.6,144.7,140.65,142.25,38986,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-01-31,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,142.5,143.25,138.15,139.35,57946,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-02-03,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,139.35,144.7,139.35,140.7,23998,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-02-04,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,139.0,140.0,136.6,137.25,50464,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-02-05,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,137.0,142.0,137.0,141.0,240172,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-02-06,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,141.0,142.7,136.1,137.35,53288,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-02-07,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,141.7,141.7,136.25,137.4,75230,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-02-10,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,136.5,139.9,135.5,136.45,25510,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-02-11,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,136.3,139.0,134.5,135.2,35957,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-02-12,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,135.3,136.5,134.55,135.4,20490,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-02-13,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,134.55,140.0,134.55,136.2,75221,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-02-14,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,135.7,137.0,132.0,134.2,32338,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-02-17,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,133.0,135.25,132.05,132.3,18657,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-02-18,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,132.1,135.5,132.0,135.0,59495,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-02-19,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,134.2,139.95,134.1,138.05,27804,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-02-20,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,137.6,138.5,133.5,134.5,689174,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-02-21,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,134.6,137.3,134.6,135.5,20030,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-02-24,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,135.65,137.4,133.7,134.7,42858,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-02-25,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,134.05,139.7,134.05,137.25,146000,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-02-26,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,137.7,138.0,134.0,135.0,112218,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-02-28,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,136.0,136.0,131.2,132.2,181020,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-03-03,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,132.15,135.35,132.1,134.0,251819,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-03-04,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,133.25,136.0,132.5,135.45,118250,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-03-05,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,136.1,146.5,135.2,145.75,531868,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-03-06,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,147.0,169.1,147.0,162.75,1075662,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-03-07,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,164.0,183.0,158.2,175.05,968394,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-03-10,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,174.5,174.5,164.15,166.35,554450,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-03-11,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,164.5,171.15,163.5,166.3,262594,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-03-12,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,164.15,166.75,161.05,162.1,187677,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-03-13,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,163.0,165.0,160.05,160.65,186816,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-03-14,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,157.15,159.4,154.5,156.8,66118,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-03-18,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,157.0,161.0,156.0,156.85,112526,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-03-19,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,157.75,158.0,151.35,153.55,49140,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-03-20,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,153.0,162.45,151.65,153.35,302132,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-03-21,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,152.05,160.0,152.05,156.35,102335,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-03-22,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,157.3,159.0,155.3,157.4,5655,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-03-24,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,156.55,167.9,156.25,166.6,345837,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-03-25,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,166.8,167.9,162.0,163.55,93222,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-03-26,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,163.5,169.85,163.25,164.3,126736,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-03-27,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,163.0,169.8,163.0,168.6,103403,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-03-28,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,169.95,170.75,167.0,169.15,99535,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-03-31,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,170.95,173.8,168.1,170.35,373734,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-04-01,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,169.1,172.3,168.0,169.7,448513,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-04-02,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,169.9,178.0,169.75,175.85,522751,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-04-03,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,176.7,184.0,172.35,182.55,212744,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-04-04,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,182.95,192.5,181.2,183.3,502553,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-04-07,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,182.0,183.3,174.55,176.65,71972,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-04-09,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,175.05,180.0,175.05,178.1,81553,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-04-10,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,178.05,183.9,176.0,179.55,164339,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-04-11,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,180.0,180.85,175.35,177.8,419566,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-04-15,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,177.55,183.0,174.2,176.35,193751,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-04-16,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,177.45,177.8,162.9,168.4,54565,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-04-17,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,167.7,174.0,166.1,170.65,89257,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-04-21,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,171.0,171.2,167.5,169.75,64365,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-04-22,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,170.8,175.8,165.6,166.8,270804,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-04-23,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,169.0,175.6,168.05,174.4,183363,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-04-25,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,175.7,179.05,171.2,174.9,188119,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-04-28,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,172.65,174.7,170.05,171.95,57586,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-04-29,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,172.75,178.0,171.3,173.65,82451,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-04-30,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,174.25,175.0,163.95,170.05,162757,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-05-02,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,170.45,173.7,166.35,169.85,213800,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-05-05,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,168.2,169.9,167.2,168.6,122564,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-05-06,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,167.0,169.0,162.6,163.7,37174,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-05-07,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,162.1,171.0,160.7,164.15,70043,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-05-08,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,165.45,167.0,162.0,163.25,27581,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-05-09,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,163.45,166.95,162.65,164.6,64016,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-05-12,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,164.6,169.0,162.8,166.6,81555,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-05-13,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,167.0,176.7,166.55,173.1,149396,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-05-14,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,173.1,185.0,173.1,182.25,349272,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-05-15,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,180.4,183.25,171.5,174.65,321016,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-05-16,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,174.65,185.85,172.9,184.0,203930,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-05-19,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,184.0,195.0,184.0,193.95,1037124,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-05-20,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,195.0,210.1,195.0,207.3,646838,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-05-21,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,216.0,219.8,210.0,213.75,793575,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-05-22,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,214.5,215.0,203.8,209.75,427213,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-05-23,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,209.75,215.65,208.25,209.2,435187,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-05-26,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,214.65,218.8,202.0,211.95,545389,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-05-27,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,220.0,221.9,195.05,209.9,282009,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-05-28,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,210.9,213.0,200.35,207.6,184877,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-05-29,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,205.4,208.0,194.4,206.95,204198,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-05-30,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,205.1,211.0,203.0,207.05,244510,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-06-02,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,205.3,216.0,205.3,213.15,341463,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-06-03,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,214.8,217.15,206.35,213.2,285753,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-06-04,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,213.8,217.95,209.55,211.85,112239,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-06-05,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,212.05,219.9,211.65,214.3,287543,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-06-06,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,214.55,235.9,214.0,229.3,1606885,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-06-09,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,233.1,265.0,233.1,244.65,1579204,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-06-10,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,243.0,246.7,231.75,241.1,732903,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-06-11,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,242.6,258.0,235.0,237.7,833859,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-06-12,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,240.4,246.9,232.35,237.15,590275,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-06-13,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,240.95,250.0,239.0,245.0,613259,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-06-16,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,246.7,246.7,234.2,239.95,786829,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-06-17,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,240.05,243.5,235.55,237.45,137384,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-06-18,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,237.6,239.9,221.05,224.25,302873,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-06-19,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,225.0,232.75,218.05,220.8,144250,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-06-20,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,220.55,221.75,216.35,217.9,246600,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-06-23,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,217.3,219.3,215.0,217.05,327574,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-06-24,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,215.0,231.0,214.9,227.75,381522,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-06-25,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,230.1,236.0,229.0,233.5,509949,FYERS_HISTORY,2026-08-08T23:51:00+05:30
2014-06-26,SMD-0196,PRESTIGE,NSE:PRESTIGE-EQ,231.9,235.0,231.05,233.25,229857,FYERS_HISTORY,2026-08-08T23:51:00+05:30
