trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2017-12-27,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,519.4,519.4,510.0,513.85,417580,FYERS_HISTORY,2026-08-08T23:51:36+05:30
2017-12-28,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,510.5,514.75,506.0,507.4,525011,FYERS_HISTORY,2026-08-08T23:51:36+05:30
2017-12-29,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,508.85,511.1,507.85,510.1,378997,FYERS_HISTORY,2026-08-08T23:51:36+05:30
2018-01-01,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,510.0,513.8,508.95,510.0,469078,FYERS_HISTORY,2026-08-08T23:51:36+05:30
2018-01-02,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,510.9,513.4,508.15,511.65,616196,FYERS_HISTORY,2026-08-08T23:51:36+05:30
2018-01-03,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,513.4,516.8,509.0,514.9,1510019,FYERS_HISTORY,2026-08-08T23:51:36+05:30
2018-01-04,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,519.85,519.85,510.7,517.4,845849,FYERS_HISTORY,2026-08-08T23:51:36+05:30
2018-01-05,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,519.0,542.0,515.55,539.7,4365631,FYERS_HISTORY,2026-08-08T23:51:36+05:30
2018-01-08,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,543.95,550.0,540.25,545.45,1731320,FYERS_HISTORY,2026-08-08T23:51:36+05:30
2018-01-09,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,546.8,547.1,533.6,538.9,826546,FYERS_HISTORY,2026-08-08T23:51:36+05:30
2018-01-10,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,538.7,540.2,527.6,529.5,1222398,FYERS_HISTORY,2026-08-08T23:51:36+05:30
2018-01-11,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,529.1,542.4,529.05,533.6,1990560,FYERS_HISTORY,2026-08-08T23:51:36+05:30
2018-01-12,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,536.8,539.35,526.35,530.75,831501,FYERS_HISTORY,2026-08-08T23:51:36+05:30
2018-01-15,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,529.55,537.25,529.55,530.6,604395,FYERS_HISTORY,2026-08-08T23:51:36+05:30
2018-01-16,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,530.0,532.3,518.2,522.7,795236,FYERS_HISTORY,2026-08-08T23:51:36+05:30
