trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2017-12-27,SMD-0199,RECLTD,NSE:RECLTD-EQ,118.5,119.25,117.0,117.49,3761943,FYERS_HISTORY,2026-08-08T23:51:52+05:30
2017-12-28,SMD-0199,RECLTD,NSE:RECLTD-EQ,117.53,117.53,115.5,115.88,5239408,FYERS_HISTORY,2026-08-08T23:51:52+05:30
2017-12-29,SMD-0199,RECLTD,NSE:RECLTD-EQ,115.88,117.86,115.88,116.81,4723861,FYERS_HISTORY,2026-08-08T23:51:52+05:30
2018-01-01,SMD-0199,RECLTD,NSE:RECLTD-EQ,116.93,120.3,116.85,118.8,6061264,FYERS_HISTORY,2026-08-08T23:51:52+05:30
2018-01-02,SMD-0199,RECLTD,NSE:RECLTD-EQ,119.44,119.81,117.15,118.24,4650711,FYERS_HISTORY,2026-08-08T23:51:52+05:30
2018-01-03,SMD-0199,RECLTD,NSE:RECLTD-EQ,118.5,119.44,117.94,118.39,3457506,FYERS_HISTORY,2026-08-08T23:51:52+05:30
2018-01-04,SMD-0199,RECLTD,NSE:RECLTD-EQ,118.61,121.88,117.98,121.46,6112742,FYERS_HISTORY,2026-08-08T23:51:52+05:30
2018-01-05,SMD-0199,RECLTD,NSE:RECLTD-EQ,122.18,123.11,120.9,121.09,5400300,FYERS_HISTORY,2026-08-08T23:51:52+05:30
2018-01-08,SMD-0199,RECLTD,NSE:RECLTD-EQ,121.43,123.23,121.05,122.96,4920312,FYERS_HISTORY,2026-08-08T23:51:52+05:30
2018-01-09,SMD-0199,RECLTD,NSE:RECLTD-EQ,123.38,124.01,121.54,122.55,4572960,FYERS_HISTORY,2026-08-08T23:51:52+05:30
2018-01-10,SMD-0199,RECLTD,NSE:RECLTD-EQ,122.33,123.45,121.01,121.76,4455987,FYERS_HISTORY,2026-08-08T23:51:52+05:30
2018-01-11,SMD-0199,RECLTD,NSE:RECLTD-EQ,121.35,123.11,120.45,121.76,4991331,FYERS_HISTORY,2026-08-08T23:51:52+05:30
2018-01-12,SMD-0199,RECLTD,NSE:RECLTD-EQ,122.4,122.93,119.89,121.01,4697281,FYERS_HISTORY,2026-08-08T23:51:52+05:30
2018-01-15,SMD-0199,RECLTD,NSE:RECLTD-EQ,121.24,122.03,120.0,120.23,3387580,FYERS_HISTORY,2026-08-08T23:51:52+05:30
2018-01-16,SMD-0199,RECLTD,NSE:RECLTD-EQ,120.3,120.98,115.16,115.46,6141226,FYERS_HISTORY,2026-08-08T23:51:52+05:30
