trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2021-12-27,SMD-0199,RECLTD,NSE:RECLTD-EQ,98.06,99.34,97.05,98.7,3032223,FYERS_HISTORY,2026-08-08T23:51:54+05:30
2021-12-28,SMD-0199,RECLTD,NSE:RECLTD-EQ,99.0,99.49,98.48,99.15,3245167,FYERS_HISTORY,2026-08-08T23:51:54+05:30
2021-12-29,SMD-0199,RECLTD,NSE:RECLTD-EQ,99.6,100.13,98.66,98.96,3249737,FYERS_HISTORY,2026-08-08T23:51:54+05:30
2021-12-30,SMD-0199,RECLTD,NSE:RECLTD-EQ,99.11,99.45,97.65,98.29,3531202,FYERS_HISTORY,2026-08-08T23:51:54+05:30
2021-12-31,SMD-0199,RECLTD,NSE:RECLTD-EQ,98.33,100.88,98.33,100.35,3185170,FYERS_HISTORY,2026-08-08T23:51:54+05:30
2022-01-03,SMD-0199,RECLTD,NSE:RECLTD-EQ,100.8,101.89,99.98,101.48,5494088,FYERS_HISTORY,2026-08-08T23:51:54+05:30
2022-01-04,SMD-0199,RECLTD,NSE:RECLTD-EQ,101.85,103.01,101.51,102.15,4885164,FYERS_HISTORY,2026-08-08T23:51:54+05:30
2022-01-05,SMD-0199,RECLTD,NSE:RECLTD-EQ,102.6,102.9,101.96,102.34,2491817,FYERS_HISTORY,2026-08-08T23:51:54+05:30
2022-01-06,SMD-0199,RECLTD,NSE:RECLTD-EQ,102.68,102.83,101.06,102.64,3340823,FYERS_HISTORY,2026-08-08T23:51:54+05:30
2022-01-07,SMD-0199,RECLTD,NSE:RECLTD-EQ,102.75,103.65,101.48,102.3,4452871,FYERS_HISTORY,2026-08-08T23:51:54+05:30
2022-01-10,SMD-0199,RECLTD,NSE:RECLTD-EQ,102.49,105.38,102.49,105.08,6685728,FYERS_HISTORY,2026-08-08T23:51:54+05:30
2022-01-11,SMD-0199,RECLTD,NSE:RECLTD-EQ,105.56,105.6,103.09,103.5,4069530,FYERS_HISTORY,2026-08-08T23:51:54+05:30
2022-01-12,SMD-0199,RECLTD,NSE:RECLTD-EQ,104.06,104.74,103.2,104.36,2879038,FYERS_HISTORY,2026-08-08T23:51:54+05:30
2022-01-13,SMD-0199,RECLTD,NSE:RECLTD-EQ,104.25,106.13,104.03,105.04,4413423,FYERS_HISTORY,2026-08-08T23:51:54+05:30
2022-01-14,SMD-0199,RECLTD,NSE:RECLTD-EQ,105.04,105.38,104.14,104.4,2828831,FYERS_HISTORY,2026-08-08T23:51:54+05:30
2022-01-17,SMD-0199,RECLTD,NSE:RECLTD-EQ,104.4,105.34,104.18,104.85,2211889,FYERS_HISTORY,2026-08-08T23:51:54+05:30
2022-01-18,SMD-0199,RECLTD,NSE:RECLTD-EQ,105.0,105.9,102.0,102.3,3664375,FYERS_HISTORY,2026-08-08T23:51:54+05:30
2022-01-19,SMD-0199,RECLTD,NSE:RECLTD-EQ,102.64,103.88,101.55,103.39,3162527,FYERS_HISTORY,2026-08-08T23:51:54+05:30
2022-01-20,SMD-0199,RECLTD,NSE:RECLTD-EQ,103.43,104.63,102.79,103.54,2926350,FYERS_HISTORY,2026-08-08T23:51:54+05:30
2022-01-21,SMD-0199,RECLTD,NSE:RECLTD-EQ,103.28,103.5,99.11,99.68,3844671,FYERS_HISTORY,2026-08-08T23:51:54+05:30
2022-01-24,SMD-0199,RECLTD,NSE:RECLTD-EQ,100.28,100.28,96.15,96.94,5594007,FYERS_HISTORY,2026-08-08T23:51:54+05:30
2022-01-25,SMD-0199,RECLTD,NSE:RECLTD-EQ,97.13,99.0,95.89,98.66,6732152,FYERS_HISTORY,2026-08-08T23:51:54+05:30
2022-01-27,SMD-0199,RECLTD,NSE:RECLTD-EQ,98.63,101.1,97.95,100.8,6043765,FYERS_HISTORY,2026-08-08T23:51:54+05:30
2022-01-28,SMD-0199,RECLTD,NSE:RECLTD-EQ,101.78,103.46,101.1,101.4,4826313,FYERS_HISTORY,2026-08-08T23:51:54+05:30
2022-01-31,SMD-0199,RECLTD,NSE:RECLTD-EQ,102.83,104.51,100.88,103.99,10509361,FYERS_HISTORY,2026-08-08T23:51:54+05:30
2022-02-01,SMD-0199,RECLTD,NSE:RECLTD-EQ,104.59,105.11,102.9,104.66,9770012,FYERS_HISTORY,2026-08-08T23:51:54+05:30
2022-02-02,SMD-0199,RECLTD,NSE:RECLTD-EQ,105.0,106.91,104.74,106.54,5238479,FYERS_HISTORY,2026-08-08T23:51:54+05:30
