trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2008-12-29,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,148.04,154.45,146.56,153.75,5931734,FYERS_HISTORY,2026-08-08T23:52:01+05:30
2008-12-30,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,155.45,157.04,151.51,154.27,4566998,FYERS_HISTORY,2026-08-08T23:52:01+05:30
2008-12-31,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,154.7,156.14,150.01,152.08,4996626,FYERS_HISTORY,2026-08-08T23:52:01+05:30
2009-01-01,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,152.97,155.81,152.37,154.78,2894172,FYERS_HISTORY,2026-08-08T23:52:01+05:30
2009-01-02,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,155.4,160.36,154.45,158.7,5027586,FYERS_HISTORY,2026-08-08T23:52:01+05:30
2009-01-05,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,160.25,169.88,159.77,168.5,5579914,FYERS_HISTORY,2026-08-08T23:52:01+05:30
2009-01-06,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,167.78,171.48,164.23,169.12,6109468,FYERS_HISTORY,2026-08-08T23:52:01+05:30
2009-01-07,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,168.89,170.99,144.96,148.13,8613146,FYERS_HISTORY,2026-08-08T23:52:01+05:30
2009-01-09,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,149.27,149.27,134.92,142.27,9613808,FYERS_HISTORY,2026-08-08T23:52:01+05:30
2009-01-12,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,140.6,141.25,133.85,135.44,7462134,FYERS_HISTORY,2026-08-08T23:52:01+05:30
2009-01-13,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,135.05,141.38,131.39,132.93,6667402,FYERS_HISTORY,2026-08-08T23:52:01+05:30
2009-01-14,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,134.6,150.26,134.6,145.54,6637158,FYERS_HISTORY,2026-08-08T23:52:01+05:30
2009-01-15,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,140.86,143.1,136.63,140.93,6356832,FYERS_HISTORY,2026-08-08T23:52:01+05:30
2009-01-16,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,141.99,151.86,140.63,150.18,6750066,FYERS_HISTORY,2026-08-08T23:52:01+05:30
2009-01-19,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,151.07,154.2,149.03,151.73,4302020,FYERS_HISTORY,2026-08-08T23:52:01+05:30
2009-01-20,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,150.11,150.11,144.09,146.02,4708656,FYERS_HISTORY,2026-08-08T23:52:01+05:30
2009-01-21,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,143.1,145.93,136.94,138.15,5033184,FYERS_HISTORY,2026-08-08T23:52:01+05:30
2009-01-22,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,141.86,142.47,136.58,140.18,7087756,FYERS_HISTORY,2026-08-08T23:52:01+05:30
2009-01-23,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,147.79,164.69,138.17,142.63,8216012,FYERS_HISTORY,2026-08-08T23:52:01+05:30
2009-01-27,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,146.31,152.17,144.34,151.24,4542772,FYERS_HISTORY,2026-08-08T23:52:01+05:30
2009-01-28,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,153.96,159.14,151.3,157.17,4653696,FYERS_HISTORY,2026-08-08T23:52:01+05:30
2009-01-29,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,158.53,159.76,153.13,156.69,6427366,FYERS_HISTORY,2026-08-08T23:52:01+05:30
2009-01-30,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,152.73,164.18,152.73,163.29,5632940,FYERS_HISTORY,2026-08-08T23:52:01+05:30
2009-02-02,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,159.14,166.89,157.11,157.91,5436536,FYERS_HISTORY,2026-08-08T23:52:01+05:30
2009-02-03,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,159.14,164.66,157.05,161.14,7002432,FYERS_HISTORY,2026-08-08T23:52:01+05:30
2009-02-04,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,162.23,165.0,159.77,161.3,4019282,FYERS_HISTORY,2026-08-08T23:52:01+05:30
2009-02-05,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,163.95,163.95,156.82,158.99,4160982,FYERS_HISTORY,2026-08-08T23:52:01+05:30
2009-02-06,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,160.38,166.54,159.83,165.91,4398566,FYERS_HISTORY,2026-08-08T23:52:01+05:30
2009-02-09,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,167.16,172.59,165.43,171.44,4496560,FYERS_HISTORY,2026-08-08T23:52:01+05:30
2009-02-10,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,171.34,174.45,169.3,172.95,6886780,FYERS_HISTORY,2026-08-08T23:52:01+05:30
2009-02-11,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,168.39,171.39,167.9,170.4,4260990,FYERS_HISTORY,2026-08-08T23:52:01+05:30
2009-02-12,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,170.08,170.08,165.96,166.74,3186192,FYERS_HISTORY,2026-08-08T23:52:01+05:30
2009-02-13,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,168.64,173.21,167.9,171.78,2943128,FYERS_HISTORY,2026-08-08T23:52:01+05:30
2009-02-16,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,170.8,172.35,161.75,162.87,4655040,FYERS_HISTORY,2026-08-08T23:52:01+05:30
2009-02-17,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,160.52,161.24,155.22,156.34,3879468,FYERS_HISTORY,2026-08-08T23:52:01+05:30
2009-02-18,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,156.3,162.57,152.97,159.78,4634778,FYERS_HISTORY,2026-08-08T23:52:01+05:30
2009-02-19,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,159.14,161.49,158.17,159.61,3044178,FYERS_HISTORY,2026-08-08T23:52:01+05:30
2009-02-20,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,154.96,158.28,153.17,154.63,3726260,FYERS_HISTORY,2026-08-08T23:52:01+05:30
2009-02-24,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,152.36,155.89,148.21,154.61,4630706,FYERS_HISTORY,2026-08-08T23:52:01+05:30
2009-02-25,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,156.06,158.65,155.76,156.25,2994112,FYERS_HISTORY,2026-08-08T23:52:01+05:30
2009-02-26,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,155.19,160.01,154.37,159.24,3890408,FYERS_HISTORY,2026-08-08T23:52:01+05:30
