trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2014-12-29,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,219.22,221.82,218.84,221.32,1605450,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2014-12-30,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,221.34,221.66,216.41,217.16,2693036,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2014-12-31,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,217.12,220.55,216.89,219.88,1960586,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-01-01,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,218.68,220.09,218.02,219.07,686414,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-01-02,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,219.12,221.08,218.19,218.49,1698026,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-01-05,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,218.36,219.81,215.67,216.1,2340184,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-01-06,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,214.66,215.4,205.28,206.29,4314444,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-01-07,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,206.54,211.89,206.51,210.78,4799052,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-01-08,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,212.21,212.91,207.29,207.76,4602628,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-01-09,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,209.33,212.68,208.49,212.26,3101918,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-01-12,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,212.31,212.44,207.65,209.8,2339298,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-01-13,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,210.46,210.94,207.38,208.03,2304230,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-01-14,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,208.0,208.98,205.08,206.01,2635742,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-01-15,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,207.26,214.93,207.26,213.24,3920500,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-01-16,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,212.19,215.89,210.23,214.58,4432330,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-01-19,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,214.71,218.6,211.88,217.04,3089684,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-01-20,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,217.49,223.43,216.84,222.81,3094630,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-01-21,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,223.29,224.87,220.1,223.72,3956910,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-01-22,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,223.33,223.84,217.0,218.05,5494190,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-01-23,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,219.59,221.52,216.38,218.83,4187642,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-01-27,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,220.31,221.24,217.25,219.36,4155072,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-01-28,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,218.63,224.48,218.63,223.75,4469656,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-01-29,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,223.81,230.57,223.76,229.31,8365246,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-01-30,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,229.46,229.77,224.28,225.82,5036796,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-02-02,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,226.02,226.97,223.47,224.05,4470718,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-02-03,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,225.32,232.14,225.32,231.34,3958772,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-02-04,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,231.71,232.87,228.45,229.16,3259438,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-02-05,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,230.94,231.9,226.4,227.91,2864018,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-02-06,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,228.01,229.46,222.8,224.5,2095116,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-02-09,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,222.36,226.5,220.09,221.24,2047370,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-02-10,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,221.57,223.17,212.51,217.62,3161726,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-02-11,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,218.6,223.23,217.86,222.23,2265388,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-02-12,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,224.03,225.5,218.91,224.32,2017244,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-02-13,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,225.51,227.19,224.29,226.38,1712458,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-02-16,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,226.67,228.03,222.06,222.75,2841102,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-02-18,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,222.06,224.03,220.68,222.47,2277902,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-02-19,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,223.77,223.93,218.99,222.56,2212032,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-02-20,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,220.89,221.07,214.98,215.42,4335110,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-02-23,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,214.64,216.32,209.01,210.08,3266748,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-02-24,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,210.77,211.4,206.51,207.61,4619764,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-02-25,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,209.43,211.33,207.51,208.03,3537654,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-02-26,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,208.76,209.72,206.42,207.75,4970312,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-02-27,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,209.12,212.44,208.39,211.09,4321718,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-02-28,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,212.88,214.26,208.88,213.46,2121512,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-03-02,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,214.41,216.01,211.09,213.24,3376774,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-03-03,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,214.41,223.65,214.02,222.26,4779736,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-03-04,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,223.54,224.44,217.14,219.06,3352812,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-03-05,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,220.21,221.75,216.67,218.35,2482108,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-03-09,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,218.38,220.02,213.21,214.57,3257698,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-03-10,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,214.4,216.09,211.05,211.98,3528376,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-03-11,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,212.42,214.56,210.31,211.19,2694996,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-03-12,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,211.7,214.02,211.1,213.13,2728928,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-03-13,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,214.41,214.56,208.98,209.75,2996156,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-03-16,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,210.09,210.7,207.33,207.77,3205496,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-03-17,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,209.86,212.17,207.5,211.41,4416840,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-03-18,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,211.45,215.21,210.88,214.32,2147008,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-03-19,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,216.03,216.31,210.73,211.24,3227408,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-03-20,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,211.67,212.47,209.38,210.73,2410080,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-03-23,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,211.33,213.18,206.79,207.74,3069234,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-03-24,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,207.77,210.78,207.77,209.22,2139722,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-03-25,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,209.48,209.6,207.5,208.46,2377476,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-03-26,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,207.53,209.54,203.33,204.62,4776132,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-03-27,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,205.75,206.02,197.74,200.27,5402770,FYERS_HISTORY,2026-08-08T23:52:04+05:30
2015-03-30,SMD-0200,RELIANCE,NSE:RELIANCE-EQ,201.48,201.75,196.51,200.04,4013956,FYERS_HISTORY,2026-08-08T23:52:04+05:30
