trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2009-12-29,SMD-0202,SAIL,NSE:SAIL-EQ,239.8,241.5,237.05,238.35,5425415,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2009-12-30,SMD-0202,SAIL,NSE:SAIL-EQ,238.85,240.4,234.5,238.1,5710306,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2009-12-31,SMD-0202,SAIL,NSE:SAIL-EQ,240.0,243.8,237.15,241.7,8131344,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-01-04,SMD-0202,SAIL,NSE:SAIL-EQ,240.7,249.4,240.1,247.6,8237106,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-01-05,SMD-0202,SAIL,NSE:SAIL-EQ,252.0,257.0,249.2,254.55,8570532,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-01-06,SMD-0202,SAIL,NSE:SAIL-EQ,255.55,267.0,247.15,248.35,9815336,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-01-07,SMD-0202,SAIL,NSE:SAIL-EQ,250.0,253.3,240.2,241.6,14053024,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-01-08,SMD-0202,SAIL,NSE:SAIL-EQ,242.0,243.6,237.25,238.85,10236594,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-01-11,SMD-0202,SAIL,NSE:SAIL-EQ,239.5,244.9,239.0,242.1,6227882,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-01-12,SMD-0202,SAIL,NSE:SAIL-EQ,242.1,242.5,232.2,234.05,7862920,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-01-13,SMD-0202,SAIL,NSE:SAIL-EQ,232.0,242.8,231.0,241.6,9583978,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-01-14,SMD-0202,SAIL,NSE:SAIL-EQ,242.0,244.5,240.0,240.85,4914675,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-01-15,SMD-0202,SAIL,NSE:SAIL-EQ,241.0,242.25,236.75,237.3,3246056,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-01-18,SMD-0202,SAIL,NSE:SAIL-EQ,237.5,237.9,233.35,234.85,3875107,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-01-19,SMD-0202,SAIL,NSE:SAIL-EQ,235.5,238.35,231.7,233.45,3316311,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-01-20,SMD-0202,SAIL,NSE:SAIL-EQ,236.0,239.3,232.1,238.3,4293417,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-01-21,SMD-0202,SAIL,NSE:SAIL-EQ,237.8,241.3,231.6,233.05,5092114,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-01-22,SMD-0202,SAIL,NSE:SAIL-EQ,228.95,231.0,223.35,225.6,5626954,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-01-25,SMD-0202,SAIL,NSE:SAIL-EQ,222.0,227.0,220.0,223.45,4448009,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-01-27,SMD-0202,SAIL,NSE:SAIL-EQ,223.45,223.8,214.15,215.85,9850082,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-01-28,SMD-0202,SAIL,NSE:SAIL-EQ,219.9,226.45,218.05,218.95,8737692,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-01-29,SMD-0202,SAIL,NSE:SAIL-EQ,218.0,218.0,208.25,214.5,7307241,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-02-01,SMD-0202,SAIL,NSE:SAIL-EQ,213.5,215.3,208.1,213.5,7495642,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-02-02,SMD-0202,SAIL,NSE:SAIL-EQ,215.95,217.85,208.05,209.35,7343578,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-02-03,SMD-0202,SAIL,NSE:SAIL-EQ,213.0,220.85,211.7,219.4,8084337,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-02-04,SMD-0202,SAIL,NSE:SAIL-EQ,219.9,220.25,211.5,212.75,6488961,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-02-05,SMD-0202,SAIL,NSE:SAIL-EQ,206.0,208.8,201.05,203.45,6170780,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-02-06,SMD-0202,SAIL,NSE:SAIL-EQ,204.5,208.0,203.7,206.3,663979,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-02-08,SMD-0202,SAIL,NSE:SAIL-EQ,208.0,208.65,197.5,204.35,7768572,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-02-09,SMD-0202,SAIL,NSE:SAIL-EQ,205.0,213.4,205.0,208.05,8151807,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-02-10,SMD-0202,SAIL,NSE:SAIL-EQ,213.85,213.85,201.8,202.85,9150317,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-02-11,SMD-0202,SAIL,NSE:SAIL-EQ,204.5,207.9,204.5,205.7,4706066,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-02-15,SMD-0202,SAIL,NSE:SAIL-EQ,206.5,207.0,200.0,202.45,5065457,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-02-16,SMD-0202,SAIL,NSE:SAIL-EQ,203.45,207.9,202.7,206.65,3523995,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-02-17,SMD-0202,SAIL,NSE:SAIL-EQ,208.0,214.95,208.0,213.15,6702599,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-02-18,SMD-0202,SAIL,NSE:SAIL-EQ,213.25,214.0,209.2,213.25,3819692,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-02-19,SMD-0202,SAIL,NSE:SAIL-EQ,211.65,211.65,203.5,207.5,5801720,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-02-22,SMD-0202,SAIL,NSE:SAIL-EQ,209.25,213.25,208.65,209.65,3785824,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-02-23,SMD-0202,SAIL,NSE:SAIL-EQ,209.0,211.4,206.7,207.5,3840440,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-02-24,SMD-0202,SAIL,NSE:SAIL-EQ,207.0,209.9,204.5,208.4,3556291,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-02-25,SMD-0202,SAIL,NSE:SAIL-EQ,208.7,213.5,207.0,212.4,5004469,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-02-26,SMD-0202,SAIL,NSE:SAIL-EQ,211.0,222.3,211.0,218.5,7299650,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-03-02,SMD-0202,SAIL,NSE:SAIL-EQ,220.0,225.7,218.75,224.9,5132762,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-03-03,SMD-0202,SAIL,NSE:SAIL-EQ,225.4,229.8,225.1,226.6,5143139,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-03-04,SMD-0202,SAIL,NSE:SAIL-EQ,226.6,237.6,223.1,237.0,8096656,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-03-05,SMD-0202,SAIL,NSE:SAIL-EQ,238.85,238.9,232.45,234.5,4948443,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-03-08,SMD-0202,SAIL,NSE:SAIL-EQ,236.5,239.8,233.6,238.0,5178843,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-03-09,SMD-0202,SAIL,NSE:SAIL-EQ,238.05,238.05,233.0,233.7,2279368,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-03-10,SMD-0202,SAIL,NSE:SAIL-EQ,233.0,236.0,230.35,233.9,3144159,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-03-11,SMD-0202,SAIL,NSE:SAIL-EQ,234.25,239.2,232.45,235.35,4915849,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-03-12,SMD-0202,SAIL,NSE:SAIL-EQ,236.0,238.0,232.8,234.2,3059318,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-03-15,SMD-0202,SAIL,NSE:SAIL-EQ,236.9,236.9,229.15,229.85,3717619,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-03-16,SMD-0202,SAIL,NSE:SAIL-EQ,230.0,237.2,227.7,236.35,4372110,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-03-17,SMD-0202,SAIL,NSE:SAIL-EQ,238.0,242.7,237.0,239.65,6397451,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-03-18,SMD-0202,SAIL,NSE:SAIL-EQ,241.0,245.7,241.0,244.8,5691096,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-03-19,SMD-0202,SAIL,NSE:SAIL-EQ,248.0,248.7,243.5,247.3,5084222,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-03-22,SMD-0202,SAIL,NSE:SAIL-EQ,244.45,245.2,238.65,239.4,4392078,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-03-23,SMD-0202,SAIL,NSE:SAIL-EQ,241.0,244.0,239.7,242.15,4100760,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-03-25,SMD-0202,SAIL,NSE:SAIL-EQ,241.65,243.9,239.0,242.85,4640535,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-03-26,SMD-0202,SAIL,NSE:SAIL-EQ,244.5,246.45,243.1,244.05,2422565,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-03-29,SMD-0202,SAIL,NSE:SAIL-EQ,243.9,246.8,234.55,243.25,2623661,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-03-30,SMD-0202,SAIL,NSE:SAIL-EQ,246.0,246.75,243.3,244.2,2669093,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-03-31,SMD-0202,SAIL,NSE:SAIL-EQ,246.5,254.0,243.75,252.55,7219062,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-04-01,SMD-0202,SAIL,NSE:SAIL-EQ,254.35,256.0,249.55,252.1,5505604,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-04-05,SMD-0202,SAIL,NSE:SAIL-EQ,254.0,255.95,252.35,254.25,3473410,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-04-06,SMD-0202,SAIL,NSE:SAIL-EQ,256.0,258.45,251.6,256.65,4216789,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-04-07,SMD-0202,SAIL,NSE:SAIL-EQ,256.0,257.9,252.6,255.15,2640205,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-04-08,SMD-0202,SAIL,NSE:SAIL-EQ,256.0,256.8,235.25,236.65,16162500,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-04-09,SMD-0202,SAIL,NSE:SAIL-EQ,236.0,239.6,230.0,234.4,15143087,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-04-12,SMD-0202,SAIL,NSE:SAIL-EQ,235.0,237.75,232.5,236.05,4339383,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-04-13,SMD-0202,SAIL,NSE:SAIL-EQ,235.1,236.0,228.25,229.85,7958540,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-04-15,SMD-0202,SAIL,NSE:SAIL-EQ,232.0,233.15,226.2,227.35,6059667,FYERS_HISTORY,2026-08-08T23:52:34+05:30
2010-04-16,SMD-0202,SAIL,NSE:SAIL-EQ,228.0,231.15,225.6,227.8,6165916,FYERS_HISTORY,2026-08-08T23:52:34+05:30
