trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2023-12-26,SMD-0202,SAIL,NSE:SAIL-EQ,113.65,114.9,111.3,113.55,37093574,FYERS_HISTORY,2026-08-08T23:52:41+05:30
2023-12-27,SMD-0202,SAIL,NSE:SAIL-EQ,115.15,118.2,115.0,115.45,87756029,FYERS_HISTORY,2026-08-08T23:52:41+05:30
2023-12-28,SMD-0202,SAIL,NSE:SAIL-EQ,116.4,123.85,116.1,122.85,112886813,FYERS_HISTORY,2026-08-08T23:52:41+05:30
2023-12-29,SMD-0202,SAIL,NSE:SAIL-EQ,123.3,125.75,120.85,123.65,65438649,FYERS_HISTORY,2026-08-08T23:52:41+05:30
2024-01-01,SMD-0202,SAIL,NSE:SAIL-EQ,123.65,126.9,122.65,124.7,37525817,FYERS_HISTORY,2026-08-08T23:52:41+05:30
2024-01-02,SMD-0202,SAIL,NSE:SAIL-EQ,124.65,124.65,120.25,123.0,38718627,FYERS_HISTORY,2026-08-08T23:52:41+05:30
2024-01-03,SMD-0202,SAIL,NSE:SAIL-EQ,122.4,122.7,118.7,119.1,30459539,FYERS_HISTORY,2026-08-08T23:52:41+05:30
2024-01-04,SMD-0202,SAIL,NSE:SAIL-EQ,119.25,120.7,118.25,118.65,21439561,FYERS_HISTORY,2026-08-08T23:52:41+05:30
2024-01-05,SMD-0202,SAIL,NSE:SAIL-EQ,119.5,120.75,115.7,116.95,22784093,FYERS_HISTORY,2026-08-08T23:52:41+05:30
2024-01-08,SMD-0202,SAIL,NSE:SAIL-EQ,117.1,117.6,114.0,114.3,21830246,FYERS_HISTORY,2026-08-08T23:52:41+05:30
2024-01-09,SMD-0202,SAIL,NSE:SAIL-EQ,115.2,116.6,113.75,114.2,16993314,FYERS_HISTORY,2026-08-08T23:52:41+05:30
2024-01-10,SMD-0202,SAIL,NSE:SAIL-EQ,114.0,115.65,112.2,115.05,20963866,FYERS_HISTORY,2026-08-08T23:52:41+05:30
2024-01-11,SMD-0202,SAIL,NSE:SAIL-EQ,115.95,116.55,113.0,113.5,16565652,FYERS_HISTORY,2026-08-08T23:52:41+05:30
2024-01-12,SMD-0202,SAIL,NSE:SAIL-EQ,114.0,116.35,113.65,114.9,19498240,FYERS_HISTORY,2026-08-08T23:52:41+05:30
2024-01-15,SMD-0202,SAIL,NSE:SAIL-EQ,116.0,116.3,113.8,114.65,16054366,FYERS_HISTORY,2026-08-08T23:52:41+05:30
2024-01-16,SMD-0202,SAIL,NSE:SAIL-EQ,115.05,119.95,114.0,119.55,63560474,FYERS_HISTORY,2026-08-08T23:52:41+05:30
2024-01-17,SMD-0202,SAIL,NSE:SAIL-EQ,117.85,117.85,112.5,113.1,59898451,FYERS_HISTORY,2026-08-08T23:52:41+05:30
2024-01-18,SMD-0202,SAIL,NSE:SAIL-EQ,113.1,114.05,107.5,113.05,39166751,FYERS_HISTORY,2026-08-08T23:52:41+05:30
2024-01-19,SMD-0202,SAIL,NSE:SAIL-EQ,114.3,114.85,113.5,114.1,14431734,FYERS_HISTORY,2026-08-08T23:52:41+05:30
2024-01-20,SMD-0202,SAIL,NSE:SAIL-EQ,115.0,116.0,113.65,114.9,14813493,FYERS_HISTORY,2026-08-08T23:52:41+05:30
2024-01-23,SMD-0202,SAIL,NSE:SAIL-EQ,114.9,114.9,108.0,108.8,29014770,FYERS_HISTORY,2026-08-08T23:52:41+05:30
2024-01-24,SMD-0202,SAIL,NSE:SAIL-EQ,109.85,115.5,109.0,115.05,37267385,FYERS_HISTORY,2026-08-08T23:52:41+05:30
2024-01-25,SMD-0202,SAIL,NSE:SAIL-EQ,115.9,119.95,114.0,119.1,62850007,FYERS_HISTORY,2026-08-08T23:52:41+05:30
