trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2018-12-27,SMD-0205,SBILIFE,NSE:SBILIFE-EQ,544.0,605.0,540.35,590.6,926443,FYERS_HISTORY,2026-08-08T23:53:17+05:30
2018-12-28,SMD-0205,SBILIFE,NSE:SBILIFE-EQ,600.0,605.0,587.25,598.8,519520,FYERS_HISTORY,2026-08-08T23:53:17+05:30
2018-12-31,SMD-0205,SBILIFE,NSE:SBILIFE-EQ,595.0,605.8,595.0,597.85,169943,FYERS_HISTORY,2026-08-08T23:53:17+05:30
2019-01-01,SMD-0205,SBILIFE,NSE:SBILIFE-EQ,595.25,601.8,592.2,598.85,40902,FYERS_HISTORY,2026-08-08T23:53:17+05:30
2019-01-02,SMD-0205,SBILIFE,NSE:SBILIFE-EQ,593.4,604.0,593.4,601.7,115282,FYERS_HISTORY,2026-08-08T23:53:17+05:30
2019-01-03,SMD-0205,SBILIFE,NSE:SBILIFE-EQ,598.4,603.0,590.0,600.05,415471,FYERS_HISTORY,2026-08-08T23:53:17+05:30
2019-01-04,SMD-0205,SBILIFE,NSE:SBILIFE-EQ,603.0,615.0,600.0,602.85,119061,FYERS_HISTORY,2026-08-08T23:53:17+05:30
2019-01-07,SMD-0205,SBILIFE,NSE:SBILIFE-EQ,602.85,608.85,597.7,602.45,316222,FYERS_HISTORY,2026-08-08T23:53:17+05:30
2019-01-08,SMD-0205,SBILIFE,NSE:SBILIFE-EQ,600.0,626.9,600.0,612.5,214725,FYERS_HISTORY,2026-08-08T23:53:17+05:30
2019-01-09,SMD-0205,SBILIFE,NSE:SBILIFE-EQ,615.0,649.75,615.0,642.95,304725,FYERS_HISTORY,2026-08-08T23:53:17+05:30
2019-01-10,SMD-0205,SBILIFE,NSE:SBILIFE-EQ,642.1,648.4,631.0,634.75,165683,FYERS_HISTORY,2026-08-08T23:53:17+05:30
2019-01-11,SMD-0205,SBILIFE,NSE:SBILIFE-EQ,635.0,643.0,630.0,638.5,171998,FYERS_HISTORY,2026-08-08T23:53:17+05:30
2019-01-14,SMD-0205,SBILIFE,NSE:SBILIFE-EQ,633.0,636.65,618.25,620.1,366016,FYERS_HISTORY,2026-08-08T23:53:17+05:30
2019-01-15,SMD-0205,SBILIFE,NSE:SBILIFE-EQ,624.0,631.15,620.0,623.9,68669,FYERS_HISTORY,2026-08-08T23:53:17+05:30
2019-01-16,SMD-0205,SBILIFE,NSE:SBILIFE-EQ,622.5,630.3,618.0,621.4,440003,FYERS_HISTORY,2026-08-08T23:53:17+05:30
2019-01-17,SMD-0205,SBILIFE,NSE:SBILIFE-EQ,621.5,633.55,618.0,623.35,377003,FYERS_HISTORY,2026-08-08T23:53:17+05:30
2019-01-18,SMD-0205,SBILIFE,NSE:SBILIFE-EQ,627.0,629.5,615.0,620.2,107504,FYERS_HISTORY,2026-08-08T23:53:17+05:30
2019-01-21,SMD-0205,SBILIFE,NSE:SBILIFE-EQ,625.0,644.7,612.5,617.65,427431,FYERS_HISTORY,2026-08-08T23:53:17+05:30
2019-01-22,SMD-0205,SBILIFE,NSE:SBILIFE-EQ,620.0,629.8,611.7,619.9,95583,FYERS_HISTORY,2026-08-08T23:53:17+05:30
2019-01-23,SMD-0205,SBILIFE,NSE:SBILIFE-EQ,623.0,628.9,612.2,620.0,159259,FYERS_HISTORY,2026-08-08T23:53:17+05:30
2019-01-24,SMD-0205,SBILIFE,NSE:SBILIFE-EQ,620.0,629.4,615.1,618.25,129335,FYERS_HISTORY,2026-08-08T23:53:17+05:30
2019-01-25,SMD-0205,SBILIFE,NSE:SBILIFE-EQ,627.45,633.0,615.65,619.6,222746,FYERS_HISTORY,2026-08-08T23:53:17+05:30
