trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2015-12-28,SMD-0208,SHRIRAMFIN,NSE:SHRIRAMFIN-EQ,170.4,171.25,169.46,170.34,835315,FYERS_HISTORY,2026-08-08T23:53:56+05:30
2015-12-29,SMD-0208,SHRIRAMFIN,NSE:SHRIRAMFIN-EQ,171.2,172.33,168.93,169.6,1534835,FYERS_HISTORY,2026-08-08T23:53:56+05:30
2015-12-30,SMD-0208,SHRIRAMFIN,NSE:SHRIRAMFIN-EQ,170.4,172.58,169.11,170.12,1611595,FYERS_HISTORY,2026-08-08T23:53:56+05:30
2015-12-31,SMD-0208,SHRIRAMFIN,NSE:SHRIRAMFIN-EQ,170.0,174.8,169.2,171.74,2683945,FYERS_HISTORY,2026-08-08T23:53:56+05:30
2016-01-01,SMD-0208,SHRIRAMFIN,NSE:SHRIRAMFIN-EQ,171.8,173.98,171.0,173.14,581615,FYERS_HISTORY,2026-08-08T23:53:56+05:30
2016-01-04,SMD-0208,SHRIRAMFIN,NSE:SHRIRAMFIN-EQ,171.33,175.56,166.83,168.18,1363875,FYERS_HISTORY,2026-08-08T23:53:56+05:30
2016-01-05,SMD-0208,SHRIRAMFIN,NSE:SHRIRAMFIN-EQ,169.79,174.26,167.47,172.98,1677010,FYERS_HISTORY,2026-08-08T23:53:56+05:30
2016-01-06,SMD-0208,SHRIRAMFIN,NSE:SHRIRAMFIN-EQ,172.98,178.3,172.68,174.52,3663820,FYERS_HISTORY,2026-08-08T23:53:56+05:30
2016-01-07,SMD-0208,SHRIRAMFIN,NSE:SHRIRAMFIN-EQ,173.0,173.21,163.08,164.31,1255290,FYERS_HISTORY,2026-08-08T23:53:56+05:30
2016-01-08,SMD-0208,SHRIRAMFIN,NSE:SHRIRAMFIN-EQ,165.4,171.2,165.4,168.39,2573855,FYERS_HISTORY,2026-08-08T23:53:56+05:30
2016-01-11,SMD-0208,SHRIRAMFIN,NSE:SHRIRAMFIN-EQ,167.4,168.34,162.4,163.6,1750010,FYERS_HISTORY,2026-08-08T23:53:56+05:30
2016-01-12,SMD-0208,SHRIRAMFIN,NSE:SHRIRAMFIN-EQ,164.8,164.95,161.2,161.6,1038800,FYERS_HISTORY,2026-08-08T23:53:56+05:30
2016-01-13,SMD-0208,SHRIRAMFIN,NSE:SHRIRAMFIN-EQ,162.2,163.91,157.28,161.33,3207265,FYERS_HISTORY,2026-08-08T23:53:56+05:30
2016-01-14,SMD-0208,SHRIRAMFIN,NSE:SHRIRAMFIN-EQ,159.56,161.71,157.2,159.96,6030285,FYERS_HISTORY,2026-08-08T23:53:56+05:30
2016-01-15,SMD-0208,SHRIRAMFIN,NSE:SHRIRAMFIN-EQ,159.99,162.9,152.4,152.98,1182845,FYERS_HISTORY,2026-08-08T23:53:56+05:30
2016-01-18,SMD-0208,SHRIRAMFIN,NSE:SHRIRAMFIN-EQ,153.8,155.4,148.6,153.45,2441775,FYERS_HISTORY,2026-08-08T23:53:56+05:30
2016-01-19,SMD-0208,SHRIRAMFIN,NSE:SHRIRAMFIN-EQ,155.4,156.8,151.07,155.05,2165295,FYERS_HISTORY,2026-08-08T23:53:56+05:30
2016-01-20,SMD-0208,SHRIRAMFIN,NSE:SHRIRAMFIN-EQ,154.21,154.21,148.92,150.03,2042100,FYERS_HISTORY,2026-08-08T23:53:56+05:30
2016-01-21,SMD-0208,SHRIRAMFIN,NSE:SHRIRAMFIN-EQ,151.0,152.6,147.39,148.21,3520860,FYERS_HISTORY,2026-08-08T23:53:56+05:30
2016-01-22,SMD-0208,SHRIRAMFIN,NSE:SHRIRAMFIN-EQ,150.2,153.45,149.22,150.52,2625805,FYERS_HISTORY,2026-08-08T23:53:56+05:30
2016-01-25,SMD-0208,SHRIRAMFIN,NSE:SHRIRAMFIN-EQ,151.37,153.41,149.4,149.86,1043295,FYERS_HISTORY,2026-08-08T23:53:56+05:30
