trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2003-12-31,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,50.01,53.69,50.01,53.19,51499,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-01-01,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,53.19,54.19,51.95,52.73,18129,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-01-02,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,53.19,53.64,50.71,51.16,14490,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-01-05,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,53.94,53.94,49.37,49.74,32157,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-01-06,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,52.1,52.15,49.71,50.39,76094,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-01-07,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,50.71,50.96,47.97,48.9,33500,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-01-08,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,49.42,51.5,48.47,50.06,27746,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-01-09,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,50.46,53.69,49.22,50.0,86858,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-01-12,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,49.76,50.46,48.97,49.83,59069,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-01-13,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,50.16,50.16,49.22,49.68,24174,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-01-14,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,48.22,50.96,48.22,50.11,14409,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-01-15,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,49.91,50.96,49.23,50.54,26592,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-01-16,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,49.71,50.16,48.72,49.27,11163,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-01-19,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,49.22,49.22,47.97,48.64,19308,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-01-20,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,48.98,49.56,47.97,48.71,23056,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-01-21,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,49.71,49.71,44.41,47.2,94312,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-01-22,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,44.84,46.33,44.3,45.13,48889,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-01-23,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,44.89,48.47,43.01,46.87,51274,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-01-27,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,45.99,46.73,45.94,46.47,43683,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-01-28,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,46.48,46.73,44.3,45.02,13466,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-01-29,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,44.54,45.98,44.3,44.66,16856,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-01-30,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,45.48,45.99,44.0,44.25,8324,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-02-03,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,44.0,44.74,43.5,44.2,21415,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-02-04,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,44.74,44.89,43.55,44.61,13580,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-02-05,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,45.18,45.18,44.34,44.65,10324,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-02-06,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,44.89,44.94,43.8,44.56,3258,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-02-09,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,44.69,45.33,44.25,45.18,7512,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-02-10,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,45.49,45.49,44.49,44.57,2731,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-02-11,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,44.99,45.64,44.99,45.35,6078,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-02-12,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,45.49,46.98,45.24,46.27,14933,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-02-13,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,46.04,47.73,46.04,47.24,5678,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-02-16,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,49.71,49.71,47.23,47.98,5989,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-02-17,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,48.72,49.47,47.48,48.88,12180,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-02-18,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,48.87,48.97,48.58,48.72,12223,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-02-19,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,48.47,48.86,47.9,48.02,20059,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-02-20,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,47.28,49.95,47.23,49.62,19744,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-02-23,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,49.96,49.96,48.72,49.22,12374,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-02-24,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,49.71,50.31,48.52,50.05,12456,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-02-25,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,49.52,50.11,49.47,49.71,10504,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-02-26,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,49.71,50.05,47.98,49.36,14264,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-02-27,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,49.22,50.01,48.27,49.45,10277,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-03-01,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,50.46,50.46,48.83,49.89,8444,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-03-03,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,50.96,54.64,50.46,52.58,66257,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-03-04,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,52.45,53.19,51.7,52.28,29908,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-03-05,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,52.1,52.55,51.95,52.27,6834,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-03-08,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,52.2,52.65,52.2,52.41,6761,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-03-09,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,51.95,53.69,51.95,53.22,39350,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-03-10,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,52.55,53.59,52.35,52.4,4742,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-03-11,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,53.44,53.44,49.72,52.3,106249,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-03-12,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,49.92,52.2,49.92,51.23,73240,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-03-15,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,50.81,50.81,48.97,49.84,8735,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-03-16,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,49.71,53.59,48.27,49.78,8895,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-03-17,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,49.72,50.21,48.62,49.29,4444,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-03-18,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,49.96,50.21,49.07,49.67,5995,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-03-19,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,48.79,49.76,48.79,49.62,1904,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-03-22,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,48.77,49.02,47.63,48.42,10109,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-03-23,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,48.02,48.47,46.68,48.13,19183,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-03-24,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,47.48,48.13,47.28,47.88,10912,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-03-25,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,47.73,47.92,46.84,47.73,6479,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-03-26,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,48.67,48.72,47.73,48.48,27960,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-03-29,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,48.72,49.12,47.17,48.69,4736,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-03-30,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,48.72,48.82,47.78,48.47,14685,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-03-31,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,48.52,48.97,48.47,48.85,8806,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-04-01,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,49.17,51.21,48.37,50.14,43774,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-04-02,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,50.06,50.21,49.02,49.97,4771,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-04-05,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,49.96,52.08,49.96,51.71,6693,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-04-06,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,53.39,56.18,49.97,51.54,5764,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-04-07,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,50.31,51.8,50.31,51.75,20737,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-04-08,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,52.19,52.19,51.06,51.99,4390,FYERS_HISTORY,2026-08-08T23:54:03+05:30
2004-04-12,SMD-0209,SIEMENS,NSE:SIEMENS-EQ,52.45,52.7,51.7,52.24,6781,FYERS_HISTORY,2026-08-08T23:54:03+05:30
