trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2007-12-31,SMD-0211,SOLARINDS,NSE:SOLARINDS-EQ,93.0,101.8,93.0,99.69,13477,FYERS_HISTORY,2026-08-08T23:54:20+05:30
2008-01-01,SMD-0211,SOLARINDS,NSE:SOLARINDS-EQ,99.6,101.4,97.4,100.71,5162,FYERS_HISTORY,2026-08-08T23:54:20+05:30
2008-01-02,SMD-0211,SOLARINDS,NSE:SOLARINDS-EQ,103.4,103.4,96.6,100.34,2587,FYERS_HISTORY,2026-08-08T23:54:20+05:30
2008-01-03,SMD-0211,SOLARINDS,NSE:SOLARINDS-EQ,100.0,100.0,96.21,98.12,2171,FYERS_HISTORY,2026-08-08T23:54:20+05:30
2008-01-04,SMD-0211,SOLARINDS,NSE:SOLARINDS-EQ,100.27,102.0,97.98,99.03,1616,FYERS_HISTORY,2026-08-08T23:54:20+05:30
2008-01-07,SMD-0211,SOLARINDS,NSE:SOLARINDS-EQ,98.0,100.4,96.25,99.8,10737,FYERS_HISTORY,2026-08-08T23:54:20+05:30
2008-01-08,SMD-0211,SOLARINDS,NSE:SOLARINDS-EQ,100.4,102.0,90.05,98.41,6638,FYERS_HISTORY,2026-08-08T23:54:20+05:30
2008-01-09,SMD-0211,SOLARINDS,NSE:SOLARINDS-EQ,95.1,107.0,95.01,100.24,13261,FYERS_HISTORY,2026-08-08T23:54:20+05:30
2008-01-10,SMD-0211,SOLARINDS,NSE:SOLARINDS-EQ,105.6,105.6,101.4,103.21,28855,FYERS_HISTORY,2026-08-08T23:54:20+05:30
2008-01-11,SMD-0211,SOLARINDS,NSE:SOLARINDS-EQ,104.2,104.2,84.4,102.16,2469,FYERS_HISTORY,2026-08-08T23:54:20+05:30
2008-01-14,SMD-0211,SOLARINDS,NSE:SOLARINDS-EQ,99.96,103.0,98.4,102.89,1000,FYERS_HISTORY,2026-08-08T23:54:20+05:30
2008-01-15,SMD-0211,SOLARINDS,NSE:SOLARINDS-EQ,100.24,103.4,100.2,102.58,2949,FYERS_HISTORY,2026-08-08T23:54:20+05:30
2008-01-16,SMD-0211,SOLARINDS,NSE:SOLARINDS-EQ,102.4,103.7,101.2,103.06,3265,FYERS_HISTORY,2026-08-08T23:54:20+05:30
2008-01-17,SMD-0211,SOLARINDS,NSE:SOLARINDS-EQ,105.0,105.0,99.63,103.82,88648,FYERS_HISTORY,2026-08-08T23:54:20+05:30
2008-01-18,SMD-0211,SOLARINDS,NSE:SOLARINDS-EQ,102.2,104.99,102.2,103.95,2345,FYERS_HISTORY,2026-08-08T23:54:20+05:30
2008-01-21,SMD-0211,SOLARINDS,NSE:SOLARINDS-EQ,101.0,103.6,90.21,95.05,22555,FYERS_HISTORY,2026-08-08T23:54:20+05:30
2008-01-22,SMD-0211,SOLARINDS,NSE:SOLARINDS-EQ,78.0,88.8,77.4,82.48,2127,FYERS_HISTORY,2026-08-08T23:54:20+05:30
