trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2008-12-29,SMD-0215,SUPREMEIND,NSE:SUPREMEIND-EQ,22.41,22.8,22.4,22.58,1859,FYERS_HISTORY,2026-08-08T23:55:20+05:30
2008-12-30,SMD-0215,SUPREMEIND,NSE:SUPREMEIND-EQ,22.6,24.39,22.57,23.74,10452,FYERS_HISTORY,2026-08-08T23:55:20+05:30
2008-12-31,SMD-0215,SUPREMEIND,NSE:SUPREMEIND-EQ,27.4,27.4,22.52,22.88,270912,FYERS_HISTORY,2026-08-08T23:55:20+05:30
2009-01-01,SMD-0215,SUPREMEIND,NSE:SUPREMEIND-EQ,23.4,23.78,22.22,22.62,31124,FYERS_HISTORY,2026-08-08T23:55:20+05:30
2009-01-02,SMD-0215,SUPREMEIND,NSE:SUPREMEIND-EQ,22.62,24.8,22.42,23.78,54518,FYERS_HISTORY,2026-08-08T23:55:20+05:30
2009-01-05,SMD-0215,SUPREMEIND,NSE:SUPREMEIND-EQ,25.38,25.8,24.21,24.92,63171,FYERS_HISTORY,2026-08-08T23:55:20+05:30
2009-01-06,SMD-0215,SUPREMEIND,NSE:SUPREMEIND-EQ,25.21,25.21,23.45,23.63,14261,FYERS_HISTORY,2026-08-08T23:55:20+05:30
2009-01-07,SMD-0215,SUPREMEIND,NSE:SUPREMEIND-EQ,24.09,24.09,22.22,22.58,14746,FYERS_HISTORY,2026-08-08T23:55:20+05:30
2009-01-09,SMD-0215,SUPREMEIND,NSE:SUPREMEIND-EQ,22.4,22.8,22.4,22.44,13068,FYERS_HISTORY,2026-08-08T23:55:20+05:30
2009-01-12,SMD-0215,SUPREMEIND,NSE:SUPREMEIND-EQ,22.2,22.9,22.2,22.43,13873,FYERS_HISTORY,2026-08-08T23:55:20+05:30
2009-01-13,SMD-0215,SUPREMEIND,NSE:SUPREMEIND-EQ,22.4,22.8,22.38,22.56,23685,FYERS_HISTORY,2026-08-08T23:55:20+05:30
