trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2008-12-29,SMD-0216,SUZLON,NSE:SUZLON-EQ,49.96,54.19,49.96,53.93,30038821,FYERS_HISTORY,2026-08-08T23:55:35+05:30
2008-12-30,SMD-0216,SUZLON,NSE:SUZLON-EQ,53.61,55.31,52.0,54.19,38405605,FYERS_HISTORY,2026-08-08T23:55:35+05:30
2008-12-31,SMD-0216,SUZLON,NSE:SUZLON-EQ,55.26,57.62,54.42,55.58,33939734,FYERS_HISTORY,2026-08-08T23:55:35+05:30
2009-01-01,SMD-0216,SUZLON,NSE:SUZLON-EQ,56.24,59.95,56.07,59.14,28531316,FYERS_HISTORY,2026-08-08T23:55:35+05:30
2009-01-02,SMD-0216,SUZLON,NSE:SUZLON-EQ,63.33,64.94,57.0,57.58,42992567,FYERS_HISTORY,2026-08-08T23:55:35+05:30
2009-01-05,SMD-0216,SUZLON,NSE:SUZLON-EQ,58.11,60.66,57.62,60.35,26319537,FYERS_HISTORY,2026-08-08T23:55:35+05:30
2009-01-06,SMD-0216,SUZLON,NSE:SUZLON-EQ,60.35,62.58,58.43,60.44,41504732,FYERS_HISTORY,2026-08-08T23:55:35+05:30
2009-01-07,SMD-0216,SUZLON,NSE:SUZLON-EQ,61.24,62.18,45.32,46.57,52563425,FYERS_HISTORY,2026-08-08T23:55:35+05:30
2009-01-09,SMD-0216,SUZLON,NSE:SUZLON-EQ,46.38,49.24,41.03,47.1,29663180,FYERS_HISTORY,2026-08-08T23:55:35+05:30
2009-01-12,SMD-0216,SUZLON,NSE:SUZLON-EQ,46.83,48.35,42.99,44.78,30193566,FYERS_HISTORY,2026-08-08T23:55:35+05:30
2009-01-13,SMD-0216,SUZLON,NSE:SUZLON-EQ,44.15,46.16,41.52,42.6,20016975,FYERS_HISTORY,2026-08-08T23:55:35+05:30
2009-01-14,SMD-0216,SUZLON,NSE:SUZLON-EQ,43.67,45.23,43.26,44.64,17821200,FYERS_HISTORY,2026-08-08T23:55:35+05:30
2009-01-15,SMD-0216,SUZLON,NSE:SUZLON-EQ,43.71,43.71,40.32,42.82,12194196,FYERS_HISTORY,2026-08-08T23:55:35+05:30
2009-01-16,SMD-0216,SUZLON,NSE:SUZLON-EQ,43.67,45.68,43.49,45.05,13045476,FYERS_HISTORY,2026-08-08T23:55:35+05:30
2009-01-19,SMD-0216,SUZLON,NSE:SUZLON-EQ,45.89,49.24,45.27,48.52,24407752,FYERS_HISTORY,2026-08-08T23:55:35+05:30
2009-01-20,SMD-0216,SUZLON,NSE:SUZLON-EQ,47.63,47.95,45.49,46.47,18528887,FYERS_HISTORY,2026-08-08T23:55:35+05:30
2009-01-21,SMD-0216,SUZLON,NSE:SUZLON-EQ,45.49,47.5,43.8,44.47,17533979,FYERS_HISTORY,2026-08-08T23:55:35+05:30
2009-01-22,SMD-0216,SUZLON,NSE:SUZLON-EQ,44.6,46.12,42.5,43.84,13685569,FYERS_HISTORY,2026-08-08T23:55:35+05:30
