trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2011-12-29,SMD-0216,SUZLON,NSE:SUZLON-EQ,16.39,16.56,15.25,15.43,26984174,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2011-12-30,SMD-0216,SUZLON,NSE:SUZLON-EQ,15.64,15.86,15.43,15.73,15454807,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-01-02,SMD-0216,SUZLON,NSE:SUZLON-EQ,15.95,15.99,15.03,15.78,16246854,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-01-03,SMD-0216,SUZLON,NSE:SUZLON-EQ,16.17,16.56,16.04,16.48,12239994,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-01-04,SMD-0216,SUZLON,NSE:SUZLON-EQ,16.61,16.61,15.91,16.08,17240562,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-01-05,SMD-0216,SUZLON,NSE:SUZLON-EQ,16.08,16.82,15.82,15.95,26814462,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-01-06,SMD-0216,SUZLON,NSE:SUZLON-EQ,15.82,16.26,15.38,15.91,23128350,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-01-07,SMD-0216,SUZLON,NSE:SUZLON-EQ,16.04,16.17,15.91,16.04,2508210,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-01-09,SMD-0216,SUZLON,NSE:SUZLON-EQ,16.08,16.56,15.51,16.48,20326081,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-01-10,SMD-0216,SUZLON,NSE:SUZLON-EQ,16.61,17.31,16.52,17.17,20471012,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-01-11,SMD-0216,SUZLON,NSE:SUZLON-EQ,17.44,18.09,17.09,17.92,26366050,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-01-12,SMD-0216,SUZLON,NSE:SUZLON-EQ,17.92,18.53,17.57,18.05,22161030,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-01-13,SMD-0216,SUZLON,NSE:SUZLON-EQ,18.31,19.84,18.14,19.62,41401859,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-01-16,SMD-0216,SUZLON,NSE:SUZLON-EQ,19.88,20.23,19.14,19.67,25514119,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-01-17,SMD-0216,SUZLON,NSE:SUZLON-EQ,20.1,20.45,19.71,20.06,26013969,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-01-18,SMD-0216,SUZLON,NSE:SUZLON-EQ,20.36,20.36,19.23,19.36,17031596,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-01-19,SMD-0216,SUZLON,NSE:SUZLON-EQ,19.75,20.01,19.58,19.84,12861231,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-01-20,SMD-0216,SUZLON,NSE:SUZLON-EQ,19.97,21.68,19.84,21.5,33296233,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-01-23,SMD-0216,SUZLON,NSE:SUZLON-EQ,21.46,23.12,21.33,22.81,43422631,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-01-24,SMD-0216,SUZLON,NSE:SUZLON-EQ,23.07,23.77,22.9,23.2,34430568,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-01-25,SMD-0216,SUZLON,NSE:SUZLON-EQ,23.42,24.25,23.42,23.82,37039836,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-01-27,SMD-0216,SUZLON,NSE:SUZLON-EQ,24.12,25.43,24.04,25.0,37274830,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-01-30,SMD-0216,SUZLON,NSE:SUZLON-EQ,25.0,25.0,22.81,23.03,33094157,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-01-31,SMD-0216,SUZLON,NSE:SUZLON-EQ,23.42,24.65,23.25,24.47,23077089,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-02-01,SMD-0216,SUZLON,NSE:SUZLON-EQ,24.43,26.0,24.17,25.83,35208977,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-02-02,SMD-0216,SUZLON,NSE:SUZLON-EQ,26.13,26.83,25.48,25.83,31283620,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-02-03,SMD-0216,SUZLON,NSE:SUZLON-EQ,25.87,26.05,25.26,25.74,18669239,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-02-06,SMD-0216,SUZLON,NSE:SUZLON-EQ,26.05,26.79,25.78,26.13,18283157,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-02-07,SMD-0216,SUZLON,NSE:SUZLON-EQ,26.26,26.61,25.17,25.48,15535618,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-02-08,SMD-0216,SUZLON,NSE:SUZLON-EQ,25.74,26.44,25.48,26.0,15627014,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-02-09,SMD-0216,SUZLON,NSE:SUZLON-EQ,25.78,27.71,25.56,27.49,32719783,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-02-10,SMD-0216,SUZLON,NSE:SUZLON-EQ,27.66,28.32,26.13,26.92,36245870,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-02-13,SMD-0216,SUZLON,NSE:SUZLON-EQ,26.31,26.44,24.3,24.87,34763047,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-02-14,SMD-0216,SUZLON,NSE:SUZLON-EQ,24.47,24.6,23.69,24.08,26870984,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-02-15,SMD-0216,SUZLON,NSE:SUZLON-EQ,24.65,25.74,24.6,25.3,27660040,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-02-16,SMD-0216,SUZLON,NSE:SUZLON-EQ,25.04,26.35,24.95,25.74,24324117,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-02-17,SMD-0216,SUZLON,NSE:SUZLON-EQ,26.22,27.14,24.95,25.39,30204856,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-02-21,SMD-0216,SUZLON,NSE:SUZLON-EQ,25.52,26.96,25.52,26.74,29475725,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-02-22,SMD-0216,SUZLON,NSE:SUZLON-EQ,27.09,27.97,24.43,24.82,45134292,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-02-23,SMD-0216,SUZLON,NSE:SUZLON-EQ,24.73,25.43,23.82,24.43,31978570,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-02-24,SMD-0216,SUZLON,NSE:SUZLON-EQ,24.47,24.95,23.16,23.38,29456648,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-02-27,SMD-0216,SUZLON,NSE:SUZLON-EQ,23.42,23.6,21.06,21.41,24614646,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-02-28,SMD-0216,SUZLON,NSE:SUZLON-EQ,21.85,23.12,21.76,22.94,25038181,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-02-29,SMD-0216,SUZLON,NSE:SUZLON-EQ,23.55,23.99,22.46,23.25,26257741,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-03-01,SMD-0216,SUZLON,NSE:SUZLON-EQ,22.99,26.66,22.37,25.91,76720192,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-03-02,SMD-0216,SUZLON,NSE:SUZLON-EQ,26.22,26.83,25.22,25.52,53242825,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-03-03,SMD-0216,SUZLON,NSE:SUZLON-EQ,25.35,25.52,25.04,25.13,4541229,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-03-05,SMD-0216,SUZLON,NSE:SUZLON-EQ,25.26,25.87,24.04,24.3,31352380,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-03-06,SMD-0216,SUZLON,NSE:SUZLON-EQ,23.64,24.91,23.34,23.77,23787741,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-03-07,SMD-0216,SUZLON,NSE:SUZLON-EQ,23.6,24.21,23.16,23.73,16344455,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-03-09,SMD-0216,SUZLON,NSE:SUZLON-EQ,24.21,24.56,23.64,24.12,20240966,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-03-12,SMD-0216,SUZLON,NSE:SUZLON-EQ,24.6,24.91,23.95,24.69,17561438,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-03-13,SMD-0216,SUZLON,NSE:SUZLON-EQ,25.04,26.44,24.78,25.52,46931433,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-03-14,SMD-0216,SUZLON,NSE:SUZLON-EQ,26.0,26.92,25.7,26.22,39511449,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-03-15,SMD-0216,SUZLON,NSE:SUZLON-EQ,26.4,26.44,24.91,25.22,31328695,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-03-16,SMD-0216,SUZLON,NSE:SUZLON-EQ,25.43,26.13,24.21,24.73,30443203,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-03-19,SMD-0216,SUZLON,NSE:SUZLON-EQ,24.82,25.08,23.77,23.9,17948922,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-03-20,SMD-0216,SUZLON,NSE:SUZLON-EQ,23.95,24.43,23.6,24.08,13340468,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-03-21,SMD-0216,SUZLON,NSE:SUZLON-EQ,24.08,25.61,23.82,25.48,25375404,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-03-22,SMD-0216,SUZLON,NSE:SUZLON-EQ,25.52,25.52,23.77,23.95,22541621,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-03-23,SMD-0216,SUZLON,NSE:SUZLON-EQ,24.04,24.87,23.6,24.47,19127591,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-03-26,SMD-0216,SUZLON,NSE:SUZLON-EQ,24.34,24.52,23.6,23.73,18760272,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-03-27,SMD-0216,SUZLON,NSE:SUZLON-EQ,24.3,24.43,23.77,23.99,17123661,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-03-28,SMD-0216,SUZLON,NSE:SUZLON-EQ,23.95,24.56,23.34,23.51,18424416,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-03-29,SMD-0216,SUZLON,NSE:SUZLON-EQ,23.42,23.42,22.72,22.81,18548789,FYERS_HISTORY,2026-08-08T23:55:36+05:30
2012-03-30,SMD-0216,SUZLON,NSE:SUZLON-EQ,23.07,23.34,21.76,22.07,34452615,FYERS_HISTORY,2026-08-08T23:55:36+05:30
