trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2010-12-29,SMD-0221,TATACONSUM,NSE:TATACONSUM-EQ,109.09,109.44,107.66,108.06,779362,FYERS_HISTORY,2026-08-08T23:56:09+05:30
2010-12-30,SMD-0221,TATACONSUM,NSE:TATACONSUM-EQ,109.14,109.54,105.29,105.93,2487871,FYERS_HISTORY,2026-08-08T23:56:09+05:30
2010-12-31,SMD-0221,TATACONSUM,NSE:TATACONSUM-EQ,107.17,107.61,105.79,106.77,1242613,FYERS_HISTORY,2026-08-08T23:56:09+05:30
2011-01-03,SMD-0221,TATACONSUM,NSE:TATACONSUM-EQ,107.66,110.62,106.82,110.13,1364840,FYERS_HISTORY,2026-08-08T23:56:09+05:30
2011-01-04,SMD-0221,TATACONSUM,NSE:TATACONSUM-EQ,110.53,112.8,110.23,111.71,1629740,FYERS_HISTORY,2026-08-08T23:56:09+05:30
2011-01-05,SMD-0221,TATACONSUM,NSE:TATACONSUM-EQ,111.86,112.5,109.83,110.92,703921,FYERS_HISTORY,2026-08-08T23:56:09+05:30
2011-01-06,SMD-0221,TATACONSUM,NSE:TATACONSUM-EQ,111.51,112.01,108.75,109.64,791651,FYERS_HISTORY,2026-08-08T23:56:09+05:30
2011-01-07,SMD-0221,TATACONSUM,NSE:TATACONSUM-EQ,110.72,111.61,105.79,106.97,1327324,FYERS_HISTORY,2026-08-08T23:56:09+05:30
2011-01-10,SMD-0221,TATACONSUM,NSE:TATACONSUM-EQ,107.37,107.37,102.33,102.97,992763,FYERS_HISTORY,2026-08-08T23:56:09+05:30
2011-01-11,SMD-0221,TATACONSUM,NSE:TATACONSUM-EQ,103.27,104.6,99.81,100.65,967096,FYERS_HISTORY,2026-08-08T23:56:09+05:30
2011-01-12,SMD-0221,TATACONSUM,NSE:TATACONSUM-EQ,101.44,102.92,99.76,102.48,433119,FYERS_HISTORY,2026-08-08T23:56:09+05:30
2011-01-13,SMD-0221,TATACONSUM,NSE:TATACONSUM-EQ,102.53,103.22,101.44,101.98,404727,FYERS_HISTORY,2026-08-08T23:56:09+05:30
2011-01-14,SMD-0221,TATACONSUM,NSE:TATACONSUM-EQ,103.81,108.35,101.54,103.12,1890762,FYERS_HISTORY,2026-08-08T23:56:09+05:30
2011-01-17,SMD-0221,TATACONSUM,NSE:TATACONSUM-EQ,104.01,106.92,101.39,103.61,2498219,FYERS_HISTORY,2026-08-08T23:56:09+05:30
2011-01-18,SMD-0221,TATACONSUM,NSE:TATACONSUM-EQ,104.5,105.59,102.92,103.46,379687,FYERS_HISTORY,2026-08-08T23:56:09+05:30
2011-01-19,SMD-0221,TATACONSUM,NSE:TATACONSUM-EQ,103.76,105.59,102.82,103.66,668827,FYERS_HISTORY,2026-08-08T23:56:09+05:30
2011-01-20,SMD-0221,TATACONSUM,NSE:TATACONSUM-EQ,103.81,107.76,102.92,105.19,996694,FYERS_HISTORY,2026-08-08T23:56:09+05:30
2011-01-21,SMD-0221,TATACONSUM,NSE:TATACONSUM-EQ,104.7,106.13,103.86,104.35,516329,FYERS_HISTORY,2026-08-08T23:56:09+05:30
2011-01-24,SMD-0221,TATACONSUM,NSE:TATACONSUM-EQ,103.32,105.44,103.32,104.95,256154,FYERS_HISTORY,2026-08-08T23:56:09+05:30
2011-01-25,SMD-0221,TATACONSUM,NSE:TATACONSUM-EQ,105.69,106.08,104.75,104.9,623764,FYERS_HISTORY,2026-08-08T23:56:09+05:30
