trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2005-12-30,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,102.48,104.0,101.78,102.4,18421,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-01-02,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,103.45,104.5,100.35,100.83,46176,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-01-03,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,102.33,103.5,102.0,103.13,25008,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-01-04,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,103.9,108.75,102.8,108.45,155335,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-01-05,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,109.25,110.5,106.63,107.2,63653,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-01-06,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,107.8,108.0,105.5,106.98,24545,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-01-09,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,107.93,107.93,106.53,107.15,15187,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-01-10,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,108.45,109.95,105.53,106.15,27868,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-01-12,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,105.5,107.5,104.78,105.43,18488,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-01-13,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,106.0,107.23,104.5,104.95,14999,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-01-16,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,105.7,105.85,103.0,103.33,19368,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-01-17,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,103.75,104.75,101.83,102.53,17415,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-01-18,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,101.25,102.75,100.0,101.35,13030,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-01-19,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,103.45,104.25,102.0,103.65,11219,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-01-20,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,104.95,105.9,102.75,103.38,24136,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-01-23,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,103.5,103.5,101.5,101.85,8745,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-01-24,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,102.95,103.55,101.0,101.7,16556,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-01-25,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,102.5,102.85,99.0,99.38,43439,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-01-27,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,99.93,100.75,97.5,98.1,47109,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-01-30,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,99.0,100.0,93.75,95.08,56957,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-01-31,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,97.45,97.45,91.58,94.9,49268,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-02-01,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,95.0,95.8,93.55,94.15,22873,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-02-02,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,93.58,94.9,92.55,92.83,17244,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-02-03,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,92.5,92.5,91.0,91.43,21355,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-02-06,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,91.83,97.0,91.18,94.53,68077,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-02-07,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,95.4,97.0,93.65,94.3,25887,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-02-08,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,94.5,96.68,93.0,95.93,20844,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-02-10,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,96.88,100.28,95.55,99.9,63859,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-02-13,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,100.5,105.0,100.3,102.68,72854,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-02-14,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,103.0,103.0,97.5,98.1,22779,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-02-15,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,99.85,100.35,96.5,96.73,16534,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-02-16,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,96.8,97.75,96.13,96.6,7538,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-02-17,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,97.4,97.4,95.0,95.48,11194,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-02-20,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,97.48,97.48,93.03,94.43,12768,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-02-21,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,95.0,95.75,93.5,93.75,12855,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-02-22,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,94.9,94.9,93.75,94.55,12502,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-02-23,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,94.5,95.0,93.5,93.78,9495,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-02-24,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,94.65,94.65,92.75,93.3,9297,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-02-27,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,94.0,95.4,94.0,94.85,13094,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-02-28,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,96.35,97.5,94.05,96.8,119881,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-03-01,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,91.35,97.75,91.35,96.45,40138,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-03-02,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,97.4,99.0,96.7,98.48,20860,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-03-03,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,98.48,101.93,97.5,99.43,72793,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-03-06,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,99.5,101.0,97.5,98.03,17033,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-03-07,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,98.03,98.03,96.53,97.03,9738,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-03-08,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,97.23,97.23,95.55,96.43,14674,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-03-09,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,96.0,96.9,93.03,94.93,49311,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-03-10,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,96.95,96.95,94.1,94.6,15211,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-03-13,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,96.38,97.43,95.0,95.53,16249,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-03-14,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,96.4,96.4,94.0,95.08,10183,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-03-16,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,96.4,96.4,93.5,94.05,15997,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-03-17,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,94.98,95.75,93.53,94.63,168960,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-03-20,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,95.78,96.98,95.0,95.5,16882,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-03-21,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,96.2,97.4,94.15,94.88,17530,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-03-22,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,95.75,96.35,93.85,94.48,15394,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-03-23,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,94.0,96.5,93.75,94.73,45777,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-03-24,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,95.03,95.45,93.63,94.1,13796,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-03-27,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,95.38,96.5,95.0,95.73,26198,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-03-28,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,96.75,97.25,95.05,96.45,38953,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-03-29,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,95.0,100.25,95.0,98.35,66396,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-03-30,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,99.5,101.5,95.53,97.03,33843,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-03-31,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,97.08,98.9,96.03,96.6,21686,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-04-03,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,97.48,99.5,96.55,98.43,19570,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-04-04,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,99.5,109.95,97.5,105.83,240844,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-04-05,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,107.75,110.85,106.05,107.2,96528,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-04-07,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,108.63,108.63,100.35,100.7,67260,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-04-10,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,101.0,102.9,100.0,101.3,40004,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-04-12,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,102.0,102.43,98.0,98.23,35047,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-04-13,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,98.0,98.5,94.0,95.2,29631,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-04-17,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,97.15,97.83,95.58,96.63,23204,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-04-18,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,98.0,109.0,97.63,106.43,328229,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-04-19,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,107.7,108.5,101.15,101.65,72576,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-04-20,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,103.2,103.2,101.15,101.88,37590,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-04-21,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,103.93,104.25,97.5,98.88,83493,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-04-24,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,100.53,106.8,100.5,102.6,153728,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-04-25,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,103.65,105.5,101.05,101.78,116504,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-04-26,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,102.0,111.7,102.0,110.55,242538,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-04-27,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,110.55,115.0,110.55,113.48,230389,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-04-28,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,107.63,123.2,105.0,117.85,221983,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-04-29,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,120.0,124.23,119.3,122.83,79338,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-05-02,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,125.28,130.95,125.0,127.48,254230,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-05-03,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,127.65,130.85,122.2,122.68,82232,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-05-04,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,122.75,126.0,118.05,119.35,61978,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-05-05,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,121.4,124.7,118.5,120.4,84554,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-05-08,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,122.4,123.5,119.5,120.53,38928,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-05-09,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,120.5,121.0,117.5,118.98,22127,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-05-10,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,120.4,120.75,116.63,119.35,36633,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-05-11,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,118.78,125.25,117.5,121.25,40387,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-05-12,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,118.75,121.55,118.5,121.05,41919,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-05-15,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,119.5,122.45,113.0,114.48,47651,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-05-16,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,113.18,116.45,107.5,111.75,38314,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-05-17,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,115.5,118.85,112.8,118.03,37494,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-05-18,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,114.0,115.85,107.55,108.73,37670,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-05-19,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,114.0,114.0,100.0,101.53,31325,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-05-22,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,100.0,103.5,87.5,94.35,36271,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-05-23,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,94.05,107.5,93.0,103.8,29278,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-05-24,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,110.0,110.0,99.0,102.23,51249,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-05-25,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,101.75,107.9,96.05,103.7,29287,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-05-26,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,107.95,107.95,101.5,102.43,31887,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-05-29,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,102.5,105.75,102.5,103.75,10518,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-05-30,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,104.48,105.85,102.58,103.83,11128,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-05-31,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,100.63,101.35,94.58,97.43,29355,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-06-01,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,100.75,101.0,96.05,96.73,19309,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-06-02,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,96.0,100.7,90.0,98.95,26668,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-06-05,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,91.28,98.95,91.28,97.68,12707,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-06-06,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,95.0,96.0,92.5,93.48,44100,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-06-07,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,93.15,94.0,90.0,91.63,45446,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-06-08,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,89.0,90.0,76.4,78.3,129304,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-06-09,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,79.0,88.5,79.0,83.05,98756,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-06-12,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,84.25,84.25,80.25,81.75,41510,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-06-13,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,80.0,82.0,73.75,76.08,52361,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-06-14,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,77.5,80.5,75.03,75.75,29423,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-06-15,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,78.35,81.45,76.25,79.63,47968,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-06-16,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,82.55,87.6,82.5,85.28,106333,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-06-19,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,80.0,87.88,80.0,86.83,26209,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-06-20,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,91.0,92.95,84.0,91.08,28397,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-06-21,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,89.5,97.5,89.5,96.03,36099,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-06-22,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,98.9,99.75,93.5,95.05,70615,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-06-23,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,95.0,95.0,92.08,93.35,17281,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-06-25,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,93.98,94.45,92.63,93.4,1645,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-06-26,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,93.5,94.35,86.75,87.73,14274,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-06-27,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,87.5,90.0,85.2,88.45,14840,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-06-28,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,85.55,87.38,85.0,85.38,17981,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-06-29,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,88.0,90.0,85.5,86.83,26110,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-06-30,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,89.95,92.45,89.05,90.33,34818,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-07-03,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,92.0,94.0,90.53,91.25,23380,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-07-04,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,91.15,92.48,89.3,89.9,15078,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-07-05,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,89.9,90.0,88.78,89.13,19541,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-07-06,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,88.9,90.5,88.5,88.68,16027,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-07-07,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,89.95,90.0,86.55,87.0,16563,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-07-10,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,88.25,88.98,86.5,87.55,44679,FYERS_HISTORY,2026-08-08T23:56:21+05:30
2006-07-11,SMD-0222,TATAELXSI,NSE:TATAELXSI-EQ,87.5,87.73,86.75,87.03,29673,FYERS_HISTORY,2026-08-08T23:56:21+05:30
