trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2024-12-26,SMD-0225,TATASTEEL,NSE:TATASTEEL-EQ,140.95,141.15,139.51,140.36,23939932,FYERS_HISTORY,2026-08-08T23:56:57+05:30
2024-12-27,SMD-0225,TATASTEEL,NSE:TATASTEEL-EQ,140.7,141.75,138.61,138.91,19562177,FYERS_HISTORY,2026-08-08T23:56:57+05:30
2024-12-30,SMD-0225,TATASTEEL,NSE:TATASTEEL-EQ,138.91,139.25,136.09,136.88,32555723,FYERS_HISTORY,2026-08-08T23:56:57+05:30
2024-12-31,SMD-0225,TATASTEEL,NSE:TATASTEEL-EQ,136.87,138.68,136.56,138.05,20080291,FYERS_HISTORY,2026-08-08T23:56:57+05:30
2025-01-01,SMD-0225,TATASTEEL,NSE:TATASTEEL-EQ,138.1,138.45,136.58,136.74,18169498,FYERS_HISTORY,2026-08-08T23:56:57+05:30
2025-01-02,SMD-0225,TATASTEEL,NSE:TATASTEEL-EQ,137.0,138.45,136.4,138.18,23388424,FYERS_HISTORY,2026-08-08T23:56:57+05:30
2025-01-03,SMD-0225,TATASTEEL,NSE:TATASTEEL-EQ,138.18,139.73,137.84,138.36,23351832,FYERS_HISTORY,2026-08-08T23:56:57+05:30
2025-01-06,SMD-0225,TATASTEEL,NSE:TATASTEEL-EQ,138.36,138.39,131.35,132.18,44620509,FYERS_HISTORY,2026-08-08T23:56:57+05:30
2025-01-07,SMD-0225,TATASTEEL,NSE:TATASTEEL-EQ,132.78,133.88,132.01,133.38,24239451,FYERS_HISTORY,2026-08-08T23:56:57+05:30
2025-01-08,SMD-0225,TATASTEEL,NSE:TATASTEEL-EQ,133.93,134.24,131.77,132.64,31570331,FYERS_HISTORY,2026-08-08T23:56:57+05:30
2025-01-09,SMD-0225,TATASTEEL,NSE:TATASTEEL-EQ,132.0,132.4,129.7,129.93,31903107,FYERS_HISTORY,2026-08-08T23:56:57+05:30
2025-01-10,SMD-0225,TATASTEEL,NSE:TATASTEEL-EQ,129.93,130.39,126.7,127.43,34855510,FYERS_HISTORY,2026-08-08T23:56:57+05:30
2025-01-13,SMD-0225,TATASTEEL,NSE:TATASTEEL-EQ,126.0,126.5,122.62,122.93,38968332,FYERS_HISTORY,2026-08-08T23:56:57+05:30
2025-01-14,SMD-0225,TATASTEEL,NSE:TATASTEEL-EQ,122.94,127.64,122.94,126.93,36877365,FYERS_HISTORY,2026-08-08T23:56:57+05:30
2025-01-15,SMD-0225,TATASTEEL,NSE:TATASTEEL-EQ,128.0,128.31,125.78,126.53,18773125,FYERS_HISTORY,2026-08-08T23:56:57+05:30
2025-01-16,SMD-0225,TATASTEEL,NSE:TATASTEEL-EQ,128.0,128.47,126.56,127.81,22164393,FYERS_HISTORY,2026-08-08T23:56:57+05:30
2025-01-17,SMD-0225,TATASTEEL,NSE:TATASTEEL-EQ,127.9,131.16,127.64,130.28,27421959,FYERS_HISTORY,2026-08-08T23:56:57+05:30
2025-01-20,SMD-0225,TATASTEEL,NSE:TATASTEEL-EQ,130.99,132.1,128.91,131.66,20571916,FYERS_HISTORY,2026-08-08T23:56:57+05:30
2025-01-21,SMD-0225,TATASTEEL,NSE:TATASTEEL-EQ,132.06,132.4,129.25,129.7,32238213,FYERS_HISTORY,2026-08-08T23:56:57+05:30
2025-01-22,SMD-0225,TATASTEEL,NSE:TATASTEEL-EQ,130.25,130.35,127.12,128.92,27505569,FYERS_HISTORY,2026-08-08T23:56:57+05:30
2025-01-23,SMD-0225,TATASTEEL,NSE:TATASTEEL-EQ,127.85,130.75,127.7,130.37,20722538,FYERS_HISTORY,2026-08-08T23:56:57+05:30
2025-01-24,SMD-0225,TATASTEEL,NSE:TATASTEEL-EQ,130.5,133.2,129.31,129.74,37092106,FYERS_HISTORY,2026-08-08T23:56:57+05:30
2025-01-27,SMD-0225,TATASTEEL,NSE:TATASTEEL-EQ,129.02,129.45,125.74,126.37,24650571,FYERS_HISTORY,2026-08-08T23:56:57+05:30
2025-01-28,SMD-0225,TATASTEEL,NSE:TATASTEEL-EQ,126.37,130.49,124.74,128.62,40373804,FYERS_HISTORY,2026-08-08T23:56:57+05:30
2025-01-29,SMD-0225,TATASTEEL,NSE:TATASTEEL-EQ,129.0,131.34,128.55,130.8,16674706,FYERS_HISTORY,2026-08-08T23:56:57+05:30
2025-01-30,SMD-0225,TATASTEEL,NSE:TATASTEEL-EQ,130.8,132.15,130.1,131.12,25256096,FYERS_HISTORY,2026-08-08T23:56:57+05:30
2025-01-31,SMD-0225,TATASTEEL,NSE:TATASTEEL-EQ,131.12,135.0,129.93,134.62,26689228,FYERS_HISTORY,2026-08-08T23:56:57+05:30
2025-02-01,SMD-0225,TATASTEEL,NSE:TATASTEEL-EQ,135.0,135.5,130.25,132.97,21173846,FYERS_HISTORY,2026-08-08T23:56:57+05:30
2025-02-03,SMD-0225,TATASTEEL,NSE:TATASTEEL-EQ,131.29,132.51,127.81,131.82,27765357,FYERS_HISTORY,2026-08-08T23:56:57+05:30
2025-02-04,SMD-0225,TATASTEEL,NSE:TATASTEEL-EQ,132.8,134.34,131.87,133.42,25032519,FYERS_HISTORY,2026-08-08T23:56:57+05:30
2025-02-05,SMD-0225,TATASTEEL,NSE:TATASTEEL-EQ,133.15,135.39,133.08,134.4,16958362,FYERS_HISTORY,2026-08-08T23:56:57+05:30
2025-02-06,SMD-0225,TATASTEEL,NSE:TATASTEEL-EQ,134.5,134.87,132.02,132.54,22408168,FYERS_HISTORY,2026-08-08T23:56:57+05:30
2025-02-07,SMD-0225,TATASTEEL,NSE:TATASTEEL-EQ,133.3,138.75,132.56,138.31,52950146,FYERS_HISTORY,2026-08-08T23:56:57+05:30
2025-02-10,SMD-0225,TATASTEEL,NSE:TATASTEEL-EQ,138.1,138.1,133.0,134.04,26120805,FYERS_HISTORY,2026-08-08T23:56:57+05:30
2025-02-11,SMD-0225,TATASTEEL,NSE:TATASTEEL-EQ,133.0,134.34,129.7,130.11,23635428,FYERS_HISTORY,2026-08-08T23:56:57+05:30
2025-02-12,SMD-0225,TATASTEEL,NSE:TATASTEEL-EQ,129.35,133.29,128.31,132.28,37927696,FYERS_HISTORY,2026-08-08T23:56:57+05:30
2025-02-13,SMD-0225,TATASTEEL,NSE:TATASTEEL-EQ,132.28,137.69,131.86,136.25,52036196,FYERS_HISTORY,2026-08-08T23:56:57+05:30
2025-02-14,SMD-0225,TATASTEEL,NSE:TATASTEEL-EQ,136.25,139.25,133.33,134.47,41469242,FYERS_HISTORY,2026-08-08T23:56:57+05:30
2025-02-17,SMD-0225,TATASTEEL,NSE:TATASTEEL-EQ,132.91,134.8,130.73,134.29,21189637,FYERS_HISTORY,2026-08-08T23:56:57+05:30
