trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2014-12-29,SMD-0227,TCS,NSE:TCS-EQ,1254.0,1268.47,1253.5,1261.45,194730,FYERS_HISTORY,2026-08-08T23:57:07+05:30
2014-12-30,SMD-0227,TCS,NSE:TCS-EQ,1262.5,1271.22,1258.0,1265.03,175336,FYERS_HISTORY,2026-08-08T23:57:07+05:30
2014-12-31,SMD-0227,TCS,NSE:TCS-EQ,1266.35,1283.2,1262.5,1279.12,393448,FYERS_HISTORY,2026-08-08T23:57:07+05:30
2015-01-01,SMD-0227,TCS,NSE:TCS-EQ,1283.5,1283.5,1270.5,1272.78,91708,FYERS_HISTORY,2026-08-08T23:57:07+05:30
2015-01-02,SMD-0227,TCS,NSE:TCS-EQ,1275.5,1295.47,1275.3,1289.72,231435,FYERS_HISTORY,2026-08-08T23:57:07+05:30
2015-01-05,SMD-0227,TCS,NSE:TCS-EQ,1290.5,1299.95,1262.32,1270.12,438561,FYERS_HISTORY,2026-08-08T23:57:07+05:30
2015-01-06,SMD-0227,TCS,NSE:TCS-EQ,1264.55,1264.55,1220.0,1223.3,605946,FYERS_HISTORY,2026-08-08T23:57:07+05:30
2015-01-07,SMD-0227,TCS,NSE:TCS-EQ,1235.0,1239.57,1203.72,1208.85,659083,FYERS_HISTORY,2026-08-08T23:57:07+05:30
2015-01-08,SMD-0227,TCS,NSE:TCS-EQ,1221.2,1224.5,1210.28,1221.9,391352,FYERS_HISTORY,2026-08-08T23:57:07+05:30
2015-01-09,SMD-0227,TCS,NSE:TCS-EQ,1227.5,1259.95,1225.0,1256.15,799411,FYERS_HISTORY,2026-08-08T23:57:07+05:30
2015-01-12,SMD-0227,TCS,NSE:TCS-EQ,1258.5,1264.0,1240.12,1254.85,399002,FYERS_HISTORY,2026-08-08T23:57:07+05:30
2015-01-13,SMD-0227,TCS,NSE:TCS-EQ,1260.0,1265.2,1240.05,1248.95,367108,FYERS_HISTORY,2026-08-08T23:57:07+05:30
2015-01-14,SMD-0227,TCS,NSE:TCS-EQ,1258.0,1265.9,1250.25,1260.97,446774,FYERS_HISTORY,2026-08-08T23:57:07+05:30
2015-01-15,SMD-0227,TCS,NSE:TCS-EQ,1266.5,1290.88,1261.62,1269.55,1252480,FYERS_HISTORY,2026-08-08T23:57:07+05:30
2015-01-16,SMD-0227,TCS,NSE:TCS-EQ,1271.85,1272.5,1242.15,1266.07,1323458,FYERS_HISTORY,2026-08-08T23:57:07+05:30
2015-01-19,SMD-0227,TCS,NSE:TCS-EQ,1268.0,1275.5,1251.5,1255.5,283769,FYERS_HISTORY,2026-08-08T23:57:07+05:30
2015-01-20,SMD-0227,TCS,NSE:TCS-EQ,1260.0,1265.0,1241.62,1250.22,514642,FYERS_HISTORY,2026-08-08T23:57:07+05:30
2015-01-21,SMD-0227,TCS,NSE:TCS-EQ,1261.0,1261.0,1244.12,1256.9,577620,FYERS_HISTORY,2026-08-08T23:57:07+05:30
2015-01-22,SMD-0227,TCS,NSE:TCS-EQ,1258.25,1260.62,1247.75,1256.78,528304,FYERS_HISTORY,2026-08-08T23:57:07+05:30
2015-01-23,SMD-0227,TCS,NSE:TCS-EQ,1257.0,1266.03,1248.05,1251.8,787595,FYERS_HISTORY,2026-08-08T23:57:07+05:30
2015-01-27,SMD-0227,TCS,NSE:TCS-EQ,1256.18,1257.5,1244.78,1251.03,684684,FYERS_HISTORY,2026-08-08T23:57:07+05:30
2015-01-28,SMD-0227,TCS,NSE:TCS-EQ,1251.5,1272.45,1251.45,1269.8,780495,FYERS_HISTORY,2026-08-08T23:57:07+05:30
2015-01-29,SMD-0227,TCS,NSE:TCS-EQ,1269.0,1284.35,1256.45,1272.32,933598,FYERS_HISTORY,2026-08-08T23:57:07+05:30
2015-01-30,SMD-0227,TCS,NSE:TCS-EQ,1280.35,1287.5,1235.0,1241.03,1454351,FYERS_HISTORY,2026-08-08T23:57:07+05:30
2015-02-02,SMD-0227,TCS,NSE:TCS-EQ,1241.0,1260.72,1231.03,1257.1,795451,FYERS_HISTORY,2026-08-08T23:57:07+05:30
2015-02-03,SMD-0227,TCS,NSE:TCS-EQ,1255.82,1282.5,1253.55,1279.12,586264,FYERS_HISTORY,2026-08-08T23:57:07+05:30
