trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2017-12-27,SMD-0227,TCS,NSE:TCS-EQ,1324.72,1329.25,1305.25,1309.95,184821,FYERS_HISTORY,2026-08-08T23:57:08+05:30
2017-12-28,SMD-0227,TCS,NSE:TCS-EQ,1304.4,1326.75,1302.82,1313.47,651272,FYERS_HISTORY,2026-08-08T23:57:08+05:30
2017-12-29,SMD-0227,TCS,NSE:TCS-EQ,1311.55,1354.45,1309.28,1350.6,652386,FYERS_HISTORY,2026-08-08T23:57:08+05:30
2018-01-01,SMD-0227,TCS,NSE:TCS-EQ,1341.15,1347.4,1317.5,1322.8,337940,FYERS_HISTORY,2026-08-08T23:57:08+05:30
2018-01-02,SMD-0227,TCS,NSE:TCS-EQ,1330.0,1334.8,1310.1,1315.6,1920290,FYERS_HISTORY,2026-08-08T23:57:08+05:30
2018-01-03,SMD-0227,TCS,NSE:TCS-EQ,1316.0,1334.5,1315.6,1319.32,314280,FYERS_HISTORY,2026-08-08T23:57:08+05:30
2018-01-04,SMD-0227,TCS,NSE:TCS-EQ,1325.0,1331.0,1320.0,1328.55,228271,FYERS_HISTORY,2026-08-08T23:57:08+05:30
2018-01-05,SMD-0227,TCS,NSE:TCS-EQ,1325.0,1349.75,1325.0,1344.6,288427,FYERS_HISTORY,2026-08-08T23:57:08+05:30
2018-01-08,SMD-0227,TCS,NSE:TCS-EQ,1350.0,1363.43,1340.93,1357.2,310555,FYERS_HISTORY,2026-08-08T23:57:08+05:30
2018-01-09,SMD-0227,TCS,NSE:TCS-EQ,1357.5,1360.5,1338.28,1354.5,537349,FYERS_HISTORY,2026-08-08T23:57:08+05:30
2018-01-10,SMD-0227,TCS,NSE:TCS-EQ,1355.5,1408.0,1347.32,1403.3,841463,FYERS_HISTORY,2026-08-08T23:57:08+05:30
2018-01-11,SMD-0227,TCS,NSE:TCS-EQ,1405.0,1410.95,1391.1,1395.25,630262,FYERS_HISTORY,2026-08-08T23:57:08+05:30
2018-01-12,SMD-0227,TCS,NSE:TCS-EQ,1402.5,1402.5,1370.28,1388.18,840079,FYERS_HISTORY,2026-08-08T23:57:08+05:30
2018-01-15,SMD-0227,TCS,NSE:TCS-EQ,1388.57,1404.0,1367.53,1373.05,364304,FYERS_HISTORY,2026-08-08T23:57:08+05:30
2018-01-16,SMD-0227,TCS,NSE:TCS-EQ,1378.0,1430.82,1375.28,1425.43,1066938,FYERS_HISTORY,2026-08-08T23:57:08+05:30
2018-01-17,SMD-0227,TCS,NSE:TCS-EQ,1435.0,1462.5,1431.07,1444.47,1070202,FYERS_HISTORY,2026-08-08T23:57:08+05:30
2018-01-18,SMD-0227,TCS,NSE:TCS-EQ,1448.5,1466.5,1434.03,1459.1,552370,FYERS_HISTORY,2026-08-08T23:57:08+05:30
2018-01-19,SMD-0227,TCS,NSE:TCS-EQ,1465.28,1491.0,1451.82,1479.65,455000,FYERS_HISTORY,2026-08-08T23:57:08+05:30
2018-01-22,SMD-0227,TCS,NSE:TCS-EQ,1480.5,1567.35,1461.0,1558.2,1091778,FYERS_HISTORY,2026-08-08T23:57:08+05:30
2018-01-23,SMD-0227,TCS,NSE:TCS-EQ,1557.47,1571.18,1545.03,1551.0,809903,FYERS_HISTORY,2026-08-08T23:57:08+05:30
2018-01-24,SMD-0227,TCS,NSE:TCS-EQ,1545.0,1629.53,1541.32,1587.3,1405385,FYERS_HISTORY,2026-08-08T23:57:08+05:30
2018-01-25,SMD-0227,TCS,NSE:TCS-EQ,1587.5,1589.9,1540.5,1560.53,958461,FYERS_HISTORY,2026-08-08T23:57:08+05:30
