trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2007-01-02,SMD-0228,TECHM,NSE:TECHM-EQ,420.8,429.0,416.25,417.34,1185016,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-01-03,SMD-0228,TECHM,NSE:TECHM-EQ,418.5,421.51,414.13,416.03,561813,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-01-04,SMD-0228,TECHM,NSE:TECHM-EQ,418.25,426.25,408.75,410.41,1025123,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-01-05,SMD-0228,TECHM,NSE:TECHM-EQ,411.88,419.75,408.83,410.8,644941,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-01-08,SMD-0228,TECHM,NSE:TECHM-EQ,415.0,428.5,412.5,419.49,1364835,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-01-09,SMD-0228,TECHM,NSE:TECHM-EQ,421.25,423.5,408.75,411.96,650197,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-01-10,SMD-0228,TECHM,NSE:TECHM-EQ,411.78,426.25,408.98,421.89,1186144,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-01-11,SMD-0228,TECHM,NSE:TECHM-EQ,425.25,448.43,418.5,444.83,2347849,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-01-12,SMD-0228,TECHM,NSE:TECHM-EQ,449.25,468.0,449.25,461.49,2056987,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-01-15,SMD-0228,TECHM,NSE:TECHM-EQ,474.5,474.5,462.59,466.9,764637,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-01-16,SMD-0228,TECHM,NSE:TECHM-EQ,470.0,471.68,447.58,450.91,885076,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-01-17,SMD-0228,TECHM,NSE:TECHM-EQ,461.1,499.75,452.5,495.2,4012626,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-01-18,SMD-0228,TECHM,NSE:TECHM-EQ,502.75,512.0,462.8,474.64,3523518,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-01-19,SMD-0228,TECHM,NSE:TECHM-EQ,481.28,485.0,441.33,444.15,3081277,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-01-22,SMD-0228,TECHM,NSE:TECHM-EQ,447.0,456.25,431.28,440.54,2515675,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-01-23,SMD-0228,TECHM,NSE:TECHM-EQ,440.54,449.73,433.74,436.85,1379622,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-01-24,SMD-0228,TECHM,NSE:TECHM-EQ,472.5,472.5,437.81,442.85,695625,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-01-25,SMD-0228,TECHM,NSE:TECHM-EQ,445.0,457.5,444.5,448.25,1271675,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-01-29,SMD-0228,TECHM,NSE:TECHM-EQ,452.5,452.74,436.41,437.99,616651,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-01-31,SMD-0228,TECHM,NSE:TECHM-EQ,443.66,445.0,432.68,435.79,575434,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-02-01,SMD-0228,TECHM,NSE:TECHM-EQ,437.5,451.25,435.0,448.43,916013,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-02-02,SMD-0228,TECHM,NSE:TECHM-EQ,451.25,456.0,445.88,448.46,677566,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-02-05,SMD-0228,TECHM,NSE:TECHM-EQ,448.75,449.25,440.13,441.46,345626,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-02-06,SMD-0228,TECHM,NSE:TECHM-EQ,442.5,460.98,440.55,448.71,1223480,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-02-07,SMD-0228,TECHM,NSE:TECHM-EQ,452.0,455.48,444.5,446.21,523525,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-02-08,SMD-0228,TECHM,NSE:TECHM-EQ,448.75,452.25,441.28,443.2,379467,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-02-09,SMD-0228,TECHM,NSE:TECHM-EQ,442.5,447.64,432.53,434.73,401103,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-02-12,SMD-0228,TECHM,NSE:TECHM-EQ,435.0,435.5,412.75,414.85,404303,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-02-13,SMD-0228,TECHM,NSE:TECHM-EQ,414.99,428.43,403.08,417.6,574558,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-02-14,SMD-0228,TECHM,NSE:TECHM-EQ,413.75,418.25,407.9,411.53,318984,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-02-15,SMD-0228,TECHM,NSE:TECHM-EQ,418.94,428.75,416.25,420.95,482523,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-02-19,SMD-0228,TECHM,NSE:TECHM-EQ,425.75,436.0,420.75,422.58,798187,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-02-20,SMD-0228,TECHM,NSE:TECHM-EQ,426.19,428.25,412.5,413.64,434835,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-02-21,SMD-0228,TECHM,NSE:TECHM-EQ,415.0,419.75,412.5,414.48,337149,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-02-22,SMD-0228,TECHM,NSE:TECHM-EQ,416.75,426.75,407.5,420.26,630566,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-02-23,SMD-0228,TECHM,NSE:TECHM-EQ,421.25,426.7,390.0,396.74,644482,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-02-26,SMD-0228,TECHM,NSE:TECHM-EQ,440.0,440.0,360.0,373.04,1313717,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-02-27,SMD-0228,TECHM,NSE:TECHM-EQ,369.68,387.0,367.75,374.24,1053832,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-02-28,SMD-0228,TECHM,NSE:TECHM-EQ,339.75,370.0,327.75,358.88,741271,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-03-01,SMD-0228,TECHM,NSE:TECHM-EQ,338.75,380.0,338.75,373.85,934486,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-03-02,SMD-0228,TECHM,NSE:TECHM-EQ,373.76,383.43,361.76,365.81,784867,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-03-05,SMD-0228,TECHM,NSE:TECHM-EQ,361.85,361.85,331.28,334.44,857272,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-03-06,SMD-0228,TECHM,NSE:TECHM-EQ,338.76,355.0,317.75,323.14,1540478,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-03-07,SMD-0228,TECHM,NSE:TECHM-EQ,328.75,336.6,315.75,325.74,1011842,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-03-08,SMD-0228,TECHM,NSE:TECHM-EQ,327.68,342.7,321.41,339.49,817807,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-03-09,SMD-0228,TECHM,NSE:TECHM-EQ,343.5,346.0,327.5,329.6,414273,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-03-12,SMD-0228,TECHM,NSE:TECHM-EQ,332.5,349.43,328.31,343.55,840521,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-03-13,SMD-0228,TECHM,NSE:TECHM-EQ,346.1,377.5,338.0,373.48,2143786,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-03-14,SMD-0228,TECHM,NSE:TECHM-EQ,362.5,368.75,352.75,359.11,1446767,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-03-15,SMD-0228,TECHM,NSE:TECHM-EQ,365.28,381.0,361.24,363.83,1021797,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-03-16,SMD-0228,TECHM,NSE:TECHM-EQ,365.0,370.0,352.83,359.36,649463,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-03-19,SMD-0228,TECHM,NSE:TECHM-EQ,362.5,368.75,359.25,362.06,506940,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-03-20,SMD-0228,TECHM,NSE:TECHM-EQ,364.73,369.68,356.33,359.7,366562,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-03-21,SMD-0228,TECHM,NSE:TECHM-EQ,361.25,366.13,357.5,361.03,362927,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-03-22,SMD-0228,TECHM,NSE:TECHM-EQ,366.53,374.75,366.34,370.44,592838,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-03-23,SMD-0228,TECHM,NSE:TECHM-EQ,372.5,373.63,366.38,368.86,310648,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-03-26,SMD-0228,TECHM,NSE:TECHM-EQ,370.5,375.68,366.25,367.81,373228,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-03-28,SMD-0228,TECHM,NSE:TECHM-EQ,367.5,367.5,356.0,357.69,247343,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-03-29,SMD-0228,TECHM,NSE:TECHM-EQ,360.01,360.75,355.0,357.5,188835,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-03-30,SMD-0228,TECHM,NSE:TECHM-EQ,360.0,365.5,354.51,356.78,257916,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-04-02,SMD-0228,TECHM,NSE:TECHM-EQ,350.0,350.5,332.25,335.25,304979,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-04-03,SMD-0228,TECHM,NSE:TECHM-EQ,338.75,340.5,332.76,335.71,297119,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-04-04,SMD-0228,TECHM,NSE:TECHM-EQ,341.0,346.25,338.75,342.98,343625,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-04-05,SMD-0228,TECHM,NSE:TECHM-EQ,345.05,348.75,338.8,344.0,170121,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-04-09,SMD-0228,TECHM,NSE:TECHM-EQ,346.25,357.18,346.25,353.73,356062,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-04-10,SMD-0228,TECHM,NSE:TECHM-EQ,355.0,357.25,345.75,349.75,225830,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-04-11,SMD-0228,TECHM,NSE:TECHM-EQ,352.5,354.5,347.75,349.18,132149,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-04-12,SMD-0228,TECHM,NSE:TECHM-EQ,346.25,357.0,342.99,351.99,416238,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-04-13,SMD-0228,TECHM,NSE:TECHM-EQ,356.0,376.94,355.0,373.63,971277,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-04-16,SMD-0228,TECHM,NSE:TECHM-EQ,378.75,388.83,377.75,380.43,490197,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-04-17,SMD-0228,TECHM,NSE:TECHM-EQ,382.5,383.5,359.5,363.56,598750,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-04-18,SMD-0228,TECHM,NSE:TECHM-EQ,365.0,377.65,365.0,369.94,311098,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-04-19,SMD-0228,TECHM,NSE:TECHM-EQ,362.5,380.98,352.5,377.28,602336,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-04-20,SMD-0228,TECHM,NSE:TECHM-EQ,382.5,388.75,377.98,380.0,532951,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-04-23,SMD-0228,TECHM,NSE:TECHM-EQ,384.1,385.73,373.26,375.3,292951,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-04-24,SMD-0228,TECHM,NSE:TECHM-EQ,362.83,385.75,356.56,379.43,429656,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-04-25,SMD-0228,TECHM,NSE:TECHM-EQ,382.5,382.5,373.13,375.65,162160,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-04-26,SMD-0228,TECHM,NSE:TECHM-EQ,379.68,385.25,373.75,377.38,325575,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-04-27,SMD-0228,TECHM,NSE:TECHM-EQ,378.93,378.96,368.0,369.1,166598,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-04-30,SMD-0228,TECHM,NSE:TECHM-EQ,372.5,402.49,367.5,397.35,1002056,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-05-03,SMD-0228,TECHM,NSE:TECHM-EQ,403.75,411.0,395.88,401.64,1024282,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-05-04,SMD-0228,TECHM,NSE:TECHM-EQ,402.5,418.13,396.28,412.23,1450498,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-05-07,SMD-0228,TECHM,NSE:TECHM-EQ,432.2,432.2,402.5,406.28,1187679,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-05-08,SMD-0228,TECHM,NSE:TECHM-EQ,400.0,406.75,386.0,389.53,1529237,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-05-09,SMD-0228,TECHM,NSE:TECHM-EQ,392.99,396.25,381.26,386.06,587788,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-05-10,SMD-0228,TECHM,NSE:TECHM-EQ,389.46,393.5,377.89,379.79,399422,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-05-11,SMD-0228,TECHM,NSE:TECHM-EQ,375.0,383.5,365.0,378.15,527203,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-05-14,SMD-0228,TECHM,NSE:TECHM-EQ,384.75,387.1,379.51,382.73,326960,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-05-15,SMD-0228,TECHM,NSE:TECHM-EQ,384.13,384.13,376.25,378.2,212667,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-05-16,SMD-0228,TECHM,NSE:TECHM-EQ,376.25,383.0,371.06,374.34,252762,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-05-17,SMD-0228,TECHM,NSE:TECHM-EQ,375.0,380.93,371.25,373.33,321037,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-05-18,SMD-0228,TECHM,NSE:TECHM-EQ,372.5,383.75,372.5,376.05,273307,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-05-21,SMD-0228,TECHM,NSE:TECHM-EQ,378.75,383.63,369.05,371.2,187988,FYERS_HISTORY,2026-08-08T23:57:18+05:30
2007-05-22,SMD-0228,TECHM,NSE:TECHM-EQ,368.75,375.0,366.5,370.69,214370,FYERS_HISTORY,2026-08-08T23:57:18+05:30
