trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2007-12-31,SMD-0228,TECHM,NSE:TECHM-EQ,288.0,293.75,260.0,282.73,92148,FYERS_HISTORY,2026-08-08T23:57:19+05:30
2008-01-01,SMD-0228,TECHM,NSE:TECHM-EQ,283.0,289.94,282.5,284.94,91404,FYERS_HISTORY,2026-08-08T23:57:19+05:30
2008-01-02,SMD-0228,TECHM,NSE:TECHM-EQ,285.0,287.21,275.5,280.99,74888,FYERS_HISTORY,2026-08-08T23:57:19+05:30
2008-01-03,SMD-0228,TECHM,NSE:TECHM-EQ,280.0,287.0,278.75,283.14,73821,FYERS_HISTORY,2026-08-08T23:57:19+05:30
2008-01-04,SMD-0228,TECHM,NSE:TECHM-EQ,283.25,286.75,277.5,280.0,85367,FYERS_HISTORY,2026-08-08T23:57:19+05:30
2008-01-07,SMD-0228,TECHM,NSE:TECHM-EQ,272.5,278.75,270.75,271.36,96169,FYERS_HISTORY,2026-08-08T23:57:19+05:30
2008-01-08,SMD-0228,TECHM,NSE:TECHM-EQ,276.25,280.0,265.65,275.99,109970,FYERS_HISTORY,2026-08-08T23:57:19+05:30
2008-01-09,SMD-0228,TECHM,NSE:TECHM-EQ,281.25,281.25,270.53,272.26,126593,FYERS_HISTORY,2026-08-08T23:57:19+05:30
2008-01-10,SMD-0228,TECHM,NSE:TECHM-EQ,271.3,278.75,259.5,261.38,77712,FYERS_HISTORY,2026-08-08T23:57:19+05:30
2008-01-11,SMD-0228,TECHM,NSE:TECHM-EQ,263.75,266.24,252.53,254.0,81122,FYERS_HISTORY,2026-08-08T23:57:19+05:30
2008-01-14,SMD-0228,TECHM,NSE:TECHM-EQ,260.0,260.0,247.25,248.83,61906,FYERS_HISTORY,2026-08-08T23:57:19+05:30
2008-01-15,SMD-0228,TECHM,NSE:TECHM-EQ,254.99,254.99,243.75,245.16,43664,FYERS_HISTORY,2026-08-08T23:57:19+05:30
2008-01-16,SMD-0228,TECHM,NSE:TECHM-EQ,238.78,248.63,237.78,240.71,70093,FYERS_HISTORY,2026-08-08T23:57:19+05:30
2008-01-17,SMD-0228,TECHM,NSE:TECHM-EQ,241.0,242.56,238.5,239.59,45524,FYERS_HISTORY,2026-08-08T23:57:19+05:30
2008-01-18,SMD-0228,TECHM,NSE:TECHM-EQ,239.25,239.99,224.25,226.68,58766,FYERS_HISTORY,2026-08-08T23:57:19+05:30
2008-01-21,SMD-0228,TECHM,NSE:TECHM-EQ,225.0,225.0,182.75,206.43,163033,FYERS_HISTORY,2026-08-08T23:57:19+05:30
2008-01-22,SMD-0228,TECHM,NSE:TECHM-EQ,181.65,207.5,143.75,176.56,177918,FYERS_HISTORY,2026-08-08T23:57:19+05:30
2008-01-23,SMD-0228,TECHM,NSE:TECHM-EQ,182.5,199.5,177.5,179.05,132156,FYERS_HISTORY,2026-08-08T23:57:19+05:30
2008-01-24,SMD-0228,TECHM,NSE:TECHM-EQ,190.0,193.73,170.0,171.53,114442,FYERS_HISTORY,2026-08-08T23:57:19+05:30
2008-01-25,SMD-0228,TECHM,NSE:TECHM-EQ,178.71,183.0,174.63,181.65,80763,FYERS_HISTORY,2026-08-08T23:57:19+05:30
