trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2008-12-29,SMD-0228,TECHM,NSE:TECHM-EQ,58.38,61.5,57.78,60.48,132637,FYERS_HISTORY,2026-08-08T23:57:19+05:30
2008-12-30,SMD-0228,TECHM,NSE:TECHM-EQ,61.0,63.25,60.83,62.09,68167,FYERS_HISTORY,2026-08-08T23:57:19+05:30
2008-12-31,SMD-0228,TECHM,NSE:TECHM-EQ,63.4,63.75,61.31,61.86,50267,FYERS_HISTORY,2026-08-08T23:57:19+05:30
2009-01-01,SMD-0228,TECHM,NSE:TECHM-EQ,61.86,66.48,61.86,65.31,109104,FYERS_HISTORY,2026-08-08T23:57:19+05:30
2009-01-02,SMD-0228,TECHM,NSE:TECHM-EQ,67.25,69.75,66.01,68.48,139279,FYERS_HISTORY,2026-08-08T23:57:19+05:30
2009-01-05,SMD-0228,TECHM,NSE:TECHM-EQ,69.48,72.25,69.48,70.98,189621,FYERS_HISTORY,2026-08-08T23:57:19+05:30
2009-01-06,SMD-0228,TECHM,NSE:TECHM-EQ,70.0,85.0,70.0,73.58,1171513,FYERS_HISTORY,2026-08-08T23:57:19+05:30
2009-01-07,SMD-0228,TECHM,NSE:TECHM-EQ,75.0,75.29,61.5,63.0,425970,FYERS_HISTORY,2026-08-08T23:57:19+05:30
2009-01-09,SMD-0228,TECHM,NSE:TECHM-EQ,62.5,65.95,58.75,62.46,169670,FYERS_HISTORY,2026-08-08T23:57:19+05:30
2009-01-12,SMD-0228,TECHM,NSE:TECHM-EQ,63.0,64.74,61.0,61.51,85398,FYERS_HISTORY,2026-08-08T23:57:19+05:30
2009-01-13,SMD-0228,TECHM,NSE:TECHM-EQ,62.23,62.23,57.53,58.35,153831,FYERS_HISTORY,2026-08-08T23:57:19+05:30
2009-01-14,SMD-0228,TECHM,NSE:TECHM-EQ,59.38,61.75,58.25,58.95,116473,FYERS_HISTORY,2026-08-08T23:57:19+05:30
2009-01-15,SMD-0228,TECHM,NSE:TECHM-EQ,57.0,62.5,52.76,60.41,163922,FYERS_HISTORY,2026-08-08T23:57:19+05:30
2009-01-16,SMD-0228,TECHM,NSE:TECHM-EQ,60.63,62.24,59.55,60.09,58424,FYERS_HISTORY,2026-08-08T23:57:19+05:30
2009-01-19,SMD-0228,TECHM,NSE:TECHM-EQ,61.98,61.98,59.0,59.95,31644,FYERS_HISTORY,2026-08-08T23:57:19+05:30
2009-01-20,SMD-0228,TECHM,NSE:TECHM-EQ,58.75,60.75,57.64,59.18,55519,FYERS_HISTORY,2026-08-08T23:57:19+05:30
2009-01-21,SMD-0228,TECHM,NSE:TECHM-EQ,57.88,60.23,56.03,56.68,52481,FYERS_HISTORY,2026-08-08T23:57:19+05:30
