trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2017-12-27,SMD-0228,TECHM,NSE:TECHM-EQ,494.5,505.4,491.25,503.0,2160870,FYERS_HISTORY,2026-08-08T23:57:24+05:30
2017-12-28,SMD-0228,TECHM,NSE:TECHM-EQ,503.25,508.0,494.65,497.05,1943344,FYERS_HISTORY,2026-08-08T23:57:24+05:30
2017-12-29,SMD-0228,TECHM,NSE:TECHM-EQ,499.8,505.0,495.65,504.05,1412805,FYERS_HISTORY,2026-08-08T23:57:24+05:30
2018-01-01,SMD-0228,TECHM,NSE:TECHM-EQ,501.1,508.7,500.05,503.1,1115837,FYERS_HISTORY,2026-08-08T23:57:24+05:30
2018-01-02,SMD-0228,TECHM,NSE:TECHM-EQ,503.5,515.0,503.5,513.95,2204383,FYERS_HISTORY,2026-08-08T23:57:24+05:30
2018-01-03,SMD-0228,TECHM,NSE:TECHM-EQ,516.1,525.0,515.7,519.45,2288877,FYERS_HISTORY,2026-08-08T23:57:24+05:30
2018-01-04,SMD-0228,TECHM,NSE:TECHM-EQ,519.5,525.0,514.0,522.55,1460097,FYERS_HISTORY,2026-08-08T23:57:24+05:30
2018-01-05,SMD-0228,TECHM,NSE:TECHM-EQ,521.0,527.0,514.85,525.45,1756809,FYERS_HISTORY,2026-08-08T23:57:24+05:30
2018-01-08,SMD-0228,TECHM,NSE:TECHM-EQ,520.7,542.85,520.7,536.3,2795379,FYERS_HISTORY,2026-08-08T23:57:24+05:30
2018-01-09,SMD-0228,TECHM,NSE:TECHM-EQ,540.0,540.0,529.0,533.85,1855191,FYERS_HISTORY,2026-08-08T23:57:24+05:30
2018-01-10,SMD-0228,TECHM,NSE:TECHM-EQ,535.0,544.0,533.8,542.1,2748547,FYERS_HISTORY,2026-08-08T23:57:24+05:30
2018-01-11,SMD-0228,TECHM,NSE:TECHM-EQ,544.0,555.85,542.7,551.7,3485390,FYERS_HISTORY,2026-08-08T23:57:24+05:30
2018-01-12,SMD-0228,TECHM,NSE:TECHM-EQ,550.0,554.5,548.0,550.75,2790912,FYERS_HISTORY,2026-08-08T23:57:24+05:30
2018-01-15,SMD-0228,TECHM,NSE:TECHM-EQ,550.95,554.9,542.35,543.75,1959669,FYERS_HISTORY,2026-08-08T23:57:24+05:30
2018-01-16,SMD-0228,TECHM,NSE:TECHM-EQ,548.0,563.0,547.3,557.65,4791310,FYERS_HISTORY,2026-08-08T23:57:24+05:30
2018-01-17,SMD-0228,TECHM,NSE:TECHM-EQ,559.95,564.55,553.15,554.9,1636201,FYERS_HISTORY,2026-08-08T23:57:24+05:30
2018-01-18,SMD-0228,TECHM,NSE:TECHM-EQ,560.0,560.0,550.25,552.65,2158972,FYERS_HISTORY,2026-08-08T23:57:24+05:30
2018-01-19,SMD-0228,TECHM,NSE:TECHM-EQ,553.0,558.5,547.05,552.9,1951962,FYERS_HISTORY,2026-08-08T23:57:24+05:30
2018-01-22,SMD-0228,TECHM,NSE:TECHM-EQ,550.0,572.4,549.7,569.5,4127554,FYERS_HISTORY,2026-08-08T23:57:24+05:30
2018-01-23,SMD-0228,TECHM,NSE:TECHM-EQ,569.15,590.7,564.2,588.25,4103152,FYERS_HISTORY,2026-08-08T23:57:24+05:30
2018-01-24,SMD-0228,TECHM,NSE:TECHM-EQ,584.15,612.45,584.15,603.15,6672393,FYERS_HISTORY,2026-08-08T23:57:24+05:30
2018-01-25,SMD-0228,TECHM,NSE:TECHM-EQ,604.5,613.45,588.1,598.45,5104213,FYERS_HISTORY,2026-08-08T23:57:24+05:30
2018-01-29,SMD-0228,TECHM,NSE:TECHM-EQ,599.05,608.7,595.45,604.8,3352495,FYERS_HISTORY,2026-08-08T23:57:24+05:30
2018-01-30,SMD-0228,TECHM,NSE:TECHM-EQ,600.0,611.25,593.2,602.95,6290644,FYERS_HISTORY,2026-08-08T23:57:24+05:30
2018-01-31,SMD-0228,TECHM,NSE:TECHM-EQ,602.8,626.2,597.0,612.65,7244068,FYERS_HISTORY,2026-08-08T23:57:24+05:30
2018-02-01,SMD-0228,TECHM,NSE:TECHM-EQ,612.55,619.5,607.05,611.05,2479739,FYERS_HISTORY,2026-08-08T23:57:24+05:30
2018-02-02,SMD-0228,TECHM,NSE:TECHM-EQ,604.3,622.5,599.05,619.45,3994302,FYERS_HISTORY,2026-08-08T23:57:24+05:30
2018-02-05,SMD-0228,TECHM,NSE:TECHM-EQ,609.9,631.2,609.4,629.05,3500770,FYERS_HISTORY,2026-08-08T23:57:24+05:30
2018-02-06,SMD-0228,TECHM,NSE:TECHM-EQ,601.0,621.2,601.0,606.7,3104038,FYERS_HISTORY,2026-08-08T23:57:24+05:30
2018-02-07,SMD-0228,TECHM,NSE:TECHM-EQ,611.8,617.3,596.95,603.1,3653165,FYERS_HISTORY,2026-08-08T23:57:24+05:30
2018-02-08,SMD-0228,TECHM,NSE:TECHM-EQ,610.0,622.0,594.95,608.25,2894969,FYERS_HISTORY,2026-08-08T23:57:24+05:30
2018-02-09,SMD-0228,TECHM,NSE:TECHM-EQ,601.0,603.0,589.4,595.25,3481551,FYERS_HISTORY,2026-08-08T23:57:24+05:30
2018-02-12,SMD-0228,TECHM,NSE:TECHM-EQ,598.0,604.9,586.15,590.35,2343988,FYERS_HISTORY,2026-08-08T23:57:24+05:30
2018-02-14,SMD-0228,TECHM,NSE:TECHM-EQ,588.5,614.6,588.5,611.5,5004415,FYERS_HISTORY,2026-08-08T23:57:24+05:30
