trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2024-12-26,SMD-0228,TECHM,NSE:TECHM-EQ,1707.1,1714.65,1690.65,1698.7,659638,FYERS_HISTORY,2026-08-08T23:57:27+05:30
2024-12-27,SMD-0228,TECHM,NSE:TECHM-EQ,1704.95,1716.5,1698.7,1711.65,647945,FYERS_HISTORY,2026-08-08T23:57:27+05:30
2024-12-30,SMD-0228,TECHM,NSE:TECHM-EQ,1715.0,1773.6,1693.8,1740.85,6781500,FYERS_HISTORY,2026-08-08T23:57:27+05:30
2024-12-31,SMD-0228,TECHM,NSE:TECHM-EQ,1729.0,1729.0,1682.45,1706.2,1459630,FYERS_HISTORY,2026-08-08T23:57:27+05:30
2025-01-01,SMD-0228,TECHM,NSE:TECHM-EQ,1700.6,1717.6,1691.25,1703.85,721479,FYERS_HISTORY,2026-08-08T23:57:27+05:30
2025-01-02,SMD-0228,TECHM,NSE:TECHM-EQ,1709.0,1735.7,1696.0,1726.95,1238954,FYERS_HISTORY,2026-08-08T23:57:27+05:30
2025-01-03,SMD-0228,TECHM,NSE:TECHM-EQ,1712.2,1729.85,1681.35,1689.45,2448088,FYERS_HISTORY,2026-08-08T23:57:27+05:30
2025-01-06,SMD-0228,TECHM,NSE:TECHM-EQ,1704.75,1711.3,1675.0,1686.3,945693,FYERS_HISTORY,2026-08-08T23:57:27+05:30
2025-01-07,SMD-0228,TECHM,NSE:TECHM-EQ,1693.0,1705.0,1661.5,1671.15,1305847,FYERS_HISTORY,2026-08-08T23:57:27+05:30
2025-01-08,SMD-0228,TECHM,NSE:TECHM-EQ,1667.95,1669.95,1634.0,1663.75,673344,FYERS_HISTORY,2026-08-08T23:57:27+05:30
2025-01-09,SMD-0228,TECHM,NSE:TECHM-EQ,1663.7,1669.5,1638.2,1642.8,774065,FYERS_HISTORY,2026-08-08T23:57:27+05:30
2025-01-10,SMD-0228,TECHM,NSE:TECHM-EQ,1653.1,1714.0,1636.3,1705.6,2208899,FYERS_HISTORY,2026-08-08T23:57:27+05:30
2025-01-13,SMD-0228,TECHM,NSE:TECHM-EQ,1698.05,1701.0,1649.9,1659.65,1401093,FYERS_HISTORY,2026-08-08T23:57:27+05:30
2025-01-14,SMD-0228,TECHM,NSE:TECHM-EQ,1669.9,1670.45,1621.3,1647.5,2480288,FYERS_HISTORY,2026-08-08T23:57:27+05:30
2025-01-15,SMD-0228,TECHM,NSE:TECHM-EQ,1658.0,1679.0,1650.15,1675.95,1079742,FYERS_HISTORY,2026-08-08T23:57:27+05:30
2025-01-16,SMD-0228,TECHM,NSE:TECHM-EQ,1695.0,1722.85,1670.95,1687.65,2334315,FYERS_HISTORY,2026-08-08T23:57:27+05:30
2025-01-17,SMD-0228,TECHM,NSE:TECHM-EQ,1684.75,1699.9,1650.4,1660.3,2502285,FYERS_HISTORY,2026-08-08T23:57:27+05:30
