trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2007-12-31,SMD-0232,TMPV,NSE:TMPV-EQ,86.41,86.53,85.13,86.16,823534,FYERS_HISTORY,2026-08-08T23:58:06+05:30
2008-01-01,SMD-0232,TMPV,NSE:TMPV-EQ,86.18,89.02,85.59,88.54,1325083,FYERS_HISTORY,2026-08-08T23:58:06+05:30
2008-01-02,SMD-0232,TMPV,NSE:TMPV-EQ,89.06,92.56,87.45,92.16,2033504,FYERS_HISTORY,2026-08-08T23:58:06+05:30
2008-01-03,SMD-0232,TMPV,NSE:TMPV-EQ,92.91,94.77,90.59,91.94,2027738,FYERS_HISTORY,2026-08-08T23:58:06+05:30
2008-01-04,SMD-0232,TMPV,NSE:TMPV-EQ,92.91,95.71,89.56,90.78,1776745,FYERS_HISTORY,2026-08-08T23:58:06+05:30
2008-01-07,SMD-0232,TMPV,NSE:TMPV-EQ,90.94,93.82,88.61,91.22,1457640,FYERS_HISTORY,2026-08-08T23:58:06+05:30
2008-01-08,SMD-0232,TMPV,NSE:TMPV-EQ,91.75,92.85,88.89,89.99,1407617,FYERS_HISTORY,2026-08-08T23:58:06+05:30
2008-01-09,SMD-0232,TMPV,NSE:TMPV-EQ,89.08,91.4,87.57,89.45,1160319,FYERS_HISTORY,2026-08-08T23:58:06+05:30
2008-01-10,SMD-0232,TMPV,NSE:TMPV-EQ,90.94,93.15,86.42,87.01,3382646,FYERS_HISTORY,2026-08-08T23:58:06+05:30
2008-01-11,SMD-0232,TMPV,NSE:TMPV-EQ,90.58,90.58,85.5,88.62,1284579,FYERS_HISTORY,2026-08-08T23:58:06+05:30
2008-01-14,SMD-0232,TMPV,NSE:TMPV-EQ,88.84,90.53,88.14,88.92,977468,FYERS_HISTORY,2026-08-08T23:58:06+05:30
2008-01-15,SMD-0232,TMPV,NSE:TMPV-EQ,90.32,91.75,88.11,89.31,1232319,FYERS_HISTORY,2026-08-08T23:58:06+05:30
2008-01-16,SMD-0232,TMPV,NSE:TMPV-EQ,87.1,87.68,84.82,87.1,1204742,FYERS_HISTORY,2026-08-08T23:58:06+05:30
2008-01-17,SMD-0232,TMPV,NSE:TMPV-EQ,87.1,87.68,84.82,85.55,879267,FYERS_HISTORY,2026-08-08T23:58:06+05:30
2008-01-18,SMD-0232,TMPV,NSE:TMPV-EQ,85.55,85.68,82.03,82.96,783241,FYERS_HISTORY,2026-08-08T23:58:06+05:30
2008-01-21,SMD-0232,TMPV,NSE:TMPV-EQ,82.92,83.16,74.0,75.92,1254800,FYERS_HISTORY,2026-08-08T23:58:06+05:30
2008-01-22,SMD-0232,TMPV,NSE:TMPV-EQ,73.75,80.14,61.61,75.59,1418976,FYERS_HISTORY,2026-08-08T23:58:06+05:30
2008-01-23,SMD-0232,TMPV,NSE:TMPV-EQ,78.98,82.46,74.21,76.52,1051545,FYERS_HISTORY,2026-08-08T23:58:06+05:30
2008-01-24,SMD-0232,TMPV,NSE:TMPV-EQ,78.16,80.53,74.91,76.48,1152704,FYERS_HISTORY,2026-08-08T23:58:06+05:30
2008-01-25,SMD-0232,TMPV,NSE:TMPV-EQ,77.48,83.39,77.47,82.51,1218813,FYERS_HISTORY,2026-08-08T23:58:06+05:30
2008-01-28,SMD-0232,TMPV,NSE:TMPV-EQ,81.88,85.91,77.81,82.78,620145,FYERS_HISTORY,2026-08-08T23:58:06+05:30
2008-01-29,SMD-0232,TMPV,NSE:TMPV-EQ,83.63,85.65,81.41,83.13,507027,FYERS_HISTORY,2026-08-08T23:58:06+05:30
2008-01-30,SMD-0232,TMPV,NSE:TMPV-EQ,84.07,84.07,79.7,80.95,653612,FYERS_HISTORY,2026-08-08T23:58:06+05:30
2008-01-31,SMD-0232,TMPV,NSE:TMPV-EQ,82.35,83.62,79.74,81.24,1435453,FYERS_HISTORY,2026-08-08T23:58:06+05:30
2008-02-01,SMD-0232,TMPV,NSE:TMPV-EQ,82.22,88.27,81.99,87.51,1416266,FYERS_HISTORY,2026-08-08T23:58:06+05:30
2008-02-04,SMD-0232,TMPV,NSE:TMPV-EQ,88.85,91.5,87.57,89.43,1225673,FYERS_HISTORY,2026-08-08T23:58:06+05:30
2008-02-05,SMD-0232,TMPV,NSE:TMPV-EQ,89.43,89.89,86.53,87.57,876988,FYERS_HISTORY,2026-08-08T23:58:06+05:30
2008-02-06,SMD-0232,TMPV,NSE:TMPV-EQ,85.24,86.29,81.6,85.47,647497,FYERS_HISTORY,2026-08-08T23:58:06+05:30
2008-02-07,SMD-0232,TMPV,NSE:TMPV-EQ,85.95,86.98,81.07,83.05,528624,FYERS_HISTORY,2026-08-08T23:58:06+05:30
2008-02-08,SMD-0232,TMPV,NSE:TMPV-EQ,83.27,84.78,80.96,82.57,287893,FYERS_HISTORY,2026-08-08T23:58:06+05:30
2008-02-11,SMD-0232,TMPV,NSE:TMPV-EQ,82.15,84.06,79.56,81.39,563497,FYERS_HISTORY,2026-08-08T23:58:06+05:30
2008-02-12,SMD-0232,TMPV,NSE:TMPV-EQ,81.39,82.5,79.98,80.59,535366,FYERS_HISTORY,2026-08-08T23:58:06+05:30
2008-02-13,SMD-0232,TMPV,NSE:TMPV-EQ,81.3,83.61,81.3,83.02,565686,FYERS_HISTORY,2026-08-08T23:58:06+05:30
