trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2000-01-03,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,39.5,39.51,38.32,39.32,57800,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-01-04,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,37.19,37.5,36.17,37.07,54800,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-01-05,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,35.63,36.55,34.38,35.64,35000,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-01-06,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,34.73,36.38,34.73,36.1,35600,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-01-07,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,35.44,37.0,34.71,36.7,37000,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-01-10,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,38.13,38.69,36.52,38.27,70000,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-01-11,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,37.0,38.13,35.21,36.17,120200,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-01-12,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,39.06,39.06,39.06,39.06,1100,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-01-13,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,42.18,42.18,42.18,42.18,2280,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-01-14,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,45.55,45.55,40.07,40.74,11470,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-01-17,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,40.63,41.88,40.01,40.38,5402,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-01-18,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,40.62,40.62,38.33,39.35,6538,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-01-19,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,39.08,40.25,38.44,39.38,4862,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-01-20,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,39.63,41.82,38.55,40.25,4902,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-01-21,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,39.83,40.5,39.13,40.22,4440,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-01-24,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,41.25,41.25,39.13,40.49,6908,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-01-25,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,42.44,43.73,41.88,43.73,10378,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-01-27,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,45.9,47.23,45.9,47.23,21724,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-01-28,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,50.0,51.01,48.75,49.17,52370,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-01-31,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,46.18,48.44,45.24,47.43,31226,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-02-01,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,49.07,49.94,45.32,45.64,23620,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-02-02,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,47.5,49.06,47.25,47.45,13844,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-02-03,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,47.5,47.5,45.65,45.95,6780,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-02-04,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,45.32,45.32,42.82,44.54,8036,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-02-07,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,44.88,46.69,42.71,43.14,9702,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-02-08,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,41.94,42.82,40.94,42.2,14872,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-02-09,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,43.38,43.38,38.83,38.83,7580,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-02-10,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,38.75,40.0,38.5,39.69,6320,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-02-11,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,40.94,40.94,37.82,38.02,7334,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-02-14,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,36.25,36.25,34.98,35.17,8568,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-02-15,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,35.0,35.0,33.19,33.42,7464,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-02-16,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,35.44,35.44,31.94,32.85,4430,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-02-17,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,31.63,34.69,31.63,33.93,51806,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-02-18,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,34.63,34.69,31.25,31.47,22928,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-02-21,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,32.07,32.07,29.07,29.9,15862,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-02-22,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,29.38,29.69,28.13,28.54,17628,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-02-23,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,29.19,30.83,29.19,30.83,1090,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-02-24,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,31.88,33.29,31.88,33.29,5484,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-02-25,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,35.53,35.53,32.5,32.78,5970,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-02-28,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,32.5,34.06,31.25,33.22,6920,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-02-29,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,34.25,35.88,32.63,35.8,40508,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-03-01,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,35.63,37.38,32.94,35.17,14596,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-03-02,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,34.88,34.94,32.35,32.35,5384,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-03-03,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,31.25,31.25,29.77,29.77,2470,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-03-06,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,29.77,29.94,27.38,27.57,10262,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-03-07,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,27.0,27.0,25.5,26.27,8218,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-03-08,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,26.26,27.94,25.62,25.99,8298,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-03-09,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,25.94,25.94,24.38,24.39,4274,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-03-10,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,24.07,24.38,22.53,23.32,7046,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-03-13,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,24.87,24.94,21.71,24.34,9234,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-03-14,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,23.75,24.94,23.19,24.11,12490,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-03-15,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,25.63,26.04,25.63,26.04,4486,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-03-16,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,25.07,27.16,24.13,24.36,5412,FYERS_HISTORY,2026-08-08T23:58:15+05:30
2000-03-21,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,25.94,25.94,22.42,22.42,6518,FYERS_HISTORY,2026-08-08T23:58:15+05:30
