trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2001-01-01,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,10.32,10.99,10.13,10.88,3660,FYERS_HISTORY,2026-08-08T23:58:16+05:30
2001-01-02,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,10.75,10.94,10.63,10.65,2084,FYERS_HISTORY,2026-08-08T23:58:16+05:30
2001-01-03,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,10.94,11.13,10.88,10.96,2404,FYERS_HISTORY,2026-08-08T23:58:16+05:30
2001-01-04,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,11.32,11.32,10.95,11.07,560,FYERS_HISTORY,2026-08-08T23:58:16+05:30
2001-01-05,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,11.0,11.23,10.88,10.88,1922,FYERS_HISTORY,2026-08-08T23:58:16+05:30
2001-01-08,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,10.82,10.88,10.41,10.41,2762,FYERS_HISTORY,2026-08-08T23:58:16+05:30
2001-01-09,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,10.75,11.18,10.63,10.77,2800,FYERS_HISTORY,2026-08-08T23:58:16+05:30
2001-01-10,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,11.02,11.25,10.75,10.88,1020,FYERS_HISTORY,2026-08-08T23:58:16+05:30
2001-01-11,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,10.85,11.0,10.7,10.7,1290,FYERS_HISTORY,2026-08-08T23:58:16+05:30
2001-01-12,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,10.75,10.97,10.5,10.5,3460,FYERS_HISTORY,2026-08-08T23:58:16+05:30
2001-01-15,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,10.32,10.62,10.26,10.5,992,FYERS_HISTORY,2026-08-08T23:58:16+05:30
2001-01-16,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,10.5,10.5,10.32,10.38,2060,FYERS_HISTORY,2026-08-08T23:58:16+05:30
2001-01-17,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,10.75,10.75,10.38,10.44,2818,FYERS_HISTORY,2026-08-08T23:58:16+05:30
2001-01-18,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,10.5,10.63,10.5,10.63,530,FYERS_HISTORY,2026-08-08T23:58:16+05:30
2001-01-19,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,10.63,10.82,10.51,10.69,2580,FYERS_HISTORY,2026-08-08T23:58:16+05:30
2001-01-22,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,10.75,10.75,10.41,10.41,1824,FYERS_HISTORY,2026-08-08T23:58:16+05:30
2001-01-23,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,10.44,10.69,10.26,10.27,2926,FYERS_HISTORY,2026-08-08T23:58:16+05:30
2001-01-24,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,10.01,10.88,9.82,9.99,15700,FYERS_HISTORY,2026-08-08T23:58:16+05:30
2001-01-25,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,9.88,10.13,9.65,10.03,4498,FYERS_HISTORY,2026-08-08T23:58:16+05:30
2001-01-29,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,9.51,9.88,9.25,9.59,4218,FYERS_HISTORY,2026-08-08T23:58:16+05:30
2001-01-30,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,10.0,10.12,9.7,9.78,2230,FYERS_HISTORY,2026-08-08T23:58:16+05:30
2001-01-31,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,9.75,10.11,9.69,10.03,1000,FYERS_HISTORY,2026-08-08T23:58:16+05:30
2001-02-01,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,10.0,10.0,9.65,9.69,1440,FYERS_HISTORY,2026-08-08T23:58:16+05:30
2001-02-02,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,9.45,9.88,9.39,9.44,5888,FYERS_HISTORY,2026-08-08T23:58:16+05:30
2001-02-05,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,9.14,9.68,9.13,9.29,2680,FYERS_HISTORY,2026-08-08T23:58:16+05:30
2001-02-06,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,9.25,9.63,8.75,9.13,6762,FYERS_HISTORY,2026-08-08T23:58:16+05:30
2001-02-07,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,9.0,9.62,9.0,9.49,3770,FYERS_HISTORY,2026-08-08T23:58:16+05:30
2001-02-08,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,9.62,9.94,9.58,9.65,1596,FYERS_HISTORY,2026-08-08T23:58:16+05:30
2001-02-09,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,9.69,9.75,9.32,9.65,5716,FYERS_HISTORY,2026-08-08T23:58:16+05:30
2001-02-12,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,9.75,10.25,9.75,9.9,3992,FYERS_HISTORY,2026-08-08T23:58:16+05:30
2001-02-13,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,10.0,10.12,9.63,9.86,3240,FYERS_HISTORY,2026-08-08T23:58:16+05:30
2001-02-14,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,10.0,10.0,9.82,9.93,1490,FYERS_HISTORY,2026-08-08T23:58:16+05:30
2001-02-15,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,9.99,10.07,9.75,9.88,1642,FYERS_HISTORY,2026-08-08T23:58:16+05:30
2001-02-16,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,9.57,9.88,9.57,9.69,3120,FYERS_HISTORY,2026-08-08T23:58:16+05:30
2001-02-19,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,9.75,9.75,9.46,9.72,860,FYERS_HISTORY,2026-08-08T23:58:16+05:30
2001-02-20,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,9.69,9.82,9.65,9.79,3704,FYERS_HISTORY,2026-08-08T23:58:16+05:30
2001-02-21,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,9.19,9.69,9.14,9.69,896,FYERS_HISTORY,2026-08-08T23:58:16+05:30
2001-02-22,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,9.51,9.63,9.38,9.49,1750,FYERS_HISTORY,2026-08-08T23:58:16+05:30
2001-02-23,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,9.45,9.5,9.38,9.38,1812,FYERS_HISTORY,2026-08-08T23:58:16+05:30
2001-02-26,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,9.26,9.45,9.07,9.22,2708,FYERS_HISTORY,2026-08-08T23:58:16+05:30
2001-02-27,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,9.38,9.38,8.82,8.85,6060,FYERS_HISTORY,2026-08-08T23:58:16+05:30
2001-02-28,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,8.57,9.56,8.57,9.39,4800,FYERS_HISTORY,2026-08-08T23:58:16+05:30
2001-03-01,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,9.38,9.63,9.38,9.38,2770,FYERS_HISTORY,2026-08-08T23:58:16+05:30
2001-03-02,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,9.63,9.69,8.82,9.23,2090,FYERS_HISTORY,2026-08-08T23:58:16+05:30
