trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2022-12-26,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,1562.5,1577.75,1544.0,1569.65,471591,FYERS_HISTORY,2026-08-08T23:58:26+05:30
2022-12-27,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,1574.85,1585.0,1564.15,1581.65,91756,FYERS_HISTORY,2026-08-08T23:58:26+05:30
2022-12-28,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,1583.0,1583.45,1570.5,1575.3,418806,FYERS_HISTORY,2026-08-08T23:58:26+05:30
2022-12-29,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,1577.75,1582.95,1555.0,1561.45,485039,FYERS_HISTORY,2026-08-08T23:58:26+05:30
2022-12-30,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,1569.3,1569.7,1545.05,1550.6,326780,FYERS_HISTORY,2026-08-08T23:58:26+05:30
2023-01-02,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,1556.65,1556.65,1532.0,1548.8,68757,FYERS_HISTORY,2026-08-08T23:58:26+05:30
2023-01-03,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,1552.0,1559.95,1539.4,1544.75,449416,FYERS_HISTORY,2026-08-08T23:58:26+05:30
2023-01-04,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,1547.95,1560.0,1532.0,1548.0,115416,FYERS_HISTORY,2026-08-08T23:58:26+05:30
2023-01-05,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,1555.75,1564.25,1540.65,1561.25,59459,FYERS_HISTORY,2026-08-08T23:58:26+05:30
2023-01-06,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,1563.25,1567.6,1541.85,1546.5,130207,FYERS_HISTORY,2026-08-08T23:58:26+05:30
2023-01-09,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,1548.5,1575.0,1544.1,1561.5,120962,FYERS_HISTORY,2026-08-08T23:58:26+05:30
2023-01-10,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,1563.5,1570.9,1547.6,1565.35,125847,FYERS_HISTORY,2026-08-08T23:58:26+05:30
2023-01-11,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,1567.35,1568.75,1546.8,1551.95,78611,FYERS_HISTORY,2026-08-08T23:58:26+05:30
2023-01-12,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,1552.0,1558.95,1535.75,1546.5,90974,FYERS_HISTORY,2026-08-08T23:58:26+05:30
2023-01-13,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,1552.45,1555.2,1532.05,1550.8,139622,FYERS_HISTORY,2026-08-08T23:58:26+05:30
2023-01-16,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,1553.55,1575.0,1550.95,1570.25,48324,FYERS_HISTORY,2026-08-08T23:58:26+05:30
2023-01-17,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,1590.05,1594.95,1569.15,1585.55,227114,FYERS_HISTORY,2026-08-08T23:58:26+05:30
2023-01-18,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,1590.15,1620.0,1582.3,1617.6,120699,FYERS_HISTORY,2026-08-08T23:58:26+05:30
2023-01-19,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,1618.95,1632.35,1590.0,1600.1,92154,FYERS_HISTORY,2026-08-08T23:58:26+05:30
2023-01-20,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,1600.1,1600.55,1569.45,1582.05,221019,FYERS_HISTORY,2026-08-08T23:58:26+05:30
2023-01-23,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,1589.95,1610.8,1577.65,1597.6,179999,FYERS_HISTORY,2026-08-08T23:58:26+05:30
2023-01-24,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,1605.6,1607.6,1578.35,1584.65,127685,FYERS_HISTORY,2026-08-08T23:58:26+05:30
2023-01-25,SMD-0233,TORNTPHARM,NSE:TORNTPHARM-EQ,1585.7,1589.9,1548.55,1556.75,158709,FYERS_HISTORY,2026-08-08T23:58:26+05:30
