trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2011-12-29,SMD-0235,TRENT,NSE:TRENT-EQ,55.67,57.65,54.9,55.97,5646,FYERS_HISTORY,2026-08-08T23:58:34+05:30
2011-12-30,SMD-0235,TRENT,NSE:TRENT-EQ,56.53,57.32,55.43,56.71,39723,FYERS_HISTORY,2026-08-08T23:58:34+05:30
2012-01-02,SMD-0235,TRENT,NSE:TRENT-EQ,56.0,56.67,55.73,56.03,1287,FYERS_HISTORY,2026-08-08T23:58:34+05:30
2012-01-03,SMD-0235,TRENT,NSE:TRENT-EQ,57.27,57.67,56.33,56.74,3339,FYERS_HISTORY,2026-08-08T23:58:34+05:30
2012-01-04,SMD-0235,TRENT,NSE:TRENT-EQ,56.34,57.47,55.33,55.92,2369,FYERS_HISTORY,2026-08-08T23:58:34+05:30
2012-01-05,SMD-0235,TRENT,NSE:TRENT-EQ,55.99,56.53,55.11,55.45,4770,FYERS_HISTORY,2026-08-08T23:58:34+05:30
2012-01-06,SMD-0235,TRENT,NSE:TRENT-EQ,56.46,56.6,53.42,54.08,96569,FYERS_HISTORY,2026-08-08T23:58:34+05:30
2012-01-07,SMD-0235,TRENT,NSE:TRENT-EQ,55.98,56.4,54.2,56.21,23489,FYERS_HISTORY,2026-08-08T23:58:34+05:30
2012-01-09,SMD-0235,TRENT,NSE:TRENT-EQ,56.6,56.6,54.47,55.45,18843,FYERS_HISTORY,2026-08-08T23:58:34+05:30
2012-01-10,SMD-0235,TRENT,NSE:TRENT-EQ,55.6,56.93,55.21,55.56,14564,FYERS_HISTORY,2026-08-08T23:58:34+05:30
2012-01-11,SMD-0235,TRENT,NSE:TRENT-EQ,56.8,59.4,56.2,56.59,71913,FYERS_HISTORY,2026-08-08T23:58:34+05:30
2012-01-12,SMD-0235,TRENT,NSE:TRENT-EQ,55.8,56.91,53.75,55.68,8796,FYERS_HISTORY,2026-08-08T23:58:34+05:30
2012-01-13,SMD-0235,TRENT,NSE:TRENT-EQ,55.22,57.33,55.22,55.83,7931,FYERS_HISTORY,2026-08-08T23:58:34+05:30
2012-01-16,SMD-0235,TRENT,NSE:TRENT-EQ,56.0,56.53,54.47,55.35,8297,FYERS_HISTORY,2026-08-08T23:58:34+05:30
2012-01-17,SMD-0235,TRENT,NSE:TRENT-EQ,55.87,57.0,55.67,56.69,9173,FYERS_HISTORY,2026-08-08T23:58:34+05:30
2012-01-18,SMD-0235,TRENT,NSE:TRENT-EQ,56.67,57.87,55.4,55.89,7190,FYERS_HISTORY,2026-08-08T23:58:34+05:30
2012-01-19,SMD-0235,TRENT,NSE:TRENT-EQ,56.64,57.73,55.53,56.7,37662,FYERS_HISTORY,2026-08-08T23:58:34+05:30
2012-01-20,SMD-0235,TRENT,NSE:TRENT-EQ,57.2,57.64,55.67,55.96,10116,FYERS_HISTORY,2026-08-08T23:58:34+05:30
2012-01-23,SMD-0235,TRENT,NSE:TRENT-EQ,56.0,57.33,55.41,56.97,14901,FYERS_HISTORY,2026-08-08T23:58:34+05:30
2012-01-24,SMD-0235,TRENT,NSE:TRENT-EQ,56.14,60.21,56.13,59.37,39546,FYERS_HISTORY,2026-08-08T23:58:34+05:30
2012-01-25,SMD-0235,TRENT,NSE:TRENT-EQ,59.99,61.33,58.8,60.02,20585,FYERS_HISTORY,2026-08-08T23:58:34+05:30
2012-01-27,SMD-0235,TRENT,NSE:TRENT-EQ,58.34,60.73,58.07,58.83,8232,FYERS_HISTORY,2026-08-08T23:58:34+05:30
2012-01-30,SMD-0235,TRENT,NSE:TRENT-EQ,58.93,59.19,56.87,57.59,190247,FYERS_HISTORY,2026-08-08T23:58:34+05:30
2012-01-31,SMD-0235,TRENT,NSE:TRENT-EQ,58.07,58.71,57.6,58.4,4913,FYERS_HISTORY,2026-08-08T23:58:34+05:30
2012-02-01,SMD-0235,TRENT,NSE:TRENT-EQ,58.73,58.73,57.27,57.67,80642,FYERS_HISTORY,2026-08-08T23:58:34+05:30
2012-02-02,SMD-0235,TRENT,NSE:TRENT-EQ,58.65,64.72,58.27,61.89,93689,FYERS_HISTORY,2026-08-08T23:58:34+05:30
2012-02-03,SMD-0235,TRENT,NSE:TRENT-EQ,62.33,64.4,61.73,62.82,52901,FYERS_HISTORY,2026-08-08T23:58:34+05:30
2012-02-06,SMD-0235,TRENT,NSE:TRENT-EQ,62.93,63.8,61.0,61.96,29654,FYERS_HISTORY,2026-08-08T23:58:34+05:30
2012-02-07,SMD-0235,TRENT,NSE:TRENT-EQ,62.66,63.32,58.49,61.26,109466,FYERS_HISTORY,2026-08-08T23:58:34+05:30
2012-02-08,SMD-0235,TRENT,NSE:TRENT-EQ,62.67,62.67,58.73,59.35,25496,FYERS_HISTORY,2026-08-08T23:58:34+05:30
2012-02-09,SMD-0235,TRENT,NSE:TRENT-EQ,59.33,61.07,58.67,60.33,62025,FYERS_HISTORY,2026-08-08T23:58:34+05:30
2012-02-10,SMD-0235,TRENT,NSE:TRENT-EQ,61.13,62.0,60.2,61.15,23036,FYERS_HISTORY,2026-08-08T23:58:34+05:30
2012-02-13,SMD-0235,TRENT,NSE:TRENT-EQ,61.4,62.33,60.87,61.25,9956,FYERS_HISTORY,2026-08-08T23:58:34+05:30
2012-02-14,SMD-0235,TRENT,NSE:TRENT-EQ,60.6,64.0,60.28,62.7,14433,FYERS_HISTORY,2026-08-08T23:58:34+05:30
2012-02-15,SMD-0235,TRENT,NSE:TRENT-EQ,62.7,65.23,62.34,63.35,17604,FYERS_HISTORY,2026-08-08T23:58:34+05:30
2012-02-16,SMD-0235,TRENT,NSE:TRENT-EQ,62.8,64.0,60.6,61.01,66093,FYERS_HISTORY,2026-08-08T23:58:34+05:30
2012-02-17,SMD-0235,TRENT,NSE:TRENT-EQ,62.0,62.66,61.42,62.0,14778,FYERS_HISTORY,2026-08-08T23:58:34+05:30
2012-02-21,SMD-0235,TRENT,NSE:TRENT-EQ,62.33,62.87,62.01,62.69,12669,FYERS_HISTORY,2026-08-08T23:58:34+05:30
2012-02-22,SMD-0235,TRENT,NSE:TRENT-EQ,62.69,62.8,60.5,60.85,33585,FYERS_HISTORY,2026-08-08T23:58:34+05:30
2012-02-23,SMD-0235,TRENT,NSE:TRENT-EQ,61.93,62.2,60.33,60.99,7463,FYERS_HISTORY,2026-08-08T23:58:34+05:30
2012-02-24,SMD-0235,TRENT,NSE:TRENT-EQ,60.87,61.32,59.4,59.8,7188,FYERS_HISTORY,2026-08-08T23:58:34+05:30
2012-02-27,SMD-0235,TRENT,NSE:TRENT-EQ,59.07,59.87,58.34,58.9,9383,FYERS_HISTORY,2026-08-08T23:58:34+05:30
2012-02-28,SMD-0235,TRENT,NSE:TRENT-EQ,59.33,61.2,59.09,60.73,4146,FYERS_HISTORY,2026-08-08T23:58:34+05:30
2012-02-29,SMD-0235,TRENT,NSE:TRENT-EQ,60.17,63.87,60.17,63.15,53924,FYERS_HISTORY,2026-08-08T23:58:34+05:30
