trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2020-12-28,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,30.25,30.7,29.55,30.5,4892066,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2020-12-29,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,30.7,32.9,30.7,31.9,21805127,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2020-12-30,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,32.45,32.7,31.4,31.95,9694902,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2020-12-31,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,32.15,32.25,31.4,31.55,5722932,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-01-01,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,31.75,32.2,31.6,32.1,7888314,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-01-04,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,32.6,32.7,32.15,32.4,8265267,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-01-05,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,32.2,32.2,31.8,32.05,5789215,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-01-06,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,32.35,32.55,31.75,31.85,6726368,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-01-07,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,32.15,32.2,31.8,31.9,3617734,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-01-08,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,32.15,32.3,31.55,31.8,5371701,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-01-11,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,31.9,32.1,31.25,31.35,3954196,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-01-12,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,31.2,33.5,30.8,33.0,18635584,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-01-13,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,33.3,33.85,32.3,33.2,19044455,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-01-14,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,33.0,33.75,32.95,33.2,10758845,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-01-15,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,33.2,33.6,32.5,32.6,7652331,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-01-18,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,32.8,32.85,31.65,31.85,7137456,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-01-19,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,32.0,32.35,31.85,32.25,5091921,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-01-20,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,32.3,32.75,31.9,32.4,6877754,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-01-21,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,32.6,32.75,31.7,31.85,5127195,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-01-22,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,31.65,31.8,31.05,31.1,3799473,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-01-25,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,31.3,31.6,30.15,30.4,6960168,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-01-27,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,30.4,30.5,29.8,30.05,5405010,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-01-28,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,29.25,30.2,29.2,29.5,5402849,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-01-29,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,29.9,31.55,29.75,31.05,10458436,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-02-01,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,31.7,32.45,31.1,32.3,14589144,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-02-02,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,32.85,34.1,32.6,33.05,21319402,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-02-03,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,33.1,34.0,32.5,33.65,13633258,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-02-04,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,33.6,34.9,33.2,34.55,29593973,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-02-05,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,35.0,36.3,34.6,34.8,28208919,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-02-08,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,35.1,35.4,33.9,34.0,10724204,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-02-09,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,34.1,34.65,33.2,33.75,12277388,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-02-10,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,33.6,34.1,33.4,33.65,7365678,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-02-11,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,33.75,33.95,33.2,33.35,4448100,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-02-12,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,33.6,33.65,33.1,33.2,5970660,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-02-15,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,33.5,33.9,33.45,33.5,4427760,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-02-16,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,33.9,35.8,33.85,34.6,25511054,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-02-17,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,34.45,38.9,34.2,38.1,92510035,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-02-18,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,39.0,45.25,38.95,42.05,131622894,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-02-19,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,43.25,44.8,38.25,40.5,87411108,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-02-22,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,41.2,41.3,38.6,39.35,34109719,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-02-23,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,39.7,40.2,38.5,38.75,15295831,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-02-24,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,39.25,41.95,39.0,40.9,16721715,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-02-25,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,42.0,42.35,41.2,41.45,12861968,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-02-26,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,40.5,41.0,39.5,40.6,15119160,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-03-01,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,41.0,41.45,39.9,40.05,8184972,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-03-02,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,40.7,40.95,38.45,38.8,11101042,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-03-03,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,39.35,40.25,39.1,39.85,11721736,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-03-04,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,39.5,40.5,39.15,39.35,11929161,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-03-05,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,39.4,39.65,38.05,38.3,7786621,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-03-08,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,39.0,40.25,37.9,38.15,13043072,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-03-09,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,38.5,38.85,37.1,37.55,9191895,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-03-10,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,37.85,38.2,37.35,37.85,6086552,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-03-12,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,38.4,38.7,37.2,37.65,5457089,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-03-15,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,38.0,38.0,36.5,36.95,5749799,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-03-16,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,37.15,37.45,36.3,36.45,5224025,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-03-17,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,36.5,36.8,35.0,35.15,6167404,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-03-18,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,36.0,36.0,34.5,35.15,7160984,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-03-19,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,35.0,35.45,33.35,35.25,9732622,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-03-22,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,35.4,35.65,34.25,34.45,6092177,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-03-23,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,34.55,36.35,34.5,36.0,13824873,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-03-24,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,36.1,36.4,34.7,34.9,11543282,FYERS_HISTORY,2026-08-08T23:59:20+05:30
2021-03-25,SMD-0238,UNIONBANK,NSE:UNIONBANK-EQ,35.1,36.15,33.4,34.65,12629346,FYERS_HISTORY,2026-08-08T23:59:20+05:30
