trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2019-12-27,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,585.9,595.0,585.65,589.8,1143386,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2019-12-30,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,591.95,595.8,589.4,591.95,591123,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2019-12-31,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,597.0,605.0,595.0,599.55,2466194,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-01-01,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,601.0,602.7,595.8,596.9,372494,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-01-02,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,598.3,599.4,589.45,593.7,448857,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-01-03,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,591.5,593.0,580.1,583.05,1179798,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-01-06,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,581.25,582.9,567.4,568.4,1065809,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-01-07,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,571.5,573.65,562.45,564.3,952333,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-01-08,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,557.5,575.85,557.5,573.5,1489088,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-01-09,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,578.7,593.0,568.7,591.85,4138116,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-01-10,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,592.8,596.35,584.05,586.1,729791,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-01-13,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,588.0,592.2,579.8,583.55,768907,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-01-14,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,583.9,584.85,575.25,581.4,904799,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-01-15,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,581.5,581.95,574.55,578.1,1024184,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-01-16,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,580.0,589.25,577.65,585.05,922525,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-01-17,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,585.5,585.9,579.55,581.85,427043,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-01-20,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,583.0,587.1,575.85,578.1,1083383,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-01-21,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,578.1,580.5,570.2,578.2,1266923,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-01-22,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,581.2,590.75,576.65,588.7,1281675,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-01-23,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,588.9,590.7,580.2,582.35,1538990,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-01-24,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,582.35,584.0,575.25,578.1,861701,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-01-27,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,575.0,582.9,572.65,575.7,1598863,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-01-28,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,599.0,663.3,593.0,655.9,25848157,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-01-29,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,652.0,657.4,629.4,634.8,10611958,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-01-30,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,633.95,647.85,630.85,634.5,3678649,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-01-31,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,639.0,641.5,617.05,619.0,1646074,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-02-01,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,617.0,649.45,614.4,622.85,3158906,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-02-03,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,624.0,627.45,611.65,621.7,2345052,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-02-04,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,623.9,647.4,619.3,644.55,3522700,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-02-05,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,650.9,657.0,643.0,652.75,3425633,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-02-06,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,657.0,661.7,646.05,654.2,2117746,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-02-07,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,655.2,691.9,650.05,676.65,6916358,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-02-10,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,672.1,690.5,671.25,687.9,2604922,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-02-11,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,691.05,695.0,669.0,671.25,2519026,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-02-12,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,674.95,694.8,663.8,692.35,2496467,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-02-13,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,690.3,712.4,686.45,710.4,4769127,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-02-14,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,711.9,715.45,699.0,703.55,1477021,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-02-17,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,703.65,713.8,695.8,700.2,1275171,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-02-18,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,699.95,729.9,690.0,722.1,2267917,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-02-19,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,730.3,734.85,718.55,730.1,2695032,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-02-20,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,726.0,742.7,720.7,723.15,1945097,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-02-24,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,719.95,723.9,698.05,702.85,1852203,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-02-25,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,704.65,715.0,696.05,703.3,2090631,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-02-26,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,700.0,701.3,684.0,687.95,1913508,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-02-27,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,686.0,697.35,675.5,686.4,2800806,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-02-28,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,680.0,693.75,657.05,686.35,4245730,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-03-02,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,696.9,702.75,647.45,657.45,2311007,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-03-03,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,666.95,687.0,663.05,667.45,2133475,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-03-04,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,673.8,677.0,646.6,664.7,1628869,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-03-05,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,667.9,677.1,657.0,662.15,1377480,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-03-06,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,643.0,651.15,629.95,645.1,1588183,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-03-09,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,638.0,640.35,612.5,619.85,1337135,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-03-11,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,623.0,631.8,605.3,608.2,1471198,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-03-12,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,600.0,601.0,532.25,543.35,2858789,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-03-13,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,506.0,584.55,506.0,564.9,3091151,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-03-16,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,539.9,561.0,521.8,524.75,2210731,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-03-17,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,527.15,541.3,518.6,525.2,2243559,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-03-18,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,525.0,530.35,494.6,505.1,2109389,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-03-19,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,490.5,520.55,476.45,499.45,1726998,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-03-20,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,500.0,529.95,499.1,517.15,1771536,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-03-23,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,485.0,489.7,445.8,448.1,1548756,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-03-24,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,443.65,479.9,443.65,451.7,2198012,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-03-25,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,450.85,518.95,442.65,465.55,5317306,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-03-26,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,476.0,501.0,463.55,490.65,2963377,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-03-27,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,504.0,506.0,467.0,470.4,1360538,FYERS_HISTORY,2026-08-08T23:59:33+05:30
2020-03-30,SMD-0239,UNITDSPR,NSE:UNITDSPR-EQ,465.0,494.8,459.95,467.3,2142061,FYERS_HISTORY,2026-08-08T23:59:33+05:30
