trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2008-12-29,SMD-0240,UNOMINDA,NSE:UNOMINDA-EQ,2.93,2.97,2.89,2.9,368,FYERS_HISTORY,2026-08-08T23:59:44+05:30
2008-12-30,SMD-0240,UNOMINDA,NSE:UNOMINDA-EQ,2.77,2.87,2.77,2.82,440,FYERS_HISTORY,2026-08-08T23:59:44+05:30
2008-12-31,SMD-0240,UNOMINDA,NSE:UNOMINDA-EQ,2.93,2.97,2.73,2.96,1306,FYERS_HISTORY,2026-08-08T23:59:44+05:30
2009-01-01,SMD-0240,UNOMINDA,NSE:UNOMINDA-EQ,3.1,3.11,3.03,3.1,240,FYERS_HISTORY,2026-08-08T23:59:44+05:30
2009-01-02,SMD-0240,UNOMINDA,NSE:UNOMINDA-EQ,3.2,3.25,3.2,3.25,48,FYERS_HISTORY,2026-08-08T23:59:44+05:30
2009-01-05,SMD-0240,UNOMINDA,NSE:UNOMINDA-EQ,3.2,3.42,3.2,3.42,120,FYERS_HISTORY,2026-08-08T23:59:44+05:30
2009-01-06,SMD-0240,UNOMINDA,NSE:UNOMINDA-EQ,3.57,3.59,3.37,3.59,528,FYERS_HISTORY,2026-08-08T23:59:44+05:30
2009-01-07,SMD-0240,UNOMINDA,NSE:UNOMINDA-EQ,3.27,3.95,3.27,3.3,2388,FYERS_HISTORY,2026-08-08T23:59:44+05:30
2009-01-09,SMD-0240,UNOMINDA,NSE:UNOMINDA-EQ,3.3,3.33,3.3,3.33,66,FYERS_HISTORY,2026-08-08T23:59:44+05:30
2009-01-12,SMD-0240,UNOMINDA,NSE:UNOMINDA-EQ,3.01,3.1,3.01,3.1,366,FYERS_HISTORY,2026-08-08T23:59:44+05:30
2009-01-13,SMD-0240,UNOMINDA,NSE:UNOMINDA-EQ,3.33,3.41,3.28,3.28,912,FYERS_HISTORY,2026-08-08T23:59:44+05:30
2009-01-14,SMD-0240,UNOMINDA,NSE:UNOMINDA-EQ,2.96,3.33,2.96,3.2,112,FYERS_HISTORY,2026-08-08T23:59:44+05:30
2009-01-15,SMD-0240,UNOMINDA,NSE:UNOMINDA-EQ,3.0,3.33,3.0,3.17,8,FYERS_HISTORY,2026-08-08T23:59:44+05:30
2009-01-16,SMD-0240,UNOMINDA,NSE:UNOMINDA-EQ,2.9,3.23,2.9,3.23,4,FYERS_HISTORY,2026-08-08T23:59:44+05:30
2009-01-19,SMD-0240,UNOMINDA,NSE:UNOMINDA-EQ,3.3,3.3,3.17,3.28,142,FYERS_HISTORY,2026-08-08T23:59:44+05:30
2009-01-20,SMD-0240,UNOMINDA,NSE:UNOMINDA-EQ,3.02,3.04,3.02,3.04,8,FYERS_HISTORY,2026-08-08T23:59:44+05:30
2009-01-22,SMD-0240,UNOMINDA,NSE:UNOMINDA-EQ,2.92,3.23,2.87,2.89,770,FYERS_HISTORY,2026-08-08T23:59:44+05:30
2009-01-23,SMD-0240,UNOMINDA,NSE:UNOMINDA-EQ,2.68,3.15,2.68,3.15,18,FYERS_HISTORY,2026-08-08T23:59:44+05:30
2009-01-27,SMD-0240,UNOMINDA,NSE:UNOMINDA-EQ,3.0,3.0,3.0,3.0,12,FYERS_HISTORY,2026-08-08T23:59:44+05:30
2009-01-29,SMD-0240,UNOMINDA,NSE:UNOMINDA-EQ,3.07,3.13,2.93,3.08,80,FYERS_HISTORY,2026-08-08T23:59:44+05:30
2009-01-30,SMD-0240,UNOMINDA,NSE:UNOMINDA-EQ,3.03,3.26,2.9,3.2,268,FYERS_HISTORY,2026-08-08T23:59:44+05:30
2009-02-02,SMD-0240,UNOMINDA,NSE:UNOMINDA-EQ,3.0,3.15,2.9,3.15,114,FYERS_HISTORY,2026-08-08T23:59:44+05:30
2009-02-03,SMD-0240,UNOMINDA,NSE:UNOMINDA-EQ,3.0,3.15,3.0,3.15,152,FYERS_HISTORY,2026-08-08T23:59:44+05:30
2009-02-05,SMD-0240,UNOMINDA,NSE:UNOMINDA-EQ,3.2,3.2,2.88,2.88,66,FYERS_HISTORY,2026-08-08T23:59:44+05:30
2009-02-06,SMD-0240,UNOMINDA,NSE:UNOMINDA-EQ,2.9,3.0,2.9,3.0,16,FYERS_HISTORY,2026-08-08T23:59:44+05:30
