trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2002-12-31,SMD-0241,UPL,NSE:UPL-EQ,0.75,0.77,0.75,0.77,7770,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-01-01,SMD-0241,UPL,NSE:UPL-EQ,0.78,0.84,0.77,0.84,12770,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-01-02,SMD-0241,UPL,NSE:UPL-EQ,0.88,0.88,0.81,0.81,9499,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-01-03,SMD-0241,UPL,NSE:UPL-EQ,0.84,0.9,0.81,0.81,432,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-01-06,SMD-0241,UPL,NSE:UPL-EQ,0.8,0.82,0.8,0.81,2288,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-01-07,SMD-0241,UPL,NSE:UPL-EQ,0.79,0.8,0.77,0.77,1872,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-01-08,SMD-0241,UPL,NSE:UPL-EQ,0.75,0.77,0.74,0.77,1295,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-01-09,SMD-0241,UPL,NSE:UPL-EQ,0.8,0.8,0.75,0.75,3166,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-01-10,SMD-0241,UPL,NSE:UPL-EQ,0.78,0.78,0.77,0.77,6619,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-01-13,SMD-0241,UPL,NSE:UPL-EQ,0.77,0.77,0.77,0.77,6187,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-01-14,SMD-0241,UPL,NSE:UPL-EQ,0.77,0.79,0.77,0.77,1151,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-01-15,SMD-0241,UPL,NSE:UPL-EQ,0.77,0.77,0.77,0.77,2014,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-01-16,SMD-0241,UPL,NSE:UPL-EQ,0.78,0.78,0.75,0.75,3741,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-01-17,SMD-0241,UPL,NSE:UPL-EQ,0.8,0.8,0.75,0.75,5540,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-01-20,SMD-0241,UPL,NSE:UPL-EQ,0.77,0.77,0.75,0.76,5755,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-01-21,SMD-0241,UPL,NSE:UPL-EQ,0.77,0.77,0.76,0.76,2302,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-01-22,SMD-0241,UPL,NSE:UPL-EQ,0.76,0.77,0.75,0.76,4175,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-01-23,SMD-0241,UPL,NSE:UPL-EQ,0.75,0.77,0.75,0.77,13166,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-01-24,SMD-0241,UPL,NSE:UPL-EQ,0.77,0.82,0.74,0.74,20937,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-01-27,SMD-0241,UPL,NSE:UPL-EQ,0.74,0.77,0.74,0.74,1942,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-01-28,SMD-0241,UPL,NSE:UPL-EQ,0.74,0.77,0.74,0.77,6691,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-01-29,SMD-0241,UPL,NSE:UPL-EQ,0.77,0.77,0.76,0.76,3597,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-01-30,SMD-0241,UPL,NSE:UPL-EQ,0.74,0.74,0.74,0.74,1295,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-01-31,SMD-0241,UPL,NSE:UPL-EQ,0.77,0.8,0.75,0.76,4043,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-02-03,SMD-0241,UPL,NSE:UPL-EQ,0.79,0.79,0.72,0.77,1439,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-02-04,SMD-0241,UPL,NSE:UPL-EQ,0.73,0.73,0.72,0.72,3094,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-02-05,SMD-0241,UPL,NSE:UPL-EQ,0.72,0.75,0.72,0.75,8345,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-02-06,SMD-0241,UPL,NSE:UPL-EQ,0.78,0.78,0.74,0.75,2304,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-02-07,SMD-0241,UPL,NSE:UPL-EQ,0.72,0.72,0.7,0.72,3022,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-02-10,SMD-0241,UPL,NSE:UPL-EQ,0.71,0.71,0.71,0.71,756,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-02-11,SMD-0241,UPL,NSE:UPL-EQ,0.74,0.75,0.72,0.72,3597,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-02-12,SMD-0241,UPL,NSE:UPL-EQ,0.71,0.75,0.71,0.72,4483,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-02-14,SMD-0241,UPL,NSE:UPL-EQ,0.74,0.74,0.7,0.7,9525,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-02-17,SMD-0241,UPL,NSE:UPL-EQ,0.72,0.72,0.71,0.72,2158,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-02-18,SMD-0241,UPL,NSE:UPL-EQ,0.72,0.72,0.71,0.71,2662,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-02-19,SMD-0241,UPL,NSE:UPL-EQ,0.75,0.75,0.7,0.7,1439,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-02-20,SMD-0241,UPL,NSE:UPL-EQ,0.7,0.7,0.68,0.7,730,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-02-21,SMD-0241,UPL,NSE:UPL-EQ,0.68,0.72,0.68,0.72,1871,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-02-25,SMD-0241,UPL,NSE:UPL-EQ,0.68,0.7,0.68,0.68,1655,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-02-26,SMD-0241,UPL,NSE:UPL-EQ,0.67,0.67,0.67,0.67,144,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-02-27,SMD-0241,UPL,NSE:UPL-EQ,0.71,0.71,0.67,0.68,1151,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-02-28,SMD-0241,UPL,NSE:UPL-EQ,0.74,0.74,0.68,0.69,2590,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-03-03,SMD-0241,UPL,NSE:UPL-EQ,0.68,0.68,0.67,0.67,11511,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-03-04,SMD-0241,UPL,NSE:UPL-EQ,0.65,0.65,0.64,0.64,6020,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-03-05,SMD-0241,UPL,NSE:UPL-EQ,0.61,0.64,0.61,0.61,2126,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-03-06,SMD-0241,UPL,NSE:UPL-EQ,0.61,0.61,0.61,0.61,288,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-03-07,SMD-0241,UPL,NSE:UPL-EQ,0.58,0.58,0.58,0.58,1007,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-03-10,SMD-0241,UPL,NSE:UPL-EQ,0.59,0.59,0.58,0.58,1727,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-03-11,SMD-0241,UPL,NSE:UPL-EQ,0.6,0.64,0.6,0.64,5755,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-03-12,SMD-0241,UPL,NSE:UPL-EQ,0.63,0.7,0.63,0.65,39166,FYERS_HISTORY,2026-08-08T23:59:54+05:30
2003-03-13,SMD-0241,UPL,NSE:UPL-EQ,0.64,0.67,0.61,0.66,13010,FYERS_HISTORY,2026-08-08T23:59:54+05:30
