trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2016-12-27,SMD-0242,VBL,NSE:VBL-EQ,21.16,21.93,20.91,21.64,336915,FYERS_HISTORY,2026-08-09T00:00:19+05:30
2016-12-28,SMD-0242,VBL,NSE:VBL-EQ,21.53,21.99,21.4,21.77,473130,FYERS_HISTORY,2026-08-09T00:00:19+05:30
2016-12-29,SMD-0242,VBL,NSE:VBL-EQ,21.77,22.28,21.51,22.17,349315,FYERS_HISTORY,2026-08-09T00:00:19+05:30
2016-12-30,SMD-0242,VBL,NSE:VBL-EQ,22.33,22.79,22.22,22.55,259935,FYERS_HISTORY,2026-08-09T00:00:19+05:30
2017-01-02,SMD-0242,VBL,NSE:VBL-EQ,22.87,23.7,22.58,23.66,251710,FYERS_HISTORY,2026-08-09T00:00:19+05:30
2017-01-03,SMD-0242,VBL,NSE:VBL-EQ,24.36,24.86,24.18,24.33,1051015,FYERS_HISTORY,2026-08-09T00:00:19+05:30
2017-01-04,SMD-0242,VBL,NSE:VBL-EQ,24.71,24.77,24.0,24.6,488095,FYERS_HISTORY,2026-08-09T00:00:19+05:30
2017-01-05,SMD-0242,VBL,NSE:VBL-EQ,24.68,24.88,24.36,24.76,457150,FYERS_HISTORY,2026-08-09T00:00:19+05:30
2017-01-06,SMD-0242,VBL,NSE:VBL-EQ,24.76,24.81,24.3,24.47,309145,FYERS_HISTORY,2026-08-09T00:00:19+05:30
2017-01-09,SMD-0242,VBL,NSE:VBL-EQ,24.48,24.89,24.18,24.74,396565,FYERS_HISTORY,2026-08-09T00:00:19+05:30
2017-01-10,SMD-0242,VBL,NSE:VBL-EQ,24.43,24.83,24.43,24.73,168405,FYERS_HISTORY,2026-08-09T00:00:19+05:30
2017-01-11,SMD-0242,VBL,NSE:VBL-EQ,24.76,24.77,24.41,24.49,416340,FYERS_HISTORY,2026-08-09T00:00:19+05:30
2017-01-12,SMD-0242,VBL,NSE:VBL-EQ,24.48,24.71,24.48,24.56,229965,FYERS_HISTORY,2026-08-09T00:00:19+05:30
2017-01-13,SMD-0242,VBL,NSE:VBL-EQ,24.34,24.89,24.34,24.73,452140,FYERS_HISTORY,2026-08-09T00:00:19+05:30
2017-01-16,SMD-0242,VBL,NSE:VBL-EQ,24.41,24.79,24.41,24.54,198115,FYERS_HISTORY,2026-08-09T00:00:19+05:30
2017-01-17,SMD-0242,VBL,NSE:VBL-EQ,24.74,24.74,24.3,24.41,175905,FYERS_HISTORY,2026-08-09T00:00:19+05:30
2017-01-18,SMD-0242,VBL,NSE:VBL-EQ,24.6,24.63,24.09,24.2,1273255,FYERS_HISTORY,2026-08-09T00:00:19+05:30
2017-01-19,SMD-0242,VBL,NSE:VBL-EQ,24.39,24.44,24.23,24.35,221290,FYERS_HISTORY,2026-08-09T00:00:19+05:30
2017-01-20,SMD-0242,VBL,NSE:VBL-EQ,24.37,24.37,23.82,23.98,201015,FYERS_HISTORY,2026-08-09T00:00:19+05:30
2017-01-23,SMD-0242,VBL,NSE:VBL-EQ,24.0,24.19,23.48,23.51,109350,FYERS_HISTORY,2026-08-09T00:00:19+05:30
2017-01-24,SMD-0242,VBL,NSE:VBL-EQ,23.41,24.11,23.41,23.99,178965,FYERS_HISTORY,2026-08-09T00:00:19+05:30
2017-01-25,SMD-0242,VBL,NSE:VBL-EQ,23.75,24.27,23.59,23.99,218050,FYERS_HISTORY,2026-08-09T00:00:19+05:30
2017-01-27,SMD-0242,VBL,NSE:VBL-EQ,23.71,23.88,23.2,23.63,462510,FYERS_HISTORY,2026-08-09T00:00:19+05:30
2017-01-30,SMD-0242,VBL,NSE:VBL-EQ,23.63,23.76,23.41,23.72,426100,FYERS_HISTORY,2026-08-09T00:00:19+05:30
2017-01-31,SMD-0242,VBL,NSE:VBL-EQ,23.47,23.64,23.35,23.56,137335,FYERS_HISTORY,2026-08-09T00:00:19+05:30
2017-02-01,SMD-0242,VBL,NSE:VBL-EQ,23.56,23.82,23.35,23.61,138910,FYERS_HISTORY,2026-08-09T00:00:19+05:30
2017-02-02,SMD-0242,VBL,NSE:VBL-EQ,23.5,24.0,23.47,23.52,89440,FYERS_HISTORY,2026-08-09T00:00:19+05:30
2017-02-03,SMD-0242,VBL,NSE:VBL-EQ,23.17,23.69,23.11,23.34,792960,FYERS_HISTORY,2026-08-09T00:00:19+05:30
2017-02-06,SMD-0242,VBL,NSE:VBL-EQ,23.58,24.0,23.29,23.9,565380,FYERS_HISTORY,2026-08-09T00:00:19+05:30
2017-02-07,SMD-0242,VBL,NSE:VBL-EQ,23.67,24.02,23.67,23.97,1235250,FYERS_HISTORY,2026-08-09T00:00:19+05:30
2017-02-08,SMD-0242,VBL,NSE:VBL-EQ,23.7,24.0,23.6,23.94,380430,FYERS_HISTORY,2026-08-09T00:00:19+05:30
2017-02-09,SMD-0242,VBL,NSE:VBL-EQ,23.8,23.94,23.64,23.93,375900,FYERS_HISTORY,2026-08-09T00:00:19+05:30
2017-02-10,SMD-0242,VBL,NSE:VBL-EQ,23.86,23.92,23.59,23.84,129735,FYERS_HISTORY,2026-08-09T00:00:19+05:30
2017-02-13,SMD-0242,VBL,NSE:VBL-EQ,23.65,23.96,23.65,23.94,419040,FYERS_HISTORY,2026-08-09T00:00:19+05:30
2017-02-14,SMD-0242,VBL,NSE:VBL-EQ,23.76,23.85,23.61,23.76,133065,FYERS_HISTORY,2026-08-09T00:00:19+05:30
2017-02-15,SMD-0242,VBL,NSE:VBL-EQ,23.92,23.94,23.59,23.91,443400,FYERS_HISTORY,2026-08-09T00:00:19+05:30
2017-02-16,SMD-0242,VBL,NSE:VBL-EQ,23.97,23.97,23.23,23.78,2598720,FYERS_HISTORY,2026-08-09T00:00:19+05:30
2017-02-17,SMD-0242,VBL,NSE:VBL-EQ,23.7,23.94,23.7,23.88,224205,FYERS_HISTORY,2026-08-09T00:00:19+05:30
