trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2002-12-31,SMD-0243,VEDL,NSE:VEDL-EQ,0.66,0.67,0.64,0.64,23293,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-01-01,SMD-0243,VEDL,NSE:VEDL-EQ,0.66,0.66,0.65,0.65,18276,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-01-02,SMD-0243,VEDL,NSE:VEDL-EQ,0.65,0.66,0.64,0.64,17671,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-01-03,SMD-0243,VEDL,NSE:VEDL-EQ,0.66,0.66,0.63,0.63,21141,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-01-06,SMD-0243,VEDL,NSE:VEDL-EQ,0.64,0.64,0.63,0.63,7720,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-01-07,SMD-0243,VEDL,NSE:VEDL-EQ,0.64,0.64,0.63,0.63,18586,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-01-08,SMD-0243,VEDL,NSE:VEDL-EQ,0.63,0.64,0.63,0.64,11131,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-01-09,SMD-0243,VEDL,NSE:VEDL-EQ,0.64,0.64,0.63,0.64,8752,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-01-10,SMD-0243,VEDL,NSE:VEDL-EQ,0.64,0.64,0.63,0.63,19781,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-01-13,SMD-0243,VEDL,NSE:VEDL-EQ,0.63,0.63,0.62,0.62,12393,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-01-14,SMD-0243,VEDL,NSE:VEDL-EQ,0.62,0.63,0.62,0.63,10056,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-01-15,SMD-0243,VEDL,NSE:VEDL-EQ,0.64,0.64,0.63,0.63,16189,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-01-16,SMD-0243,VEDL,NSE:VEDL-EQ,0.63,0.72,0.63,0.72,391147,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-01-17,SMD-0243,VEDL,NSE:VEDL-EQ,0.72,0.75,0.71,0.73,225818,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-01-20,SMD-0243,VEDL,NSE:VEDL-EQ,0.72,0.75,0.7,0.71,95500,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-01-21,SMD-0243,VEDL,NSE:VEDL-EQ,0.72,0.74,0.71,0.72,82990,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-01-22,SMD-0243,VEDL,NSE:VEDL-EQ,0.72,0.73,0.71,0.71,49358,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-01-23,SMD-0243,VEDL,NSE:VEDL-EQ,0.71,0.71,0.68,0.7,42770,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-01-24,SMD-0243,VEDL,NSE:VEDL-EQ,0.7,0.71,0.66,0.67,39444,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-01-27,SMD-0243,VEDL,NSE:VEDL-EQ,0.66,0.66,0.57,0.63,32523,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-01-28,SMD-0243,VEDL,NSE:VEDL-EQ,0.65,0.66,0.63,0.65,31083,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-01-29,SMD-0243,VEDL,NSE:VEDL-EQ,0.65,0.68,0.65,0.66,32608,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-01-30,SMD-0243,VEDL,NSE:VEDL-EQ,0.64,0.64,0.6,0.62,86430,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-01-31,SMD-0243,VEDL,NSE:VEDL-EQ,0.59,0.62,0.59,0.61,33097,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-02-03,SMD-0243,VEDL,NSE:VEDL-EQ,0.62,0.64,0.62,0.64,24794,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-02-04,SMD-0243,VEDL,NSE:VEDL-EQ,0.65,0.66,0.64,0.65,42261,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-02-05,SMD-0243,VEDL,NSE:VEDL-EQ,0.64,0.65,0.64,0.64,19516,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-02-06,SMD-0243,VEDL,NSE:VEDL-EQ,0.64,0.66,0.63,0.64,12702,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-02-07,SMD-0243,VEDL,NSE:VEDL-EQ,0.65,0.65,0.63,0.64,12048,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-02-10,SMD-0243,VEDL,NSE:VEDL-EQ,0.63,0.64,0.62,0.63,13730,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-02-11,SMD-0243,VEDL,NSE:VEDL-EQ,0.63,0.64,0.62,0.62,10486,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-02-12,SMD-0243,VEDL,NSE:VEDL-EQ,0.62,0.63,0.61,0.62,10415,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-02-14,SMD-0243,VEDL,NSE:VEDL-EQ,0.64,0.64,0.61,0.62,8140,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-02-17,SMD-0243,VEDL,NSE:VEDL-EQ,0.64,0.66,0.63,0.65,15737,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-02-18,SMD-0243,VEDL,NSE:VEDL-EQ,0.66,0.69,0.65,0.68,45384,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-02-19,SMD-0243,VEDL,NSE:VEDL-EQ,0.7,0.73,0.69,0.72,120724,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-02-20,SMD-0243,VEDL,NSE:VEDL-EQ,0.69,0.73,0.69,0.69,40853,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-02-21,SMD-0243,VEDL,NSE:VEDL-EQ,0.69,0.7,0.68,0.69,17395,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-02-24,SMD-0243,VEDL,NSE:VEDL-EQ,0.67,0.7,0.67,0.67,21070,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-02-25,SMD-0243,VEDL,NSE:VEDL-EQ,0.68,0.7,0.66,0.68,32299,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-02-26,SMD-0243,VEDL,NSE:VEDL-EQ,0.69,0.69,0.68,0.69,13577,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-02-27,SMD-0243,VEDL,NSE:VEDL-EQ,0.69,0.69,0.68,0.69,9311,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-02-28,SMD-0243,VEDL,NSE:VEDL-EQ,0.69,0.7,0.67,0.67,24283,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-03-03,SMD-0243,VEDL,NSE:VEDL-EQ,0.68,0.68,0.66,0.67,55520,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-03-04,SMD-0243,VEDL,NSE:VEDL-EQ,0.66,0.67,0.66,0.66,9717,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-03-05,SMD-0243,VEDL,NSE:VEDL-EQ,0.65,0.65,0.64,0.65,16022,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-03-06,SMD-0243,VEDL,NSE:VEDL-EQ,0.64,0.64,0.63,0.63,4401,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-03-07,SMD-0243,VEDL,NSE:VEDL-EQ,0.63,0.63,0.61,0.61,14498,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-03-10,SMD-0243,VEDL,NSE:VEDL-EQ,0.6,0.63,0.6,0.61,3701,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-03-11,SMD-0243,VEDL,NSE:VEDL-EQ,0.6,0.61,0.6,0.61,8922,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-03-12,SMD-0243,VEDL,NSE:VEDL-EQ,0.62,0.63,0.61,0.61,10293,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-03-13,SMD-0243,VEDL,NSE:VEDL-EQ,0.61,0.62,0.6,0.6,9209,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-03-17,SMD-0243,VEDL,NSE:VEDL-EQ,0.63,0.63,0.58,0.59,14224,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-03-19,SMD-0243,VEDL,NSE:VEDL-EQ,0.6,0.61,0.59,0.6,9113,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-03-20,SMD-0243,VEDL,NSE:VEDL-EQ,0.59,0.6,0.59,0.6,8787,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-03-21,SMD-0243,VEDL,NSE:VEDL-EQ,0.66,0.66,0.6,0.63,21543,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-03-22,SMD-0243,VEDL,NSE:VEDL-EQ,0.61,0.63,0.57,0.63,10950,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-03-24,SMD-0243,VEDL,NSE:VEDL-EQ,0.64,0.64,0.6,0.6,15580,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-03-25,SMD-0243,VEDL,NSE:VEDL-EQ,0.6,0.62,0.58,0.59,9520,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-03-26,SMD-0243,VEDL,NSE:VEDL-EQ,0.58,0.61,0.58,0.6,6958,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-03-27,SMD-0243,VEDL,NSE:VEDL-EQ,0.58,0.6,0.58,0.59,3341,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-03-28,SMD-0243,VEDL,NSE:VEDL-EQ,0.61,0.62,0.59,0.59,6811,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-03-31,SMD-0243,VEDL,NSE:VEDL-EQ,0.6,0.6,0.57,0.57,8904,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-04-01,SMD-0243,VEDL,NSE:VEDL-EQ,0.58,0.59,0.58,0.58,6259,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-04-02,SMD-0243,VEDL,NSE:VEDL-EQ,0.58,0.6,0.58,0.59,5150,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-04-03,SMD-0243,VEDL,NSE:VEDL-EQ,0.6,0.6,0.59,0.59,11746,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-04-04,SMD-0243,VEDL,NSE:VEDL-EQ,0.6,0.63,0.6,0.61,16884,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-04-07,SMD-0243,VEDL,NSE:VEDL-EQ,0.62,0.66,0.62,0.66,45753,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-04-08,SMD-0243,VEDL,NSE:VEDL-EQ,0.65,0.74,0.65,0.72,152106,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-04-09,SMD-0243,VEDL,NSE:VEDL-EQ,0.72,0.78,0.72,0.77,222438,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-04-10,SMD-0243,VEDL,NSE:VEDL-EQ,0.75,0.75,0.7,0.71,52851,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-04-11,SMD-0243,VEDL,NSE:VEDL-EQ,0.72,0.73,0.7,0.71,24589,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-04-15,SMD-0243,VEDL,NSE:VEDL-EQ,0.7,0.73,0.69,0.7,17596,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-04-16,SMD-0243,VEDL,NSE:VEDL-EQ,0.69,0.71,0.69,0.69,9587,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-04-17,SMD-0243,VEDL,NSE:VEDL-EQ,0.69,0.73,0.68,0.71,28365,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-04-21,SMD-0243,VEDL,NSE:VEDL-EQ,0.71,0.78,0.71,0.77,112973,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-04-22,SMD-0243,VEDL,NSE:VEDL-EQ,0.79,0.8,0.77,0.78,62250,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-04-23,SMD-0243,VEDL,NSE:VEDL-EQ,0.78,0.82,0.78,0.81,75160,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-04-24,SMD-0243,VEDL,NSE:VEDL-EQ,0.84,0.84,0.8,0.81,64324,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-04-25,SMD-0243,VEDL,NSE:VEDL-EQ,0.81,0.81,0.75,0.77,110909,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-04-28,SMD-0243,VEDL,NSE:VEDL-EQ,0.77,0.79,0.76,0.78,32274,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-04-29,SMD-0243,VEDL,NSE:VEDL-EQ,0.77,0.78,0.76,0.76,6698,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-04-30,SMD-0243,VEDL,NSE:VEDL-EQ,0.77,0.77,0.77,0.77,7805,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-05-02,SMD-0243,VEDL,NSE:VEDL-EQ,0.76,0.78,0.76,0.78,16745,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-05-05,SMD-0243,VEDL,NSE:VEDL-EQ,0.78,0.86,0.78,0.84,255920,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-05-06,SMD-0243,VEDL,NSE:VEDL-EQ,0.85,0.89,0.85,0.88,105062,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-05-07,SMD-0243,VEDL,NSE:VEDL-EQ,0.9,0.91,0.86,0.88,76951,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-05-08,SMD-0243,VEDL,NSE:VEDL-EQ,0.89,0.89,0.84,0.85,35834,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-05-09,SMD-0243,VEDL,NSE:VEDL-EQ,0.85,0.9,0.84,0.88,61991,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-05-12,SMD-0243,VEDL,NSE:VEDL-EQ,0.91,0.92,0.87,0.88,213505,FYERS_HISTORY,2026-08-09T00:00:26+05:30
2003-05-13,SMD-0243,VEDL,NSE:VEDL-EQ,0.9,1.03,0.88,1.0,416133,FYERS_HISTORY,2026-08-09T00:00:26+05:30
