trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2001-12-31,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,4.67,4.88,4.6,4.76,12908,FYERS_HISTORY,2026-08-09T00:00:59+05:30
2002-01-01,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,4.12,4.95,4.12,4.7,7054,FYERS_HISTORY,2026-08-09T00:00:59+05:30
2002-01-02,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,4.63,4.7,4.63,4.65,1927,FYERS_HISTORY,2026-08-09T00:00:59+05:30
2002-01-03,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,4.47,4.63,4.47,4.53,2543,FYERS_HISTORY,2026-08-09T00:00:59+05:30
2002-01-04,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,4.36,5.4,4.36,4.51,6514,FYERS_HISTORY,2026-08-09T00:00:59+05:30
2002-01-07,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,4.79,4.79,4.5,4.5,6176,FYERS_HISTORY,2026-08-09T00:00:59+05:30
2002-01-08,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,4.43,4.52,4.43,4.5,5301,FYERS_HISTORY,2026-08-09T00:00:59+05:30
2002-01-09,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,4.5,4.58,4.43,4.51,6869,FYERS_HISTORY,2026-08-09T00:00:59+05:30
2002-01-10,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,4.46,4.55,4.46,4.5,2410,FYERS_HISTORY,2026-08-09T00:00:59+05:30
2002-01-11,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,4.55,4.55,4.4,4.5,7390,FYERS_HISTORY,2026-08-09T00:00:59+05:30
2002-01-14,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,4.64,4.74,4.44,4.51,26744,FYERS_HISTORY,2026-08-09T00:00:59+05:30
2002-01-15,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,4.63,4.63,4.5,4.51,3877,FYERS_HISTORY,2026-08-09T00:00:59+05:30
2002-01-16,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,4.53,4.53,4.5,4.5,30692,FYERS_HISTORY,2026-08-09T00:00:59+05:30
2002-01-17,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,4.55,4.58,4.42,4.51,5437,FYERS_HISTORY,2026-08-09T00:00:59+05:30
2002-01-18,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,4.5,4.58,4.48,4.5,5808,FYERS_HISTORY,2026-08-09T00:00:59+05:30
2002-01-21,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,4.38,4.56,4.38,4.55,19007,FYERS_HISTORY,2026-08-09T00:00:59+05:30
