trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2011-12-29,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,76.1,76.1,71.7,72.65,1436049,FYERS_HISTORY,2026-08-09T00:01:05+05:30
2011-12-30,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,73.95,73.95,71.65,73.45,629913,FYERS_HISTORY,2026-08-09T00:01:05+05:30
2012-01-02,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,73.45,75.4,72.25,75.15,351870,FYERS_HISTORY,2026-08-09T00:01:05+05:30
2012-01-03,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,75.2,79.9,75.0,79.25,915060,FYERS_HISTORY,2026-08-09T00:01:05+05:30
2012-01-04,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,79.15,80.7,77.3,78.85,619608,FYERS_HISTORY,2026-08-09T00:01:05+05:30
2012-01-05,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,79.0,79.8,75.8,76.7,478245,FYERS_HISTORY,2026-08-09T00:01:05+05:30
2012-01-06,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,74.05,78.45,73.8,76.3,801192,FYERS_HISTORY,2026-08-09T00:01:05+05:30
2012-01-07,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,76.5,77.7,76.3,76.95,42029,FYERS_HISTORY,2026-08-09T00:01:05+05:30
2012-01-09,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,77.0,81.2,75.6,80.4,891522,FYERS_HISTORY,2026-08-09T00:01:05+05:30
2012-01-10,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,81.5,83.15,81.0,82.6,1006948,FYERS_HISTORY,2026-08-09T00:01:05+05:30
2012-01-11,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,82.35,84.75,82.05,82.95,816400,FYERS_HISTORY,2026-08-09T00:01:05+05:30
2012-01-12,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,82.1,87.0,82.1,85.1,1652407,FYERS_HISTORY,2026-08-09T00:01:05+05:30
2012-01-13,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,86.3,88.75,85.7,86.5,1048547,FYERS_HISTORY,2026-08-09T00:01:05+05:30
2012-01-16,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,85.9,87.25,84.25,86.8,834020,FYERS_HISTORY,2026-08-09T00:01:05+05:30
2012-01-17,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,86.6,92.8,86.0,92.0,2456092,FYERS_HISTORY,2026-08-09T00:01:05+05:30
2012-01-18,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,94.0,94.9,81.0,82.25,10258588,FYERS_HISTORY,2026-08-09T00:01:05+05:30
2012-01-19,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,82.45,89.45,77.65,88.3,7718279,FYERS_HISTORY,2026-08-09T00:01:05+05:30
2012-01-20,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,90.0,93.25,88.5,92.1,5193540,FYERS_HISTORY,2026-08-09T00:01:05+05:30
2012-01-23,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,92.0,94.9,91.1,91.95,1511071,FYERS_HISTORY,2026-08-09T00:01:05+05:30
2012-01-24,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,91.0,96.3,89.6,95.3,2133508,FYERS_HISTORY,2026-08-09T00:01:05+05:30
2012-01-25,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,96.2,98.35,95.25,97.3,3337809,FYERS_HISTORY,2026-08-09T00:01:05+05:30
2012-01-27,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,100.0,100.0,94.1,94.95,2184324,FYERS_HISTORY,2026-08-09T00:01:05+05:30
2012-01-30,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,95.25,95.25,89.9,90.8,1702761,FYERS_HISTORY,2026-08-09T00:01:05+05:30
2012-01-31,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,91.0,96.95,90.2,96.4,1637376,FYERS_HISTORY,2026-08-09T00:01:05+05:30
2012-02-01,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,96.5,97.8,94.15,95.65,2160907,FYERS_HISTORY,2026-08-09T00:01:05+05:30
2012-02-02,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,96.75,98.15,93.8,95.05,2395606,FYERS_HISTORY,2026-08-09T00:01:05+05:30
2012-02-03,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,95.0,95.25,92.4,93.5,1015212,FYERS_HISTORY,2026-08-09T00:01:05+05:30
2012-02-06,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,95.3,104.3,94.5,103.4,6908155,FYERS_HISTORY,2026-08-09T00:01:05+05:30
2012-02-07,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,110.0,110.0,98.8,99.5,3267274,FYERS_HISTORY,2026-08-09T00:01:05+05:30
2012-02-08,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,98.5,100.8,96.45,97.25,2228775,FYERS_HISTORY,2026-08-09T00:01:05+05:30
2012-02-09,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,97.8,101.85,96.65,100.75,2106821,FYERS_HISTORY,2026-08-09T00:01:05+05:30
2012-02-10,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,100.75,104.0,98.5,99.95,2079018,FYERS_HISTORY,2026-08-09T00:01:05+05:30
2012-02-13,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,101.4,101.4,97.1,97.65,1413663,FYERS_HISTORY,2026-08-09T00:01:05+05:30
2012-02-14,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,97.0,97.35,93.3,94.6,3406253,FYERS_HISTORY,2026-08-09T00:01:05+05:30
2012-02-15,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,93.25,119.35,93.25,117.7,31077733,FYERS_HISTORY,2026-08-09T00:01:05+05:30
2012-02-16,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,118.3,119.85,110.8,111.6,8420853,FYERS_HISTORY,2026-08-09T00:01:05+05:30
2012-02-17,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,113.0,114.3,107.05,108.45,6182399,FYERS_HISTORY,2026-08-09T00:01:05+05:30
