trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2014-12-29,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,238.7,241.35,233.2,235.2,1866849,FYERS_HISTORY,2026-08-09T00:01:06+05:30
2014-12-30,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,235.6,241.2,231.55,239.95,2235101,FYERS_HISTORY,2026-08-09T00:01:06+05:30
2014-12-31,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,238.0,243.75,236.25,242.5,2211342,FYERS_HISTORY,2026-08-09T00:01:06+05:30
2015-01-01,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,242.5,243.35,239.65,240.8,856386,FYERS_HISTORY,2026-08-09T00:01:06+05:30
2015-01-02,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,239.2,248.4,239.2,245.65,2630409,FYERS_HISTORY,2026-08-09T00:01:06+05:30
2015-01-05,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,246.0,251.2,244.1,245.85,1975993,FYERS_HISTORY,2026-08-09T00:01:06+05:30
2015-01-06,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,244.4,244.4,235.2,237.35,1951719,FYERS_HISTORY,2026-08-09T00:01:06+05:30
2015-01-07,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,236.3,238.85,227.0,229.45,2337628,FYERS_HISTORY,2026-08-09T00:01:06+05:30
2015-01-08,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,233.8,244.7,233.65,243.35,2362344,FYERS_HISTORY,2026-08-09T00:01:06+05:30
2015-01-09,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,246.8,246.9,242.1,246.0,1946824,FYERS_HISTORY,2026-08-09T00:01:06+05:30
2015-01-12,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,246.0,248.25,243.1,245.9,1292914,FYERS_HISTORY,2026-08-09T00:01:06+05:30
2015-01-13,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,245.0,247.3,239.75,242.05,2700501,FYERS_HISTORY,2026-08-09T00:01:06+05:30
2015-01-14,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,242.0,248.5,241.6,247.75,4226479,FYERS_HISTORY,2026-08-09T00:01:06+05:30
2015-01-15,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,249.1,254.9,245.35,253.45,4586490,FYERS_HISTORY,2026-08-09T00:01:06+05:30
2015-01-16,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,252.2,257.8,249.0,255.5,4723648,FYERS_HISTORY,2026-08-09T00:01:06+05:30
2015-01-19,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,255.5,259.8,251.0,252.8,1730618,FYERS_HISTORY,2026-08-09T00:01:06+05:30
2015-01-20,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,253.0,257.4,252.7,253.8,2274423,FYERS_HISTORY,2026-08-09T00:01:06+05:30
