trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2022-12-26,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,777.75,789.4,770.0,786.5,454783,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2022-12-27,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,790.45,799.1,785.3,797.75,469563,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2022-12-28,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,801.3,802.8,791.5,797.75,878587,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2022-12-29,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,796.0,803.0,788.0,800.45,625722,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2022-12-30,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,803.45,811.85,797.0,799.85,813045,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2023-01-02,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,799.9,804.35,794.0,802.65,319975,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2023-01-03,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,802.7,811.05,800.6,808.3,543688,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2023-01-04,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,808.5,810.35,796.5,805.85,939486,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2023-01-05,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,813.8,813.8,798.15,809.45,1361234,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2023-01-06,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,807.5,824.75,806.75,814.55,1375341,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2023-01-09,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,819.0,823.9,814.0,820.1,771070,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2023-01-10,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,820.0,826.95,811.5,825.95,601404,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2023-01-11,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,825.95,834.0,822.5,830.95,725055,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2023-01-12,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,831.0,832.8,805.65,809.25,954974,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2023-01-13,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,807.55,812.2,800.05,806.35,516864,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2023-01-16,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,808.8,811.6,804.0,805.5,314496,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2023-01-17,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,806.4,813.7,805.8,809.95,599833,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2023-01-18,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,810.0,811.8,800.65,802.2,1274164,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2023-01-19,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,802.2,803.0,785.4,789.6,1492350,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2023-01-20,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,790.0,791.0,778.0,780.05,1307972,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2023-01-23,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,782.8,782.8,769.05,776.75,1468342,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2023-01-24,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,778.9,783.5,776.0,778.0,1041066,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2023-01-25,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,777.9,777.9,751.8,756.55,1339618,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2023-01-27,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,759.0,761.35,737.2,744.95,1474004,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2023-01-30,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,747.85,778.0,744.9,774.95,2080883,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2023-01-31,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,778.45,806.0,777.2,802.65,1803266,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2023-02-01,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,803.5,815.95,784.0,794.6,1322816,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2023-02-02,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,794.0,824.0,790.6,821.55,1595844,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2023-02-03,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,825.0,826.4,808.75,813.0,1002242,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2023-02-06,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,809.0,829.0,805.1,826.7,661820,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2023-02-07,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,829.0,831.3,806.05,815.2,1587142,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2023-02-08,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,816.0,832.4,809.3,827.4,1072137,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2023-02-09,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,824.85,832.0,812.0,824.55,1093769,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2023-02-10,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,800.0,856.7,796.0,849.85,5082283,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2023-02-13,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,852.45,855.25,835.7,848.55,1260020,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2023-02-14,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,848.0,871.4,847.0,856.8,1978175,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2023-02-15,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,851.05,861.9,848.05,858.75,597974,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2023-02-16,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,860.0,868.85,853.75,862.85,1047536,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2023-02-17,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,858.0,863.75,849.05,855.1,497564,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2023-02-20,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,859.7,882.8,850.35,873.05,1472792,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2023-02-21,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,877.65,897.9,873.05,895.8,2183174,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2023-02-22,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,898.1,927.4,895.8,914.2,7876349,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2023-02-23,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,916.9,920.0,898.6,900.6,2114369,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2023-02-24,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,905.1,910.55,892.3,895.2,2287301,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2023-02-27,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,889.0,889.8,865.4,887.3,1436906,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2023-02-28,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,887.0,905.5,884.0,892.0,1929468,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2023-03-01,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,898.95,907.7,891.3,899.15,1462796,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2023-03-02,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,901.0,925.0,901.0,918.8,3006307,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2023-03-03,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,919.9,934.0,911.1,912.85,1804035,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2023-03-06,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,918.7,920.85,910.0,913.2,954615,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2023-03-08,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,907.5,916.0,886.45,909.7,1382635,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2023-03-09,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,913.0,917.05,888.5,891.1,1465770,FYERS_HISTORY,2026-08-09T00:01:10+05:30
2023-03-10,SMD-0245,VOLTAS,NSE:VOLTAS-EQ,886.0,898.35,880.4,893.6,762731,FYERS_HISTORY,2026-08-09T00:01:10+05:30
